"Quarter","Region","Sex","Age","Employed, % (of population)","Underemployed, % (of employed)","Unemployment rate, % (of labour force)"
"2016Q4","Total","Females","25-54",87.4,4.5,2.5
"2016Q4","Total","Females","55-74",59.1,5.6,0.4
"2016Q4","Total","Females","16-64",83.3,5.5,2.8
"2016Q4","Total","Females","25-64",85.4,4.9,2.1
"2016Q4","Capital region","Males and females","16-74",80.9,3.8,2.8
"2016Q4","Capital region","Males and females","16-24",71.0,8.0,5.4
"2016Q4","Capital region","Males and females","25-54",90.7,3.0,2.7
"2016Q4","Capital region","Males and females","55-74",67.2,3.2,1.3
"2016Q4","Capital region","Males and females","16-64",85.4,3.9,3.0
"2016Q4","Capital region","Males and females","25-64",89.0,3.1,2.5
"2016Q4","Capital region","Males","16-74",84.5,2.7,2.3
"2016Q4","Capital region","Males","16-24",69.6,8.7,3.5
"2016Q4","Capital region","Males","25-54",94.1,1.5,1.9
"2016Q4","Capital region","Males","55-74",74.4,1.8,2.3
"2016Q4","Capital region","Males","16-64",88.0,2.7,2.4
"2016Q4","Capital region","Males","25-64",92.9,1.5,2.2
"2016Q4","Capital region","Females","16-74",77.3,5.1,3.4
"2016Q4","Capital region","Females","16-24",72.6,7.2,7.2
"2016Q4","Capital region","Females","25-54",87.2,4.7,3.5
"2016Q4","Capital region","Females","55-74",60.4,4.7,0.0
"2016Q4","Capital region","Females","16-64",82.6,5.2,3.6
"2016Q4","Capital region","Females","25-64",85.1,4.8,2.8
"2016Q4","Outside Capital region","Males and females","16-74",80.9,4.1,2.0
"2016Q4","Outside Capital region","Males and females","16-24",79.8,11.7,6.1
"2016Q4","Outside Capital region","Males and females","25-54",90.3,2.5,1.0
"2016Q4","Outside Capital region","Males and females","55-74",64.6,4.0,1.9
"2016Q4","Outside Capital region","Males and females","16-64",87.0,4.4,2.1
"2016Q4","Outside Capital region","Males and females","25-64",88.4,3.1,1.4
"2016Q4","Outside Capital region","Males","16-74",84.5,2.6,2.6
"2016Q4","Outside Capital region","Males","16-24",82.3,11.7,7.9
"2016Q4","Outside Capital region","Males","25-54",92.6,0.8,1.2
"2016Q4","Outside Capital region","Males","55-74",71.5,1.7,2.5
"2016Q4","Outside Capital region","Males","16-64",89.4,2.8,2.8
"2016Q4","Outside Capital region","Males","25-64",90.8,1.2,1.8
"2016Q4","Outside Capital region","Females","16-74",77.1,5.8,1.3
"2016Q4","Outside Capital region","Females","16-24",76.9,11.6,3.9
"2016Q4","Outside Capital region","Females","25-54",87.9,4.2,0.8
"2016Q4","Outside Capital region","Females","55-74",57.1,7.0,1.0
"2016Q4","Outside Capital region","Females","16-64",84.5,6.1,1.3
"2016Q4","Outside Capital region","Females","25-64",85.9,5.2,0.9
"2017Q1","Total","Males and females","16-74",80.4,5.2,2.9
"2017Q1","Total","Males and females","16-24",73.0,16.9,8.0
"2017Q1","Total","Males and females","25-54",89.3,3.2,2.0
"2017Q1","Total","Males and females","55-74",67.2,2.8,1.5
"2017Q1","Total","Males and females","16-64",85.3,5.3,3.0
"2017Q1","Total","Males and females","25-64",88.1,3.0,2.0
"2017Q1","Total","Males","16-74",83.8,3.6,3.2
"2017Q1","Total","Males","16-24",69.9,17.0,9.0
"2017Q1","Total","Males","25-54",92.0,1.1,2.1
"2017Q1","Total","Males","55-74",75.7,2.1,2.1
"2017Q1","Total","Males","16-64",87.3,3.7,3.4
"2017Q1","Total","Males","25-64",91.5,1.3,2.3
"2017Q1","Total","Females","16-74",76.8,7.0,2.5
"2017Q1","Total","Females","16-24",76.3,16.7,7.0
"2017Q1","Total","Females","25-54",86.4,5.6,1.9
"2017Q1","Total","Females","55-74",58.7,3.7,0.8
"2017Q1","Total","Females","16-64",83.1,7.0,2.6
"2017Q1","Total","Females","25-64",84.7,5.0,1.7
"2017Q1","Capital region","Males and females","16-74",81.3,5.7,2.6
"2017Q1","Capital region","Males and females","16-24",75.4,18.7,6.7
"2017Q1","Capital region","Males and females","25-54",90.5,3.2,1.9
"2017Q1","Capital region","Males and females","55-74",66.7,2.3,1.3
"2017Q1","Capital region","Males and females","16-64",86.2,5.8,2.8
"2017Q1","Capital region","Males and females","25-64",89.1,2.9,1.8
"2017Q1","Capital region","Males","16-74",85.0,4.6,3.0
"2017Q1","Capital region","Males","16-24",72.2,19.0,7.9
"2017Q1","Capital region","Males","25-54",93.5,1.7,2.0
"2017Q1","Capital region","Males","55-74",76.2,2.3,1.8
"2017Q1","Capital region","Males","16-64",88.5,4.7,3.2
"2017Q1","Capital region","Males","25-64",92.9,1.7,2.1
"2017Q1","Capital region","Females","16-74",77.5,6.9,2.2
"2017Q1","Capital region","Females","16-24",78.8,18.5,5.6
"2017Q1","Capital region","Females","25-54",87.3,4.9,1.7
"2017Q1","Capital region","Females","55-74",57.9,2.4,0.6
"2017Q1","Capital region","Females","16-64",83.9,7.0,2.3
"2017Q1","Capital region","Females","25-64",85.2,4.2,1.5
"2017Q1","Outside Capital region","Males and females","16-74",78.6,4.3,3.3
"2017Q1","Outside Capital region","Males and females","16-24",67.1,11.6,11.5
"2017Q1","Outside Capital region","Males and females","25-54",87.1,3.2,2.2
"2017Q1","Outside Capital region","Males and females","55-74",68.0,3.5,2.0
"2017Q1","Outside Capital region","Males and females","16-64",83.4,4.4,3.6
"2017Q1","Outside Capital region","Males and females","25-64",86.4,3.4,2.3
"2017Q1","Outside Capital region","Males","16-74",81.5,1.7,3.5
"2017Q1","Outside Capital region","Males","16-24",64.2,11.3,12.2
"2017Q1","Outside Capital region","Males","25-54",89.3,0.0,2.3
"2017Q1","Outside Capital region","Males","55-74",75.0,1.8,2.6
"2017Q1","Outside Capital region","Males","16-64",85.2,1.9,3.9
"2017Q1","Outside Capital region","Males","25-64",89.0,0.7,2.7
"2017Q1","Outside Capital region","Females","16-74",75.6,7.2,3.1
"2017Q1","Outside Capital region","Females","16-24",70.1,11.9,10.8
"2017Q1","Outside Capital region","Females","25-54",84.9,6.7,2.1
"2017Q1","Outside Capital region","Females","55-74",60.0,6.0,1.0
"2017Q1","Outside Capital region","Females","16-64",81.6,7.1,3.2
"2017Q1","Outside Capital region","Females","25-64",83.7,6.4,1.9
"2017Q2","Total","Males and females","16-74",81.5,4.0,3.4
"2017Q2","Total","Males and females","16-24",81.7,10.7,10.3
"2017Q2","Total","Males and females","25-54",90.4,2.9,2.1
"2017Q2","Total","Males and females","55-74",63.9,1.9,1.5
"2017Q2","Total","Males and females","16-64",87.6,4.2,3.6
"2017Q2","Total","Males and females","25-64",89.0,2.8,2.0
"2017Q2","Total","Males","16-74",85.8,2.8,3.4
"2017Q2","Total","Males","16-24",81.5,9.6,11.1
"2017Q2","Total","Males","25-54",93.6,1.8,1.8
"2017Q2","Total","Males","55-74",72.8,0.7,1.6
"2017Q2","Total","Males","16-64",90.5,3.0,3.6
"2017Q2","Total","Males","25-64",92.6,1.6,1.9
"2017Q2","Total","Females","16-74",77.0,5.4,3.5
"2017Q2","Total","Females","16-24",81.8,11.9,9.4
"2017Q2","Total","Females","25-54",87.1,4.2,2.4
"2017Q2","Total","Females","55-74",54.8,3.4,1.3
"2017Q2","Total","Females","16-64",84.5,5.5,3.6
"2017Q2","Total","Females","25-64",85.2,4.1,2.2
"2017Q2","Capital region","Males and females","16-74",81.7,4.0,3.9
"2017Q2","Capital region","Males and females","16-24",80.5,13.1,11.5
"2017Q2","Capital region","Males and females","25-54",91.3,2.3,2.2
"2017Q2","Capital region","Males and females","55-74",62.7,0.9,1.7
"2017Q2","Capital region","Males and females","16-64",87.9,4.1,4.1
"2017Q2","Capital region","Males and females","25-64",89.8,2.1,2.2
"2017Q2","Capital region","Males","16-74",86.4,3.2,3.8
"2017Q2","Capital region","Males","16-24",79.7,12.5,12.7
"2017Q2","Capital region","Males","25-54",94.8,1.6,2.0
"2017Q2","Capital region","Males","55-74",72.5,0.6,1.3
"2017Q2","Capital region","Males","16-64",90.9,3.4,4.0
"2017Q2","Capital region","Males","25-64",93.8,1.4,1.9
"2017Q2","Capital region","Females","16-74",77.0,4.8,4.0
"2017Q2","Capital region","Females","16-24",81.4,13.6,10.3
"2017Q2","Capital region","Females","25-54",87.5,3.1,2.4
"2017Q2","Capital region","Females","55-74",53.6,1.4,2.1
"2017Q2","Capital region","Females","16-64",84.7,4.9,4.1
"2017Q2","Capital region","Females","25-64",85.6,2.8,2.4
"2017Q2","Outside Capital region","Males and females","16-74",81.1,4.1,2.6
"2017Q2","Outside Capital region","Males and females","16-24",84.1,5.7,7.7
"2017Q2","Outside Capital region","Males and females","25-54",89.0,4.0,1.8
"2017Q2","Outside Capital region","Males and females","55-74",65.6,3.2,1.2
"2017Q2","Outside Capital region","Males and females","16-64",87.0,4.3,2.8
"2017Q2","Outside Capital region","Males and females","25-64",87.6,4.0,1.8
"2017Q2","Outside Capital region","Males","16-74",84.9,2.1,2.6
"2017Q2","Outside Capital region","Males","16-24",85.2,3.9,8.0
"2017Q2","Outside Capital region","Males","25-54",91.6,2.1,1.5
"2017Q2","Outside Capital region","Males","55-74",73.3,1.0,1.9
"2017Q2","Outside Capital region","Males","16-64",89.6,2.3,2.9
"2017Q2","Outside Capital region","Males","25-64",90.5,2.0,1.8
"2017Q2","Outside Capital region","Females","16-74",77.0,6.5,2.6
"2017Q2","Outside Capital region","Females","16-24",82.8,7.9,7.2
"2017Q2","Outside Capital region","Females","25-54",86.3,6.1,2.3
"2017Q2","Outside Capital region","Females","55-74",57.0,6.5,0.0
"2017Q2","Outside Capital region","Females","16-64",84.3,6.5,2.7
"2017Q2","Outside Capital region","Females","25-64",84.6,6.3,1.8
"2017Q3","Total","Males and females","16-74",80.2,3.0,2.2
"2017Q3","Total","Males and females","16-24",76.2,6.0,6.3
"2017Q3","Total","Males and females","25-54",89.8,2.5,1.4
"2017Q3","Total","Males and females","55-74",63.7,2.4,1.0
"2017Q3","Total","Males and females","16-64",86.0,3.1,2.3
"2017Q3","Total","Males and females","25-64",88.2,2.5,1.4
"2017Q3","Total","Males","16-74",84.1,1.8,1.9
"2017Q3","Total","Males","16-24",77.6,4.6,6.3
"2017Q3","Total","Males","25-54",92.6,1.4,1.0
"2017Q3","Total","Males","55-74",70.8,1.0,1.0
"2017Q3","Total","Males","16-64",88.6,1.9,2.0
"2017Q3","Total","Males","25-64",91.3,1.3,1.1
"2017Q3","Total","Females","16-74",76.1,4.4,2.5
"2017Q3","Total","Females","16-24",74.7,7.8,6.4
"2017Q3","Total","Females","25-54",86.8,3.6,1.9
"2017Q3","Total","Females","55-74",56.4,4.2,1.1
"2017Q3","Total","Females","16-64",83.2,4.5,2.6
"2017Q3","Total","Females","25-64",85.0,3.8,1.8
"2017Q3","Capital region","Males and females","16-74",79.7,2.6,2.5
"2017Q3","Capital region","Males and females","16-24",77.2,4.0,5.1
"2017Q3","Capital region","Males and females","25-54",88.6,2.3,2.1
"2017Q3","Capital region","Males and females","55-74",63.5,2.2,1.7
"2017Q3","Capital region","Males and females","16-64",85.4,2.6,2.7
"2017Q3","Capital region","Males and females","25-64",87.6,2.2,2.1
"2017Q3","Capital region","Males","16-74",83.9,1.9,1.8
"2017Q3","Capital region","Males","16-24",77.1,3.1,3.6
"2017Q3","Capital region","Males","25-54",92.9,1.9,1.3
"2017Q3","Capital region","Males","55-74",69.5,1.0,1.6
"2017Q3","Capital region","Males","16-64",88.6,1.9,1.9
"2017Q3","Capital region","Males","25-64",91.6,1.7,1.5
"2017Q3","Capital region","Females","16-74",75.2,3.3,3.4
"2017Q3","Capital region","Females","16-24",77.2,5.0,6.7
"2017Q3","Capital region","Females","25-54",83.8,2.7,3.0
"2017Q3","Capital region","Females","55-74",57.5,3.6,1.7
"2017Q3","Capital region","Females","16-64",81.9,3.3,3.6
"2017Q3","Capital region","Females","25-64",83.2,2.9,2.8
"2017Q3","Outside Capital region","Males and females","16-74",81.1,3.7,1.5
"2017Q3","Outside Capital region","Males and females","16-24",74.1,10.9,9.2
"2017Q3","Outside Capital region","Males and females","25-54",91.8,2.8,0.4
"2017Q3","Outside Capital region","Males and females","55-74",63.9,2.6,0.0
"2017Q3","Outside Capital region","Males and females","16-64",86.9,4.0,1.6
"2017Q3","Outside Capital region","Males and females","25-64",89.3,2.9,0.3
"2017Q3","Outside Capital region","Males","16-74",84.3,1.6,2.1
"2017Q3","Outside Capital region","Males","16-24",78.5,7.8,11.6
"2017Q3","Outside Capital region","Males","25-54",92.2,0.5,0.5
"2017Q3","Outside Capital region","Males","55-74",72.7,1.0,0.0
"2017Q3","Outside Capital region","Males","16-64",88.6,1.8,2.2
"2017Q3","Outside Capital region","Males","25-64",90.6,0.7,0.4
"2017Q3","Outside Capital region","Females","16-74",77.7,6.1,0.8
"2017Q3","Outside Capital region","Females","16-24",68.4,15.7,5.5
"2017Q3","Outside Capital region","Females","25-54",91.5,5.0,0.3
"2017Q3","Outside Capital region","Females","55-74",54.6,5.0,0.0
"2017Q3","Outside Capital region","Females","16-64",85.2,6.3,0.9
"2017Q3","Outside Capital region","Females","25-64",87.9,5.1,0.3
"2017Q4","Total","Males and females","16-74",79.1,3.3,2.6
"2017Q4","Total","Males and females","16-24",70.1,10.9,6.3
"2017Q4","Total","Males and females","25-54",88.8,2.2,2.0
"2017Q4","Total","Males and females","55-74",64.8,1.3,1.6
"2017Q4","Total","Males and females","16-64",84.2,3.4,2.7
"2017Q4","Total","Males and females","25-64",87.4,2.1,2.0
"2017Q4","Total","Males","16-74",81.7,2.5,2.7
"2017Q4","Total","Males","16-24",68.9,15.3,7.6
"2017Q4","Total","Males","25-54",90.4,0.5,2.2
"2017Q4","Total","Males","55-74",71.4,0.3,1.1
"2017Q4","Total","Males","16-64",86.0,2.7,2.9
"2017Q4","Total","Males","25-64",89.9,0.5,2.0
"2017Q4","Total","Females","16-74",76.4,4.1,2.5
"2017Q4","Total","Females","16-24",71.4,6.4,4.9
"2017Q4","Total","Females","25-54",87.2,4.1,1.9
"2017Q4","Total","Females","55-74",58.2,2.4,2.4
"2017Q4","Total","Females","16-64",82.3,4.2,2.5
"2017Q4","Total","Females","25-64",84.7,3.8,2.0
"2017Q4","Capital region","Males and females","16-74",79.5,3.0,2.5
"2017Q4","Capital region","Males and females","16-24",69.9,9.5,4.9
"2017Q4","Capital region","Males and females","25-54",88.4,2.3,2.2
"2017Q4","Capital region","Males and females","55-74",67.2,0.5,1.7
"2017Q4","Capital region","Males and females","16-64",84.1,3.1,2.6
"2017Q4","Capital region","Males and females","25-64",87.5,1.9,2.2
"2017Q4","Capital region","Males","16-74",82.7,2.7,2.4
"2017Q4","Capital region","Males","16-24",68.6,15.1,5.7
"2017Q4","Capital region","Males","25-54",90.4,0.8,2.4
"2017Q4","Capital region","Males","55-74",74.8,0.0,0.5
"2017Q4","Capital region","Males","16-64",86.4,2.9,2.6
"2017Q4","Capital region","Males","25-64",90.6,0.6,2.0
"2017Q4","Capital region","Females","16-74",75.9,3.4,2.7
"2017Q4","Capital region","Females","16-24",71.3,3.8,4.2
"2017Q4","Capital region","Females","25-54",86.0,4.1,2.1
"2017Q4","Capital region","Females","55-74",60.0,1.2,3.1
"2017Q4","Capital region","Females","16-64",81.5,3.5,2.7
"2017Q4","Capital region","Females","25-64",84.1,3.4,2.3
"2017Q4","Outside Capital region","Males and females","16-74",78.5,3.7,2.7
"2017Q4","Outside Capital region","Males and females","16-24",70.6,14.1,9.3
"2017Q4","Outside Capital region","Males and females","25-54",89.7,2.1,1.7
"2017Q4","Outside Capital region","Males and females","55-74",61.0,2.5,1.5
"2017Q4","Outside Capital region","Males and females","16-64",84.5,3.9,2.8
"2017Q4","Outside Capital region","Males and females","25-64",87.1,2.4,1.8
"2017Q4","Outside Capital region","Males","16-74",79.8,2.2,3.2
"2017Q4","Outside Capital region","Males","16-24",69.6,15.6,11.5
"2017Q4","Outside Capital region","Males","25-54",90.4,0.0,1.8
"2017Q4","Outside Capital region","Males","55-74",66.3,0.9,1.9
"2017Q4","Outside Capital region","Males","16-64",85.4,2.4,3.4
"2017Q4","Outside Capital region","Males","25-64",88.7,0.3,2.0
"2017Q4","Outside Capital region","Females","16-74",77.1,5.2,2.2
"2017Q4","Outside Capital region","Females","16-24",71.8,12.4,6.7
"2017Q4","Outside Capital region","Females","25-54",89.0,4.1,1.6
"2017Q4","Outside Capital region","Females","55-74",55.1,4.6,1.1
"2017Q4","Outside Capital region","Females","16-64",83.6,5.5,2.3
"2017Q4","Outside Capital region","Females","25-64",85.7,4.5,1.6
"2018Q1","Total","Males and females","16-74",78.4,4.7,2.9
"2018Q1","Total","Males and females","16-24",70.9,15.5,4.5
"2018Q1","Total","Males and females","25-54",88.4,3.3,2.7
"2018Q1","Total","Males and females","55-74",62.6,1.4,2.1
"2018Q1","Total","Males and females","16-64",83.5,4.9,3.0
"2018Q1","Total","Males and females","25-64",86.3,3.0,2.7
"2018Q1","Total","Males","16-74",81.6,2.9,3.2
"2018Q1","Total","Males","16-24",68.9,13.4,5.6
"2018Q1","Total","Males","25-54",91.1,1.4,2.7
"2018Q1","Total","Males","55-74",69.2,0.9,3.0
"2018Q1","Total","Males","16-64",85.7,3.1,3.4
"2018Q1","Total","Males","25-64",89.5,1.3,3.0
"2018Q1","Total","Females","16-74",75.1,6.7,2.5
"2018Q1","Total","Females","16-24",73.0,17.7,3.4
"2018Q1","Total","Females","25-54",85.5,5.5,2.7
"2018Q1","Total","Females","55-74",55.9,2.1,1.0
"2018Q1","Total","Females","16-64",81.1,7.0,2.6
"2018Q1","Total","Females","25-64",82.9,4.9,2.4
"2018Q1","Capital region","Males and females","16-74",78.8,4.9,3.0
"2018Q1","Capital region","Males and females","16-24",70.7,17.4,4.1
"2018Q1","Capital region","Males and females","25-54",89.2,3.3,2.8
"2018Q1","Capital region","Males and females","55-74",62.0,1.0,2.8
"2018Q1","Capital region","Males and females","16-64",83.7,5.1,3.2
"2018Q1","Capital region","Males and females","25-64",86.7,2.9,3.0
"2018Q1","Capital region","Males","16-74",81.6,3.2,3.4
"2018Q1","Capital region","Males","16-24",68.1,14.5,5.0
"2018Q1","Capital region","Males","25-54",91.9,1.8,2.8
"2018Q1","Capital region","Males","55-74",66.8,0.5,4.1
"2018Q1","Capital region","Males","16-64",85.6,3.3,3.6
"2018Q1","Capital region","Males","25-64",89.6,1.4,3.4
"2018Q1","Capital region","Females","16-74",76.0,6.7,2.6
"2018Q1","Capital region","Females","16-24",73.2,20.0,3.2
"2018Q1","Capital region","Females","25-54",86.3,5.0,2.7
"2018Q1","Capital region","Females","55-74",57.6,1.6,1.5
"2018Q1","Capital region","Females","16-64",81.8,7.0,2.7
"2018Q1","Capital region","Females","25-64",83.8,4.4,2.6
"2018Q1","Outside Capital region","Males and females","16-74",77.7,4.3,2.6
"2018Q1","Outside Capital region","Males and females","16-24",71.3,11.8,5.4
"2018Q1","Outside Capital region","Males and females","25-54",87.0,3.3,2.6
"2018Q1","Outside Capital region","Males and females","55-74",63.5,2.1,0.9
"2018Q1","Outside Capital region","Males and females","16-64",83.0,4.5,2.7
"2018Q1","Outside Capital region","Males and females","25-64",85.5,3.2,2.3
"2018Q1","Outside Capital region","Males","16-74",81.5,2.4,2.8
"2018Q1","Outside Capital region","Males","16-24",70.4,11.6,6.6
"2018Q1","Outside Capital region","Males","25-54",89.6,0.6,2.5
"2018Q1","Outside Capital region","Males","55-74",72.8,1.4,1.4
"2018Q1","Outside Capital region","Males","16-64",85.8,2.6,3.1
"2018Q1","Outside Capital region","Males","25-64",89.4,1.0,2.4
"2018Q1","Outside Capital region","Females","16-74",73.2,6.7,2.2
"2018Q1","Outside Capital region","Females","16-24",72.6,12.2,3.8
"2018Q1","Outside Capital region","Females","25-54",84.0,6.5,2.6
"2018Q1","Outside Capital region","Females","55-74",52.6,3.3,0.0
"2018Q1","Outside Capital region","Females","16-64",79.8,6.9,2.3
"2018Q1","Outside Capital region","Females","25-64",81.1,6.0,2.1
"2018Q2","Total","Males and females","16-74",80.0,3.5,3.6
"2018Q2","Total","Males and females","16-24",78.5,8.6,9.2
"2018Q2","Total","Males and females","25-54",88.8,2.9,2.6
"2018Q2","Total","Males and females","55-74",63.2,1.6,1.8
"2018Q2","Total","Males and females","16-64",85.2,3.7,3.7
"2018Q2","Total","Males and females","25-64",86.6,2.7,2.5
"2018Q2","Total","Males","16-74",83.8,2.5,3.9
"2018Q2","Total","Males","16-24",76.9,7.8,10.3
"2018Q2","Total","Males","25-54",91.9,1.6,2.9
"2018Q2","Total","Males","55-74",71.3,1.3,1.9
"2018Q2","Total","Males","16-64",87.7,2.5,4.1
"2018Q2","Total","Males","25-64",90.2,1.5,2.7
"2018Q2","Total","Females","16-74",75.9,4.8,3.2
"2018Q2","Total","Females","16-24",80.3,9.4,8.0
"2018Q2","Total","Females","25-54",85.5,4.5,2.3
"2018Q2","Total","Females","55-74",55.2,1.9,1.7
"2018Q2","Total","Females","16-64",82.4,5.0,3.3
"2018Q2","Total","Females","25-64",82.8,4.0,2.2
"2018Q2","Capital region","Males and females","16-74",80.2,3.6,3.9
"2018Q2","Capital region","Males and females","16-24",79.7,10.0,8.3
"2018Q2","Capital region","Males and females","25-54",88.9,2.8,3.0
"2018Q2","Capital region","Males and females","55-74",61.6,0.8,2.7
"2018Q2","Capital region","Males and females","16-64",85.5,3.7,4.0
"2018Q2","Capital region","Males and females","25-64",86.8,2.4,3.0
"2018Q2","Capital region","Males","16-74",83.5,2.7,4.6
"2018Q2","Capital region","Males","16-24",76.1,10.9,10.4
"2018Q2","Capital region","Males","25-54",92.3,1.3,3.4
"2018Q2","Capital region","Males","55-74",68.0,0.9,3.3
"2018Q2","Capital region","Males","16-64",87.5,2.8,4.7
"2018Q2","Capital region","Males","25-64",90.2,1.2,3.5
"2018Q2","Capital region","Females","16-74",76.9,4.5,3.1
"2018Q2","Capital region","Females","16-24",83.6,9.1,6.1
"2018Q2","Capital region","Females","25-54",85.4,4.5,2.6
"2018Q2","Capital region","Females","55-74",55.6,0.6,2.1
"2018Q2","Capital region","Females","16-64",83.3,4.7,3.1
"2018Q2","Capital region","Females","25-64",83.3,3.8,2.5
"2018Q2","Outside Capital region","Males and females","16-74",79.6,3.5,3.0
"2018Q2","Outside Capital region","Males and females","16-24",76.3,5.9,10.9
"2018Q2","Outside Capital region","Males and females","25-54",88.5,3.2,1.8
"2018Q2","Outside Capital region","Males and females","55-74",65.8,2.7,0.4
"2018Q2","Outside Capital region","Males and females","16-64",84.6,3.6,3.2
"2018Q2","Outside Capital region","Males and females","25-64",86.4,3.2,1.5
"2018Q2","Outside Capital region","Males","16-74",84.4,2.1,2.7
"2018Q2","Outside Capital region","Males","16-24",78.5,2.3,10.0
"2018Q2","Outside Capital region","Males","25-54",91.1,2.2,1.9
"2018Q2","Outside Capital region","Males","55-74",75.8,1.8,0.0
"2018Q2","Outside Capital region","Males","16-64",88.1,2.2,3.0
"2018Q2","Outside Capital region","Males","25-64",90.2,2.1,1.5
"2018Q2","Outside Capital region","Females","16-74",74.0,5.3,3.3
"2018Q2","Outside Capital region","Females","16-24",73.8,10.2,11.9
"2018Q2","Outside Capital region","Females","25-54",85.5,4.4,1.6
"2018Q2","Outside Capital region","Females","55-74",54.6,4.2,1.1
"2018Q2","Outside Capital region","Females","16-64",80.6,5.5,3.5
"2018Q2","Outside Capital region","Females","25-64",82.1,4.6,1.6
"2018Q3","Total","Males and females","16-74",80.6,2.5,2.2
"2018Q3","Total","Males and females","16-24",79.0,6.4,4.9
"2018Q3","Total","Males and females","25-54",89.6,2.0,1.6
"2018Q3","Total","Males and females","55-74",63.4,0.9,1.9
"2018Q3","Total","Males and females","16-64",86.3,2.6,2.1
"2018Q3","Total","Males and females","25-64",87.9,1.8,1.6
"2018Q3","Total","Males","16-74",84.4,1.4,2.0
"2018Q3","Total","Males","16-24",80.2,5.7,4.5
"2018Q3","Total","Males","25-54",92.0,0.9,1.5
"2018Q3","Total","Males","55-74",71.0,0.0,1.8
"2018Q3","Total","Males","16-64",89.0,1.5,2.0
"2018Q3","Total","Males","25-64",91.0,0.7,1.5
"2018Q3","Total","Females","16-74",76.6,3.7,2.3
"2018Q3","Total","Females","16-24",77.7,7.1,5.4
"2018Q3","Total","Females","25-54",87.1,3.4,1.7
"2018Q3","Total","Females","55-74",55.7,2.0,2.0
"2018Q3","Total","Females","16-64",83.4,3.8,2.3
"2018Q3","Total","Females","25-64",84.7,3.1,1.7
"2018Q3","Capital region","Males and females","16-74",81.5,2.5,2.5
"2018Q3","Capital region","Males and females","16-24",79.0,6.3,5.7
"2018Q3","Capital region","Males and females","25-54",90.0,2.1,1.7
"2018Q3","Capital region","Males and females","55-74",64.4,0.7,2.3
"2018Q3","Capital region","Males and females","16-64",86.9,2.6,2.4
"2018Q3","Capital region","Males and females","25-64",88.7,1.8,1.7
"2018Q3","Capital region","Males","16-74",84.9,1.6,2.2
"2018Q3","Capital region","Males","16-24",79.7,6.0,4.8
"2018Q3","Capital region","Males","25-54",92.7,1.0,1.6
"2018Q3","Capital region","Males","55-74",71.1,0.0,2.0
"2018Q3","Capital region","Males","16-64",89.5,1.7,2.1
"2018Q3","Capital region","Males","25-64",92.0,0.8,1.6
"2018Q3","Capital region","Females","16-74",77.9,3.5,2.8
"2018Q3","Capital region","Females","16-24",78.2,6.6,6.9
"2018Q3","Capital region","Females","25-54",87.2,3.4,1.8
"2018Q3","Capital region","Females","55-74",57.9,1.6,2.6
"2018Q3","Capital region","Females","16-64",84.1,3.6,2.7
"2018Q3","Capital region","Females","25-64",85.4,3.0,1.9
"2018Q3","Outside Capital region","Males and females","16-74",79.1,2.4,1.5
"2018Q3","Outside Capital region","Males and females","16-24",79.1,6.5,3.1
"2018Q3","Outside Capital region","Males and females","25-54",89.0,1.9,1.2
"2018Q3","Outside Capital region","Males and females","55-74",62.0,1.1,1.2
"2018Q3","Outside Capital region","Males and females","16-64",85.3,2.5,1.6
"2018Q3","Outside Capital region","Males and females","25-64",86.5,1.8,1.3
"2018Q3","Outside Capital region","Males","16-74",83.4,1.1,1.6
"2018Q3","Outside Capital region","Males","16-24",81.4,5.3,3.9
"2018Q3","Outside Capital region","Males","25-54",90.8,0.7,1.2
"2018Q3","Outside Capital region","Males","55-74",70.9,0.0,1.4
"2018Q3","Outside Capital region","Males","16-64",88.0,1.2,1.7
"2018Q3","Outside Capital region","Males","25-64",89.3,0.5,1.3
"2018Q3","Outside Capital region","Females","16-74",74.3,4.0,1.4
"2018Q3","Outside Capital region","Females","16-24",76.6,8.0,2.3
"2018Q3","Outside Capital region","Females","25-54",86.9,3.4,1.3
"2018Q3","Outside Capital region","Females","55-74",52.4,2.8,0.9
"2018Q3","Outside Capital region","Females","16-64",82.1,4.1,1.4
"2018Q3","Outside Capital region","Females","25-64",83.3,3.4,1.3
"2018Q4","Total","Males and females","16-74",78.6,3.6,2.4
"2018Q4","Total","Males and females","16-24",71.2,12.5,5.3
"2018Q4","Total","Males and females","25-54",88.9,2.4,1.7
"2018Q4","Total","Males and females","55-74",62.0,1.4,2.5
"2018Q4","Total","Males and females","16-64",84.4,3.8,2.4
"2018Q4","Total","Males and females","25-64",87.3,2.2,1.8
"2018Q4","Total","Males","16-74",81.4,2.2,2.5
"2018Q4","Total","Males","16-24",68.7,12.7,5.3
"2018Q4","Total","Males","25-54",90.7,0.6,2.1
"2018Q4","Total","Males","55-74",69.3,0.3,1.9
"2018Q4","Total","Males","16-64",86.2,2.3,2.6
"2018Q4","Total","Males","25-64",90.1,0.6,2.1
"2018Q4","Total","Females","16-74",75.5,5.3,2.3
"2018Q4","Total","Females","16-24",73.9,12.4,5.3
"2018Q4","Total","Females","25-54",86.8,4.4,1.2
"2018Q4","Total","Females","55-74",54.6,2.7,3.1
"2018Q4","Total","Females","16-64",82.4,5.5,2.1
"2018Q4","Total","Females","25-64",84.2,4.2,1.5
