Degree,Year,field,Total,Males,Females
Basic & first degree,2013,Manufacturing and processing,29,13,16
Basic & first degree,2013,Architecture and building,252,150,102
Basic & first degree,2013,"Certified trades, not specified",0,0,0
Basic & first degree,2013,"Agriculture, forestry and fishery",191,97,94
Basic & first degree,2013,Veterinary,0,0,0
Basic & first degree,2013,Health,1628,215,1413
Basic & first degree,2013,Social services,346,30,316
Basic & first degree,2013,Personal services,412,112,300
Basic & first degree,2013,Transport services,10,8,2
Basic & first degree,2013,Environmental protection,8,2,6
Basic & first degree,2013,Security services,0,0,0
Basic & first degree,2013,Unknown,0,0,0
Basic & first degree,2014,Total,13807,5362,8445
Basic & first degree,2014,"Basic/broad, general programmes",0,0,0
Basic & first degree,2014,Literacy and numeracy,0,0,0
Basic & first degree,2014,Personal skills,0,0,0
Basic & first degree,2014,Teacher training and educational science,1282,296,986
Basic & first degree,2014,Arts,530,190,340
Basic & first degree,2014,Humanities,1344,449,895
Basic & first degree,2014,Social and behavioural science,2209,638,1571
Basic & first degree,2014,Journalism and information,123,40,83
Basic & first degree,2014,Business and administration,1767,786,981
Basic & first degree,2014,Law,722,327,395
Basic & first degree,2014,Life science,302,95,207
Basic & first degree,2014,Physical science,318,173,145
Basic & first degree,2014,Mathematics and statistics,69,46,23
Basic & first degree,2014,Computing,1160,918,242
Basic & first degree,2014,"Science, not specified",0,0,0
Basic & first degree,2014,Engineering and engineering trades,1169,785,384
Basic & first degree,2014,Manufacturing and processing,38,16,22
Basic & first degree,2014,Architecture and building,248,142,106
Basic & first degree,2014,"Certified trades, not specified",0,0,0
Basic & first degree,2014,"Agriculture, forestry and fishery",193,90,103
Basic & first degree,2014,Veterinary,0,0,0
Basic & first degree,2014,Health,1573,212,1361
Basic & first degree,2014,Social services,301,27,274
Basic & first degree,2014,Personal services,449,122,327
Basic & first degree,2014,Transport services,8,8,0
Basic & first degree,2014,Environmental protection,2,2,0
Basic & first degree,2014,Security services,0,0,0
Basic & first degree,2014,Unknown,0,0,0
Basic & first degree,2015,Total,13455,5135,8320
Basic & first degree,2015,"Basic/broad, general programmes",0,0,0
Basic & first degree,2015,Literacy and numeracy,0,0,0
Basic & first degree,2015,Personal skills,0,0,0
Basic & first degree,2015,Teacher training and educational science,1343,285,1058
Basic & first degree,2015,Arts,498,173,325
Basic & first degree,2015,Humanities,1217,440,777
Basic & first degree,2015,Social and behavioural science,2144,605,1539
Basic & first degree,2015,Journalism and information,141,50,91
Basic & first degree,2015,Business and administration,1764,816,948
Basic & first degree,2015,Law,628,281,347
Basic & first degree,2015,Life science,307,89,218
Basic & first degree,2015,Physical science,256,148,108
Basic & first degree,2015,Mathematics and statistics,73,52,21
Basic & first degree,2015,Computing,1145,875,270
Basic & first degree,2015,"Science, not specified",0,0,0
Basic & first degree,2015,Engineering and engineering trades,1095,716,379
Basic & first degree,2015,Manufacturing and processing,30,11,19
Basic & first degree,2015,Architecture and building,223,126,97
Basic & first degree,2015,"Certified trades, not specified",0,0,0
Basic & first degree,2015,"Agriculture, forestry and fishery",224,104,120
Basic & first degree,2015,Veterinary,0,0,0
Basic & first degree,2015,Health,1593,229,1364
Basic & first degree,2015,Social services,330,22,308
Basic & first degree,2015,Personal services,433,106,327
Basic & first degree,2015,Transport services,8,5,3
Basic & first degree,2015,Environmental protection,3,2,1
Basic & first degree,2015,Security services,0,0,0
Basic & first degree,2015,Unknown,0,0,0
Basic & first degree,2016,Total,13012,4925,8087
Basic & first degree,2016,"Basic/broad, general programmes",0,0,0
Basic & first degree,2016,Literacy and numeracy,0,0,0
Basic & first degree,2016,Personal skills,0,0,0
Basic & first degree,2016,Teacher training and educational science,1292,288,1004
Basic & first degree,2016,Arts,475,176,299
Basic & first degree,2016,Humanities,1180,426,754
Basic & first degree,2016,Social and behavioural science,1939,545,1394
Basic & first degree,2016,Journalism and information,153,58,95
Basic & first degree,2016,Business and administration,1660,741,919
Basic & first degree,2016,Law,526,225,301
Basic & first degree,2016,Life science,290,92,198
Basic & first degree,2016,Physical science,234,133,101
Basic & first degree,2016,Mathematics and statistics,84,63,21
Basic & first degree,2016,Computing,1098,824,274
Basic & first degree,2016,"Science, not specified",0,0,0
Basic & first degree,2016,Engineering and engineering trades,1073,704,369
Basic & first degree,2016,Manufacturing and processing,29,9,20
Basic & first degree,2016,Architecture and building,231,120,111
Basic & first degree,2016,"Certified trades, not specified",0,0,0
Basic & first degree,2016,"Agriculture, forestry and fishery",216,93,123
Basic & first degree,2016,Veterinary,0,0,0
Basic & first degree,2016,Health,1672,237,1435
Basic & first degree,2016,Social services,309,26,283
Basic & first degree,2016,Personal services,429,101,328
Basic & first degree,2016,Transport services,1,1,0
Basic & first degree,2016,Environmental protection,3,1,2
Basic & first degree,2016,Security services,118,62,56
Basic & first degree,2016,Unknown,0,0,0
Basic & first degree,2017,Total,12683,4802,7881
Basic & first degree,2017,"Basic/broad, general programmes",0,0,0
Basic & first degree,2017,Literacy and numeracy,0,0,0
Basic & first degree,2017,Personal skills,0,0,0
Basic & first degree,2017,Teacher training and educational science,1328,292,1036
Basic & first degree,2017,Arts,423,153,270
Basic & first degree,2017,Humanities,1069,398,671
Basic & first degree,2017,Social and behavioural science,1981,565,1416
Basic & first degree,2017,Journalism and information,144,54,90
Basic & first degree,2017,Business and administration,1644,737,907
Basic & first degree,2017,Law,489,196,293
Basic & first degree,2017,Life science,276,97,179
Basic & first degree,2017,Physical science,188,87,101
Basic & first degree,2017,Mathematics and statistics,89,61,28
Basic & first degree,2017,Computing,1035,776,259
Basic & first degree,2017,"Science, not specified",0,0,0
Basic & first degree,2017,Engineering and engineering trades,1070,703,367
Basic & first degree,2017,Manufacturing and processing,19,5,14
Basic & first degree,2017,Architecture and building,221,130,91
Basic & first degree,2017,"Certified trades, not specified",0,0,0
Basic & first degree,2017,"Agriculture, forestry and fishery",209,88,121
Basic & first degree,2017,Veterinary,0,0,0
Basic & first degree,2017,Health,1654,226,1428
Basic & first degree,2017,Social services,264,20,244
Basic & first degree,2017,Personal services,355,98,257
Basic & first degree,2017,Transport services,0,0,0
Basic & first degree,2017,Environmental protection,4,2,2
Basic & first degree,2017,Security services,221,114,107
Basic & first degree,2017,Unknown,0,0,0
Basic & first degree,2018,Total,12959,4796,8163
Basic & first degree,2018,"Basic/broad, general programmes",0,0,0
Basic & first degree,2018,Literacy and numeracy,0,0,0
Basic & first degree,2018,Personal skills,0,0,0
Basic & first degree,2018,Teacher training and educational science,1457,305,1152
Basic & first degree,2018,Arts,413,144,269
Basic & first degree,2018,Humanities,1083,375,708
Basic & first degree,2018,Social and behavioural science,2118,637,1481
Basic & first degree,2018,Journalism and information,159,55,104
Basic & first degree,2018,Business and administration,1528,666,862
Basic & first degree,2018,Law,518,206,312
Basic & first degree,2018,Life science,279,93,186
Basic & first degree,2018,Physical science,205,110,95
Basic & first degree,2018,Mathematics and statistics,89,57,32
Basic & first degree,2018,Computing,1002,750,252
Basic & first degree,2018,"Science, not specified",0,0,0
Basic & first degree,2018,Engineering and engineering trades,1103,698,405
Basic & first degree,2018,Manufacturing and processing,25,8,17
Basic & first degree,2018,Architecture and building,233,125,108
Basic & first degree,2018,"Certified trades, not specified",0,0,0
Basic & first degree,2018,"Agriculture, forestry and fishery",198,86,112
Basic & first degree,2018,Veterinary,0,0,0
Basic & first degree,2018,Health,1699,239,1460
Basic & first degree,2018,Social services,240,23,217
Basic & first degree,2018,Personal services,304,85,219
Basic & first degree,2018,Transport services,2,1,1
Basic & first degree,2018,Environmental protection,2,1,1
Basic & first degree,2018,Security services,302,132,170
Basic & first degree,2018,Unknown,0,0,0
Basic & first degree,2019,Total,13598,4973,8625
Basic & first degree,2019,"Basic/broad, general programmes",0,0,0
Basic & first degree,2019,Literacy and numeracy,0,0,0
Basic & first degree,2019,Personal skills,0,0,0
Basic & first degree,2019,Teacher training and educational science,1713,413,1300
Basic & first degree,2019,Arts,425,154,271
Basic & first degree,2019,Humanities,1066,374,692
Basic & first degree,2019,Social and behavioural science,2285,700,1585
Basic & first degree,2019,Journalism and information,157,47,110
Basic & first degree,2019,Business and administration,1582,713,869
Basic & first degree,2019,Law,531,205,326
Basic & first degree,2019,Life science,292,96,196
Basic & first degree,2019,Physical science,194,93,101
Basic & first degree,2019,Mathematics and statistics,87,54,33
Basic & first degree,2019,Computing,961,714,247
Basic & first degree,2019,"Science, not specified",0,0,0
Basic & first degree,2019,Engineering and engineering trades,1064,711,353
Basic & first degree,2019,Manufacturing and processing,26,8,18
Basic & first degree,2019,Architecture and building,264,122,142
Basic & first degree,2019,"Certified trades, not specified",0,0,0
Basic & first degree,2019,"Agriculture, forestry and fishery",193,69,124
Basic & first degree,2019,Veterinary,0,0,0
Basic & first degree,2019,Health,1895,258,1637
Basic & first degree,2019,Social services,276,19,257
Basic & first degree,2019,Personal services,250,71,179
Basic & first degree,2019,Transport services,6,4,2
Basic & first degree,2019,Environmental protection,1,0,1
Basic & first degree,2019,Security services,330,148,182
Basic & first degree,2019,Unknown,0,0,0
Master's degree,1997,Total,398,152,246
Master's degree,1997,"Basic/broad, general programmes",0,0,0
Master's degree,1997,Literacy and numeracy,0,0,0
Master's degree,1997,Personal skills,0,0,0
Master's degree,1997,Teacher training and educational science,146,28,118
Master's degree,1997,Arts,2,2,0
Master's degree,1997,Humanities,87,31,56
Master's degree,1997,Social and behavioural science,34,18,16
Master's degree,1997,Journalism and information,1,0,1
Master's degree,1997,Business and administration,19,14,5
Master's degree,1997,Law,0,0,0
Master's degree,1997,Life science,27,13,14
Master's degree,1997,Physical science,24,16,8
Master's degree,1997,Mathematics and statistics,0,0,0
Master's degree,1997,Computing,1,1,0
Master's degree,1997,"Science, not specified",0,0,0
Master's degree,1997,Engineering and engineering trades,10,7,3
Master's degree,1997,Manufacturing and processing,5,2,3
Master's degree,1997,Architecture and building,0,0,0
Master's degree,1997,"Certified trades, not specified",0,0,0
Master's degree,1997,"Agriculture, forestry and fishery",6,5,1
Master's degree,1997,Veterinary,0,0,0
Master's degree,1997,Health,36,15,21
Master's degree,1997,Social services,0,0,0
Master's degree,1997,Personal services,0,0,0
Master's degree,1997,Transport services,0,0,0
Master's degree,1997,Environmental protection,0,0,0
Master's degree,1997,Security services,0,0,0
Master's degree,1997,Unknown,0,0,0
Master's degree,1998,Total,415,145,270
Master's degree,1998,"Basic/broad, general programmes",0,0,0
Master's degree,1998,Literacy and numeracy,0,0,0
Master's degree,1998,Personal skills,0,0,0
Master's degree,1998,Teacher training and educational science,119,20,99
Master's degree,1998,Arts,0,0,0
Master's degree,1998,Humanities,89,26,63
Master's degree,1998,Social and behavioural science,29,15,14
Master's degree,1998,Journalism and information,1,0,1
Master's degree,1998,Business and administration,31,17,14
Master's degree,1998,Law,0,0,0
Master's degree,1998,Life science,27,11,16
Master's degree,1998,Physical science,22,14,8
Master's degree,1998,Mathematics and statistics,1,1,0
Master's degree,1998,Computing,10,5,5
Master's degree,1998,"Science, not specified",0,0,0
Master's degree,1998,Engineering and engineering trades,12,10,2
Master's degree,1998,Manufacturing and processing,8,4,4
Master's degree,1998,Architecture and building,0,0,0
Master's degree,1998,"Certified trades, not specified",0,0,0
Master's degree,1998,"Agriculture, forestry and fishery",7,6,1
Master's degree,1998,Veterinary,0,0,0
Master's degree,1998,Health,59,16,43
Master's degree,1998,Social services,0,0,0
Master's degree,1998,Personal services,0,0,0
Master's degree,1998,Transport services,0,0,0
Master's degree,1998,Environmental protection,0,0,0
Master's degree,1998,Security services,0,0,0
Master's degree,1998,Unknown,0,0,0
Master's degree,1999,Total,522,207,315
Master's degree,1999,"Basic/broad, general programmes",0,0,0
Master's degree,1999,Literacy and numeracy,0,0,0
Master's degree,1999,Personal skills,0,0,0
Master's degree,1999,Teacher training and educational science,112,15,97
Master's degree,1999,Arts,0,0,0
Master's degree,1999,Humanities,84,24,60
Master's degree,1999,Social and behavioural science,55,26,29
Master's degree,1999,Journalism and information,0,0,0
Master's degree,1999,Business and administration,69,43,26
Master's degree,1999,Law,0,0,0
Master's degree,1999,Life science,56,30,26
Master's degree,1999,Physical science,14,9,5
Master's degree,1999,Mathematics and statistics,0,0,0
Master's degree,1999,Computing,19,13,6
Master's degree,1999,"Science, not specified",0,0,0
Master's degree,1999,Engineering and engineering trades,29,24,5
Master's degree,1999,Manufacturing and processing,13,6,7
Master's degree,1999,Architecture and building,0,0,0
Master's degree,1999,"Certified trades, not specified",0,0,0
Master's degree,1999,"Agriculture, forestry and fishery",10,8,2
Master's degree,1999,Veterinary,0,0,0
Master's degree,1999,Health,61,9,52
Master's degree,1999,Social services,0,0,0
Master's degree,1999,Personal services,0,0,0
Master's degree,1999,Transport services,0,0,0
Master's degree,1999,Environmental protection,0,0,0
Master's degree,1999,Security services,0,0,0
Master's degree,1999,Unknown,0,0,0
Master's degree,2000,Total,563,219,344
Master's degree,2000,"Basic/broad, general programmes",0,0,0
Master's degree,2000,Literacy and numeracy,0,0,0
Master's degree,2000,Personal skills,0,0,0
Master's degree,2000,Teacher training and educational science,113,12,101
Master's degree,2000,Arts,0,0,0
Master's degree,2000,Humanities,84,28,56
Master's degree,2000,Social and behavioural science,54,25,29
Master's degree,2000,Journalism and information,0,0,0
Master's degree,2000,Business and administration,97,54,43
Master's degree,2000,Law,0,0,0
Master's degree,2000,Life science,54,26,28
Master's degree,2000,Physical science,23,17,6
Master's degree,2000,Mathematics and statistics,2,1,1
Master's degree,2000,Computing,22,15,7
Master's degree,2000,"Science, not specified",0,0,0
Master's degree,2000,Engineering and engineering trades,25,20,5
Master's degree,2000,Manufacturing and processing,6,3,3
Master's degree,2000,Architecture and building,1,0,1
Master's degree,2000,"Certified trades, not specified",0,0,0
Master's degree,2000,"Agriculture, forestry and fishery",7,5,2
Master's degree,2000,Veterinary,0,0,0
Master's degree,2000,Health,73,13,60
Master's degree,2000,Social services,2,0,2
Master's degree,2000,Personal services,0,0,0
Master's degree,2000,Transport services,0,0,0
Master's degree,2000,Environmental protection,0,0,0
Master's degree,2000,Security services,0,0,0
Master's degree,2000,Unknown,0,0,0
Master's degree,2001,Total,669,233,436
Master's degree,2001,"Basic/broad, general programmes",0,0,0
Master's degree,2001,Literacy and numeracy,0,0,0
Master's degree,2001,Personal skills,0,0,0
Master's degree,2001,Teacher training and educational science,154,22,132
Master's degree,2001,Arts,0,0,0
Master's degree,2001,Humanities,85,28,57
Master's degree,2001,Social and behavioural science,80,31,49
Master's degree,2001,Journalism and information,0,0,0
Master's degree,2001,Business and administration,116,54,62
Master's degree,2001,Law,0,0,0
Master's degree,2001,Life science,49,20,29
Master's degree,2001,Physical science,15,10,5
Master's degree,2001,Mathematics and statistics,1,1,0
Master's degree,2001,Computing,25,13,12
Master's degree,2001,"Science, not specified",0,0,0
Master's degree,2001,Engineering and engineering trades,37,32,5
Master's degree,2001,Manufacturing and processing,3,1,2
Master's degree,2001,Architecture and building,4,4,0
Master's degree,2001,"Certified trades, not specified",0,0,0
Master's degree,2001,"Agriculture, forestry and fishery",10,5,5
Master's degree,2001,Veterinary,0,0,0
Master's degree,2001,Health,90,12,78
Master's degree,2001,Social services,0,0,0
Master's degree,2001,Personal services,0,0,0
Master's degree,2001,Transport services,0,0,0
Master's degree,2001,Environmental protection,0,0,0
Master's degree,2001,Security services,0,0,0
Master's degree,2001,Unknown,0,0,0
Master's degree,2002,Total,1019,382,637
Master's degree,2002,"Basic/broad, general programmes",0,0,0
Master's degree,2002,Literacy and numeracy,0,0,0
Master's degree,2002,Personal skills,0,0,0
Master's degree,2002,Teacher training and educational science,207,31,176
Master's degree,2002,Arts,0,0,0
Master's degree,2002,Humanities,124,50,74
Master's degree,2002,Social and behavioural science,110,41,69
Master's degree,2002,Journalism and information,0,0,0
Master's degree,2002,Business and administration,305,146,159
Master's degree,2002,Law,0,0,0
Master's degree,2002,Life science,44,18,26
Master's degree,2002,Physical science,16,11,5
Master's degree,2002,Mathematics and statistics,1,1,0
Master's degree,2002,Computing,34,20,14
Master's degree,2002,"Science, not specified",0,0,0
Master's degree,2002,Engineering and engineering trades,41,37,4
Master's degree,2002,Manufacturing and processing,4,0,4
Master's degree,2002,Architecture and building,15,10,5
Master's degree,2002,"Certified trades, not specified",0,0,0
Master's degree,2002,"Agriculture, forestry and fishery",9,5,4
Master's degree,2002,Veterinary,0,0,0
Master's degree,2002,Health,105,12,93
Master's degree,2002,Social services,3,0,3
Master's degree,2002,Personal services,1,0,1
Master's degree,2002,Transport services,0,0,0
Master's degree,2002,Environmental protection,0,0,0
Master's degree,2002,Security services,0,0,0
Master's degree,2002,Unknown,0,0,0
Master's degree,2003,Total,1291,469,822
Master's degree,2003,"Basic/broad, general programmes",0,0,0
Master's degree,2003,Literacy and numeracy,0,0,0
Master's degree,2003,Personal skills,0,0,0
Master's degree,2003,Teacher training and educational science,205,37,168
Master's degree,2003,Arts,0,0,0
Master's degree,2003,Humanities,138,49,89
Master's degree,2003,Social and behavioural science,219,80,139
Master's degree,2003,Journalism and information,0,0,0
Master's degree,2003,Business and administration,348,163,185
Master's degree,2003,Law,4,1,3
Master's degree,2003,Life science,60,23,37
Master's degree,2003,Physical science,20,14,6
Master's degree,2003,Mathematics and statistics,2,2,0
Master's degree,2003,Computing,43,33,10
Master's degree,2003,"Science, not specified",0,0,0
Master's degree,2003,Engineering and engineering trades,48,39,9
Master's degree,2003,Manufacturing and processing,3,0,3
Master's degree,2003,Architecture and building,12,10,2
Master's degree,2003,"Certified trades, not specified",0,0,0
Master's degree,2003,"Agriculture, forestry and fishery",7,3,4
Master's degree,2003,Veterinary,0,0,0
Master's degree,2003,Health,153,14,139
Master's degree,2003,Social services,26,1,25
Master's degree,2003,Personal services,1,0,1
Master's degree,2003,Transport services,0,0,0
Master's degree,2003,Environmental protection,2,0,2
Master's degree,2003,Security services,0,0,0
Master's degree,2003,Unknown,0,0,0
Master's degree,2004,Total,1628,574,1054
Master's degree,2004,"Basic/broad, general programmes",0,0,0
Master's degree,2004,Literacy and numeracy,0,0,0
Master's degree,2004,Personal skills,0,0,0
Master's degree,2004,Teacher training and educational science,279,47,232
Master's degree,2004,Arts,0,0,0
Master's degree,2004,Humanities,146,57,89
Master's degree,2004,Social and behavioural science,225,79,146
Master's degree,2004,Journalism and information,50,10,40
Master's degree,2004,Business and administration,456,204,252
Master's degree,2004,Law,19,11,8
Master's degree,2004,Life science,59,21,38
Master's degree,2004,Physical science,35,19,16
Master's degree,2004,Mathematics and statistics,4,4,0
Master's degree,2004,Computing,43,33,10
Master's degree,2004,"Science, not specified",0,0,0
Master's degree,2004,Engineering and engineering trades,69,54,15
Master's degree,2004,Manufacturing and processing,3,1,2
Master's degree,2004,Architecture and building,26,17,9
Master's degree,2004,"Certified trades, not specified",0,0,0
Master's degree,2004,"Agriculture, forestry and fishery",5,2,3
Master's degree,2004,Veterinary,0,0,0
Master's degree,2004,Health,161,12,149
Master's degree,2004,Social services,44,3,41
Master's degree,2004,Personal services,2,0,2
Master's degree,2004,Transport services,0,0,0
Master's degree,2004,Environmental protection,2,0,2
Master's degree,2004,Security services,0,0,0
Master's degree,2004,Unknown,0,0,0
Master's degree,2005,Total,2101,776,1325
Master's degree,2005,"Basic/broad, general programmes",0,0,0
Master's degree,2005,Literacy and numeracy,0,0,0
Master's degree,2005,Personal skills,0,0,0
Master's degree,2005,Teacher training and educational science,223,43,180
Master's degree,2005,Arts,0,0,0
Master's degree,2005,Humanities,161,53,108
Master's degree,2005,Social and behavioural science,313,115,198
Master's degree,2005,Journalism and information,75,18,57
Master's degree,2005,Business and administration,716,328,388
Master's degree,2005,Law,113,54,59
Master's degree,2005,Life science,61,28,33
Master's degree,2005,Physical science,40,22,18
Master's degree,2005,Mathematics and statistics,4,4,0
Master's degree,2005,Computing,45,33,12
Master's degree,2005,"Science, not specified",0,0,0
Master's degree,2005,Engineering and engineering trades,47,31,16
Master's degree,2005,Manufacturing and processing,3,2,1
Master's degree,2005,Architecture and building,24,14,10
Master's degree,2005,"Certified trades, not specified",0,0,0
Master's degree,2005,"Agriculture, forestry and fishery",10,4,6
Master's degree,2005,Veterinary,0,0,0
Master's degree,2005,Health,206,22,184
Master's degree,2005,Social services,51,2,49
Master's degree,2005,Personal services,1,0,1
Master's degree,2005,Transport services,0,0,0
Master's degree,2005,Environmental protection,8,3,5
Master's degree,2005,Security services,0,0,0
Master's degree,2005,Unknown,0,0,0
Master's degree,2006,Total,2537,918,1619
Master's degree,2006,"Basic/broad, general programmes",0,0,0
Master's degree,2006,Literacy and numeracy,0,0,0
Master's degree,2006,Personal skills,0,0,0
Master's degree,2006,Teacher training and educational science,344,63,281
Master's degree,2006,Arts,0,0,0
Master's degree,2006,Humanities,217,68,149
Master's degree,2006,Social and behavioural science,352,118,234
Master's degree,2006,Journalism and information,63,15,48
Master's degree,2006,Business and administration,725,328,397
Master's degree,2006,Law,266,117,149
Master's degree,2006,Life science,76,31,45
Master's degree,2006,Physical science,43,23,20
Master's degree,2006,Mathematics and statistics,1,1,0
Master's degree,2006,Computing,44,33,11
Master's degree,2006,"Science, not specified",0,0,0
Master's degree,2006,Engineering and engineering trades,58,40,18
Master's degree,2006,Manufacturing and processing,6,2,4
Master's degree,2006,Architecture and building,51,44,7
Master's degree,2006,"Certified trades, not specified",0,0,0
Master's degree,2006,"Agriculture, forestry and fishery",17,6,11
Master's degree,2006,Veterinary,0,0,0
Master's degree,2006,Health,204,23,181
Master's degree,2006,Social services,56,2,54
Master's degree,2006,Personal services,1,0,1
Master's degree,2006,Transport services,0,0,0
Master's degree,2006,Environmental protection,13,4,9
Master's degree,2006,Security services,0,0,0
Master's degree,2006,Unknown,0,0,0
Master's degree,2007,Total,3454,1164,2290
Master's degree,2007,"Basic/broad, general programmes",0,0,0
Master's degree,2007,Literacy and numeracy,0,0,0
Master's degree,2007,Personal skills,0,0,0
Master's degree,2007,Teacher training and educational science,534,79,455
Master's degree,2007,Arts,0,0,0
Master's degree,2007,Humanities,276,77,199
Master's degree,2007,Social and behavioural science,422,136,286
Master's degree,2007,Journalism and information,64,9,55
Master's degree,2007,Business and administration,1014,414,600
Master's degree,2007,Law,374,161,213
Master's degree,2007,Life science,90,36,54
Master's degree,2007,Physical science,35,19,16
Master's degree,2007,Mathematics and statistics,3,3,0
Master's degree,2007,Computing,48,38,10
Master's degree,2007,"Science, not specified",0,0,0
Master's degree,2007,Engineering and engineering trades,105,77,28
Master's degree,2007,Manufacturing and processing,7,2,5
Master's degree,2007,Architecture and building,76,60,16
Master's degree,2007,"Certified trades, not specified",0,0,0
Master's degree,2007,"Agriculture, forestry and fishery",15,3,12
Master's degree,2007,Veterinary,0,0,0
Master's degree,2007,Health,299,39,260
Master's degree,2007,Social services,63,2,61
Master's degree,2007,Personal services,15,5,10
Master's degree,2007,Transport services,0,0,0
Master's degree,2007,Environmental protection,14,4,10
Master's degree,2007,Security services,0,0,0
Master's degree,2007,Unknown,0,0,0
Master's degree,2008,Total,3731,1251,2480
Master's degree,2008,"Basic/broad, general programmes",0,0,0
Master's degree,2008,Literacy and numeracy,0,0,0
Master's degree,2008,Personal skills,0,0,0
Master's degree,2008,Teacher training and educational science,562,66,496
Master's degree,2008,Arts,3,3,0
Master's degree,2008,Humanities,251,71,180
Master's degree,2008,Social and behavioural science,400,145,255
Master's degree,2008,Journalism and information,66,8,58
Master's degree,2008,Business and administration,1209,468,741
Master's degree,2008,Law,433,196,237
Master's degree,2008,Life science,71,26,45
Master's degree,2008,Physical science,36,24,12
Master's degree,2008,Mathematics and statistics,5,5,0
Master's degree,2008,Computing,53,45,8
Master's degree,2008,"Science, not specified",0,0,0
Master's degree,2008,Engineering and engineering trades,118,85,33
Master's degree,2008,Manufacturing and processing,7,2,5
Master's degree,2008,Architecture and building,59,47,12
Master's degree,2008,"Certified trades, not specified",0,0,0
Master's degree,2008,"Agriculture, forestry and fishery",14,2,12
Master's degree,2008,Veterinary,0,0,0
Master's degree,2008,Health,317,43,274
Master's degree,2008,Social services,96,4,92
Master's degree,2008,Personal services,21,8,13
Master's degree,2008,Transport services,0,0,0
Master's degree,2008,Environmental protection,10,3,7
Master's degree,2008,Security services,0,0,0
Master's degree,2008,Unknown,0,0,0
Master's degree,2009,Total,4091,1412,2679
Master's degree,2009,"Basic/broad, general programmes",0,0,0
Master's degree,2009,Literacy and numeracy,0,0,0
Master's degree,2009,Personal skills,0,0,0
Master's degree,2009,Teacher training and educational science,633,88,545
Master's degree,2009,Arts,8,7,1
Master's degree,2009,Humanities,322,93,229
Master's degree,2009,Social and behavioural science,454,150,304
Master's degree,2009,Journalism and information,72,15,57
Master's degree,2009,Business and administration,1155,483,672
Master's degree,2009,Law,454,195,259
Master's degree,2009,Life science,123,48,75
Master's degree,2009,Physical science,32,19,13
Master's degree,2009,Mathematics and statistics,6,5,1
Master's degree,2009,Computing,47,41,6
Master's degree,2009,"Science, not specified",0,0,0
Master's degree,2009,Engineering and engineering trades,195,135,60
Master's degree,2009,Manufacturing and processing,5,1,4
Master's degree,2009,Architecture and building,104,69,35
Master's degree,2009,"Certified trades, not specified",0,0,0
Master's degree,2009,"Agriculture, forestry and fishery",13,3,10
Master's degree,2009,Veterinary,0,0,0
Master's degree,2009,Health,340,46,294
Master's degree,2009,Social services,104,6,98
Master's degree,2009,Personal services,12,5,7
Master's degree,2009,Transport services,0,0,0
Master's degree,2009,Environmental protection,12,3,9
Master's degree,2009,Security services,0,0,0
Master's degree,2009,Unknown,0,0,0
Master's degree,2010,Total,4269,1417,2852
Master's degree,2010,"Basic/broad, general programmes",0,0,0
Master's degree,2010,Literacy and numeracy,0,0,0
Master's degree,2010,Personal skills,0,0,0
Master's degree,2010,Teacher training and educational science,670,84,586
Master's degree,2010,Arts,10,5,5
Master's degree,2010,Humanities,387,112,275
Master's degree,2010,Social and behavioural science,488,146,342
Master's degree,2010,Journalism and information,64,14,50
Master's degree,2010,Business and administration,1092,442,650
Master's degree,2010,Law,396,172,224
Master's degree,2010,Life science,153,59,94
Master's degree,2010,Physical science,60,36,24
Master's degree,2010,Mathematics and statistics,9,7,2
Master's degree,2010,Computing,48,44,4
Master's degree,2010,"Science, not specified",0,0,0
Master's degree,2010,Engineering and engineering trades,247,173,74
Master's degree,2010,Manufacturing and processing,7,4,3
Master's degree,2010,Architecture and building,94,60,34
Master's degree,2010,"Certified trades, not specified",0,0,0
Master's degree,2010,"Agriculture, forestry and fishery",14,5,9
Master's degree,2010,Veterinary,0,0,0
Master's degree,2010,Health,331,37,294
Master's degree,2010,Social services,163,9,154
Master's degree,2010,Personal services,24,5,19
Master's degree,2010,Transport services,0,0,0
Master's degree,2010,Environmental protection,12,3,9
Master's degree,2010,Security services,0,0,0
Master's degree,2010,Unknown,0,0,0
Master's degree,2011,Total,4302,1373,2929
Master's degree,2011,"Basic/broad, general programmes",0,0,0
Master's degree,2011,Literacy and numeracy,0,0,0
Master's degree,2011,Personal skills,0,0,0
Master's degree,2011,Teacher training and educational science,721,103,618
Master's degree,2011,Arts,12,6,6
Master's degree,2011,Humanities,408,120,288
Master's degree,2011,Social and behavioural science,467,136,331
Master's degree,2011,Journalism and information,56,15,41
Master's degree,2011,Business and administration,1098,421,677
Master's degree,2011,Law,420,179,241
Master's degree,2011,Life science,153,51,102
Master's degree,2011,Physical science,53,27,26
Master's degree,2011,Mathematics and statistics,9,8,1
Master's degree,2011,Computing,48,44,4
Master's degree,2011,"Science, not specified",0,0,0
Master's degree,2011,Engineering and engineering trades,153,100,53
Master's degree,2011,Manufacturing and processing,3,2,1
Master's degree,2011,Architecture and building,111,61,50
Master's degree,2011,"Certified trades, not specified",0,0,0
Master's degree,2011,"Agriculture, forestry and fishery",17,10,7
Master's degree,2011,Veterinary,0,0,0
Master's degree,2011,Health,352,66,286
Master's degree,2011,Social services,183,10,173
