Sex,age_region,Education,Year,Percent
Males,Other regions 16-74 years,Education unknown,2016,0.0
Males,Capital region 25-64 years,Basic education,2016,0.162
Males,Capital region 25-64 years,Upper secondary education,2016,0.428
Males,Capital region 25-64 years,Tertiary education,2016,0.41
Males,Capital region 25-64 years,Education unknown,2016,0.0
Males,Other regions 25-64 years,Basic education,2016,0.329
Males,Other regions 25-64 years,Upper secondary education,2016,0.483
Males,Other regions 25-64 years,Tertiary education,2016,0.188
Males,Other regions 25-64 years,Education unknown,2016,0.0
Females,25 to 64 years,Basic education,2016,0.217
Females,25 to 64 years,Upper secondary education,2016,0.301
Females,25 to 64 years,Tertiary education,2016,0.482
Females,25 to 64 years,Education unknown,2016,0.0
Females,20 to 24 years,Basic education,2016,0.265
Females,20 to 24 years,Upper secondary education,2016,0.666
Females,20 to 24 years,Tertiary education,2016,0.069
Females,20 to 24 years,Education unknown,2016,0.0
Females,25 to 29 years,Basic education,2016,0.161
Females,25 to 29 years,Upper secondary education,2016,0.348
Females,25 to 29 years,Tertiary education,2016,0.491
Females,25 to 29 years,Education unknown,2016,0.0
Females,30 to 49 years,Basic education,2016,0.16
Females,30 to 49 years,Upper secondary education,2016,0.282
Females,30 to 49 years,Tertiary education,2016,0.559
Females,30 to 49 years,Education unknown,2016,0.0
Females,50 to 64 years,Basic education,2016,0.316
Females,50 to 64 years,Upper secondary education,2016,0.311
Females,50 to 64 years,Tertiary education,2016,0.373
Females,50 to 64 years,Education unknown,2016,0.0
Females,65 to 74 years,Basic education,2016,0.511
Females,65 to 74 years,Upper secondary education,2016,0.296
Females,65 to 74 years,Tertiary education,2016,0.193
Females,65 to 74 years,Education unknown,2016,0.0
Females,Capital region 16-74 years,Basic education,2016,0.248
Females,Capital region 16-74 years,Upper secondary education,2016,0.336
Females,Capital region 16-74 years,Tertiary education,2016,0.416
Females,Capital region 16-74 years,Education unknown,2016,0.0
Females,Other regions 16-74 years,Basic education,2016,0.414
Females,Other regions 16-74 years,Upper secondary education,2016,0.282
Females,Other regions 16-74 years,Tertiary education,2016,0.304
Females,Other regions 16-74 years,Education unknown,2016,0.0
Females,Capital region 25-64 years,Basic education,2016,0.154
Females,Capital region 25-64 years,Upper secondary education,2016,0.307
Females,Capital region 25-64 years,Tertiary education,2016,0.538
Females,Capital region 25-64 years,Education unknown,2016,0.0
Females,Other regions 25-64 years,Basic education,2016,0.324
Females,Other regions 25-64 years,Upper secondary education,2016,0.291
Females,Other regions 25-64 years,Tertiary education,2016,0.385
Females,Other regions 25-64 years,Education unknown,2016,0.0
Total,25 to 64 years,Basic education,2017,0.228
Total,25 to 64 years,Upper secondary education,2017,0.348
Total,25 to 64 years,Tertiary education,2017,0.424
Total,25 to 64 years,Education unknown,2017,0.0
Total,20 to 24 years,Basic education,2017,0.349
Total,20 to 24 years,Upper secondary education,2017,0.585
Total,20 to 24 years,Tertiary education,2017,0.066
Total,20 to 24 years,Education unknown,2017,0.0
Total,25 to 29 years,Basic education,2017,0.219
Total,25 to 29 years,Upper secondary education,2017,0.364
Total,25 to 29 years,Tertiary education,2017,0.418
Total,25 to 29 years,Education unknown,2017,0.0
Total,30 to 49 years,Basic education,2017,0.194
Total,30 to 49 years,Upper secondary education,2017,0.316
Total,30 to 49 years,Tertiary education,2017,0.49
Total,30 to 49 years,Education unknown,2017,0.0
Total,50 to 64 years,Basic education,2017,0.282
Total,50 to 64 years,Upper secondary education,2017,0.386
Total,50 to 64 years,Tertiary education,2017,0.333
Total,50 to 64 years,Education unknown,2017,0.0
Total,65 to 74 years,Basic education,2017,0.396
Total,65 to 74 years,Upper secondary education,2017,0.392
Total,65 to 74 years,Tertiary education,2017,0.211
Total,65 to 74 years,Education unknown,2017,0.001
Total,Capital region 16-74 years,Basic education,2017,0.258
Total,Capital region 16-74 years,Upper secondary education,2017,0.35
Total,Capital region 16-74 years,Tertiary education,2017,0.391
Total,Capital region 16-74 years,Education unknown,2017,0.0
Total,Other regions 16-74 years,Basic education,2017,0.399
Total,Other regions 16-74 years,Upper secondary education,2017,0.363
Total,Other regions 16-74 years,Tertiary education,2017,0.237
Total,Other regions 16-74 years,Education unknown,2017,0.0
Total,Capital region 25-64 years,Basic education,2017,0.175
Total,Capital region 25-64 years,Upper secondary education,2017,0.329
Total,Capital region 25-64 years,Tertiary education,2017,0.496
Total,Capital region 25-64 years,Education unknown,2017,0.0
Total,Other regions 25-64 years,Basic education,2017,0.319
Total,Other regions 25-64 years,Upper secondary education,2017,0.379
Total,Other regions 25-64 years,Tertiary education,2017,0.302
Total,Other regions 25-64 years,Education unknown,2017,0.0
Males,25 to 64 years,Basic education,2017,0.232
Males,25 to 64 years,Upper secondary education,2017,0.422
Males,25 to 64 years,Tertiary education,2017,0.347
Males,25 to 64 years,Education unknown,2017,0.0
Males,20 to 24 years,Basic education,2017,0.411
Males,20 to 24 years,Upper secondary education,2017,0.544
Males,20 to 24 years,Tertiary education,2017,0.044
Males,20 to 24 years,Education unknown,2017,0.0
Males,25 to 29 years,Basic education,2017,0.262
Males,25 to 29 years,Upper secondary education,2017,0.386
Males,25 to 29 years,Tertiary education,2017,0.352
Males,25 to 29 years,Education unknown,2017,0.0
Males,30 to 49 years,Basic education,2017,0.222
Males,30 to 49 years,Upper secondary education,2017,0.389
Males,30 to 49 years,Tertiary education,2017,0.389
Males,30 to 49 years,Education unknown,2017,0.0
Males,50 to 64 years,Basic education,2017,0.233
Males,50 to 64 years,Upper secondary education,2017,0.485
Males,50 to 64 years,Tertiary education,2017,0.282
Males,50 to 64 years,Education unknown,2017,0.0
Males,65 to 74 years,Basic education,2017,0.279
Males,65 to 74 years,Upper secondary education,2017,0.511
Males,65 to 74 years,Tertiary education,2017,0.211
Males,65 to 74 years,Education unknown,2017,0.0
Males,Capital region 16-74 years,Basic education,2017,0.252
Males,Capital region 16-74 years,Upper secondary education,2017,0.403
Males,Capital region 16-74 years,Tertiary education,2017,0.345
Males,Capital region 16-74 years,Education unknown,2017,0.0
Males,Other regions 16-74 years,Basic education,2017,0.399
Males,Other regions 16-74 years,Upper secondary education,2017,0.445
Males,Other regions 16-74 years,Tertiary education,2017,0.157
Males,Other regions 16-74 years,Education unknown,2017,0.0
Males,Capital region 25-64 years,Basic education,2017,0.172
Males,Capital region 25-64 years,Upper secondary education,2017,0.395
Males,Capital region 25-64 years,Tertiary education,2017,0.433
Males,Capital region 25-64 years,Education unknown,2017,0.0
Males,Other regions 25-64 years,Basic education,2017,0.337
Males,Other regions 25-64 years,Upper secondary education,2017,0.468
Males,Other regions 25-64 years,Tertiary education,2017,0.195
Males,Other regions 25-64 years,Education unknown,2017,0.0
Females,25 to 64 years,Basic education,2017,0.225
Females,25 to 64 years,Upper secondary education,2017,0.27
Females,25 to 64 years,Tertiary education,2017,0.505
Females,25 to 64 years,Education unknown,2017,0.0
Females,20 to 24 years,Basic education,2017,0.278
Females,20 to 24 years,Upper secondary education,2017,0.631
Females,20 to 24 years,Tertiary education,2017,0.091
Females,20 to 24 years,Education unknown,2017,0.0
Females,25 to 29 years,Basic education,2017,0.171
Females,25 to 29 years,Upper secondary education,2017,0.339
Females,25 to 29 years,Tertiary education,2017,0.49
Females,25 to 29 years,Education unknown,2017,0.0
Females,30 to 49 years,Basic education,2017,0.163
Females,30 to 49 years,Upper secondary education,2017,0.239
Females,30 to 49 years,Tertiary education,2017,0.599
Females,30 to 49 years,Education unknown,2017,0.0
Females,50 to 64 years,Basic education,2017,0.331
Females,50 to 64 years,Upper secondary education,2017,0.286
Females,50 to 64 years,Tertiary education,2017,0.383
Females,50 to 64 years,Education unknown,2017,0.0
Females,65 to 74 years,Basic education,2017,0.513
Females,65 to 74 years,Upper secondary education,2017,0.274
Females,65 to 74 years,Tertiary education,2017,0.211
Females,65 to 74 years,Education unknown,2017,0.003
Females,Capital region 16-74 years,Basic education,2017,0.265
Females,Capital region 16-74 years,Upper secondary education,2017,0.295
Females,Capital region 16-74 years,Tertiary education,2017,0.44
Females,Capital region 16-74 years,Education unknown,2017,0.0
Females,Other regions 16-74 years,Basic education,2017,0.4
Females,Other regions 16-74 years,Upper secondary education,2017,0.278
Females,Other regions 16-74 years,Tertiary education,2017,0.321
Females,Other regions 16-74 years,Education unknown,2017,0.001
Females,Capital region 25-64 years,Basic education,2017,0.179
Females,Capital region 25-64 years,Upper secondary education,2017,0.257
Females,Capital region 25-64 years,Tertiary education,2017,0.564
Females,Capital region 25-64 years,Education unknown,2017,0.0
Females,Other regions 25-64 years,Basic education,2017,0.301
Females,Other regions 25-64 years,Upper secondary education,2017,0.29
Females,Other regions 25-64 years,Tertiary education,2017,0.41
Females,Other regions 25-64 years,Education unknown,2017,0.0
Total,25 to 64 years,Basic education,2018,0.221
Total,25 to 64 years,Upper secondary education,2018,0.341
Total,25 to 64 years,Tertiary education,2018,0.438
Total,25 to 64 years,Education unknown,2018,0.0
Total,20 to 24 years,Basic education,2018,0.385
Total,20 to 24 years,Upper secondary education,2018,0.565
Total,20 to 24 years,Tertiary education,2018,0.05
Total,20 to 24 years,Education unknown,2018,0.0
Total,25 to 29 years,Basic education,2018,0.204
Total,25 to 29 years,Upper secondary education,2018,0.369
Total,25 to 29 years,Tertiary education,2018,0.427
Total,25 to 29 years,Education unknown,2018,0.0
Total,30 to 49 years,Basic education,2018,0.188
Total,30 to 49 years,Upper secondary education,2018,0.306
Total,30 to 49 years,Tertiary education,2018,0.506
Total,30 to 49 years,Education unknown,2018,0.0
Total,50 to 64 years,Basic education,2018,0.277
Total,50 to 64 years,Upper secondary education,2018,0.382
Total,50 to 64 years,Tertiary education,2018,0.341
Total,50 to 64 years,Education unknown,2018,0.0
Total,65 to 74 years,Basic education,2018,0.393
Total,65 to 74 years,Upper secondary education,2018,0.355
Total,65 to 74 years,Tertiary education,2018,0.253
Total,65 to 74 years,Education unknown,2018,0.0
Total,Capital region 16-74 years,Basic education,2018,0.25
Total,Capital region 16-74 years,Upper secondary education,2018,0.334
Total,Capital region 16-74 years,Tertiary education,2018,0.416
Total,Capital region 16-74 years,Education unknown,2018,0.0
Total,Other regions 16-74 years,Basic education,2018,0.401
Total,Other regions 16-74 years,Upper secondary education,2018,0.367
Total,Other regions 16-74 years,Tertiary education,2018,0.233
Total,Other regions 16-74 years,Education unknown,2018,0.0
Total,Capital region 25-64 years,Basic education,2018,0.165
Total,Capital region 25-64 years,Upper secondary education,2018,0.315
Total,Capital region 25-64 years,Tertiary education,2018,0.519
Total,Capital region 25-64 years,Education unknown,2018,0.0
Total,Other regions 25-64 years,Basic education,2018,0.322
Total,Other regions 25-64 years,Upper secondary education,2018,0.387
Total,Other regions 25-64 years,Tertiary education,2018,0.291
Total,Other regions 25-64 years,Education unknown,2018,0.0
Males,25 to 64 years,Basic education,2018,0.239
Males,25 to 64 years,Upper secondary education,2018,0.409
Males,25 to 64 years,Tertiary education,2018,0.353
Males,25 to 64 years,Education unknown,2018,0.0
Males,20 to 24 years,Basic education,2018,0.463
Males,20 to 24 years,Upper secondary education,2018,0.501
Males,20 to 24 years,Tertiary education,2018,0.036
Males,20 to 24 years,Education unknown,2018,0.0
Males,25 to 29 years,Basic education,2018,0.238
Males,25 to 29 years,Upper secondary education,2018,0.394
Males,25 to 29 years,Tertiary education,2018,0.368
Males,25 to 29 years,Education unknown,2018,0.0
Males,30 to 49 years,Basic education,2018,0.228
Males,30 to 49 years,Upper secondary education,2018,0.373
Males,30 to 49 years,Tertiary education,2018,0.399
Males,30 to 49 years,Education unknown,2018,0.0
Males,50 to 64 years,Basic education,2018,0.255
Males,50 to 64 years,Upper secondary education,2018,0.469
Males,50 to 64 years,Tertiary education,2018,0.275
Males,50 to 64 years,Education unknown,2018,0.0
Males,65 to 74 years,Basic education,2018,0.27
Males,65 to 74 years,Upper secondary education,2018,0.481
Males,65 to 74 years,Tertiary education,2018,0.249
Males,65 to 74 years,Education unknown,2018,0.0
Males,Capital region 16-74 years,Basic education,2018,0.255
Males,Capital region 16-74 years,Upper secondary education,2018,0.383
Males,Capital region 16-74 years,Tertiary education,2018,0.362
Males,Capital region 16-74 years,Education unknown,2018,0.0
Males,Other regions 16-74 years,Basic education,2018,0.401
Males,Other regions 16-74 years,Upper secondary education,2018,0.44
Males,Other regions 16-74 years,Tertiary education,2018,0.159
Males,Other regions 16-74 years,Education unknown,2018,0.0
Males,Capital region 25-64 years,Basic education,2018,0.181
Males,Capital region 25-64 years,Upper secondary education,2018,0.372
Males,Capital region 25-64 years,Tertiary education,2018,0.447
Males,Capital region 25-64 years,Education unknown,2018,0.0
Males,Other regions 25-64 years,Basic education,2018,0.337
Males,Other regions 25-64 years,Upper secondary education,2018,0.471
Males,Other regions 25-64 years,Tertiary education,2018,0.192
Males,Other regions 25-64 years,Education unknown,2018,0.0
Females,25 to 64 years,Basic education,2018,0.203
Females,25 to 64 years,Upper secondary education,2018,0.268
Females,25 to 64 years,Tertiary education,2018,0.528
Females,25 to 64 years,Education unknown,2018,0.0
Females,20 to 24 years,Basic education,2018,0.294
Females,20 to 24 years,Upper secondary education,2018,0.639
Females,20 to 24 years,Tertiary education,2018,0.067
Females,20 to 24 years,Education unknown,2018,0.0
Females,25 to 29 years,Basic education,2018,0.165
Females,25 to 29 years,Upper secondary education,2018,0.339
Females,25 to 29 years,Tertiary education,2018,0.497
Females,25 to 29 years,Education unknown,2018,0.0
Females,30 to 49 years,Basic education,2018,0.146
Females,30 to 49 years,Upper secondary education,2018,0.232
Females,30 to 49 years,Tertiary education,2018,0.622
Females,30 to 49 years,Education unknown,2018,0.0
Females,50 to 64 years,Basic education,2018,0.299
Females,50 to 64 years,Upper secondary education,2018,0.293
Females,50 to 64 years,Tertiary education,2018,0.408
Females,50 to 64 years,Education unknown,2018,0.0
Females,65 to 74 years,Basic education,2018,0.517
Females,65 to 74 years,Upper secondary education,2018,0.226
Females,65 to 74 years,Tertiary education,2018,0.257
Females,65 to 74 years,Education unknown,2018,0.0
Females,Capital region 16-74 years,Basic education,2018,0.244
Females,Capital region 16-74 years,Upper secondary education,2018,0.284
Females,Capital region 16-74 years,Tertiary education,2018,0.472
Females,Capital region 16-74 years,Education unknown,2018,0.0
Females,Other regions 16-74 years,Basic education,2018,0.4
Females,Other regions 16-74 years,Upper secondary education,2018,0.282
Females,Other regions 16-74 years,Tertiary education,2018,0.318
Females,Other regions 16-74 years,Education unknown,2018,0.0
Females,Capital region 25-64 years,Basic education,2018,0.149
Females,Capital region 25-64 years,Upper secondary education,2018,0.257
Females,Capital region 25-64 years,Tertiary education,2018,0.594
Females,Capital region 25-64 years,Education unknown,2018,0.0
Females,Other regions 25-64 years,Basic education,2018,0.305
Females,Other regions 25-64 years,Upper secondary education,2018,0.291
Females,Other regions 25-64 years,Tertiary education,2018,0.404
Females,Other regions 25-64 years,Education unknown,2018,0.0
Total,25 to 64 years,Basic education,2019,0.215
Total,25 to 64 years,Upper secondary education,2019,0.335
Total,25 to 64 years,Tertiary education,2019,0.45
Total,25 to 64 years,Education unknown,2019,0.0
Total,20 to 24 years,Basic education,2019,0.335
Total,20 to 24 years,Upper secondary education,2019,0.613
Total,20 to 24 years,Tertiary education,2019,0.053
Total,20 to 24 years,Education unknown,2019,0.0
Total,25 to 29 years,Basic education,2019,0.196
Total,25 to 29 years,Upper secondary education,2019,0.387
Total,25 to 29 years,Tertiary education,2019,0.418
Total,25 to 29 years,Education unknown,2019,0.0
Total,30 to 49 years,Basic education,2019,0.178
Total,30 to 49 years,Upper secondary education,2019,0.301
Total,30 to 49 years,Tertiary education,2019,0.521
Total,30 to 49 years,Education unknown,2019,0.0
Total,50 to 64 years,Basic education,2019,0.279
Total,50 to 64 years,Upper secondary education,2019,0.363
Total,50 to 64 years,Tertiary education,2019,0.358
Total,50 to 64 years,Education unknown,2019,0.0
Total,65 to 74 years,Basic education,2019,0.376
Total,65 to 74 years,Upper secondary education,2019,0.392
Total,65 to 74 years,Tertiary education,2019,0.232
Total,65 to 74 years,Education unknown,2019,0.0
Total,Capital region 16-74 years,Basic education,2019,0.238
Total,Capital region 16-74 years,Upper secondary education,2019,0.339
Total,Capital region 16-74 years,Tertiary education,2019,0.423
Total,Capital region 16-74 years,Education unknown,2019,0.0
Total,Other regions 16-74 years,Basic education,2019,0.381
Total,Other regions 16-74 years,Upper secondary education,2019,0.374
Total,Other regions 16-74 years,Tertiary education,2019,0.245
Total,Other regions 16-74 years,Education unknown,2019,0.0
Total,Capital region 25-64 years,Basic education,2019,0.159
Total,Capital region 25-64 years,Upper secondary education,2019,0.312
Total,Capital region 25-64 years,Tertiary education,2019,0.529
Total,Capital region 25-64 years,Education unknown,2019,0.0
Total,Other regions 25-64 years,Basic education,2019,0.313
Total,Other regions 25-64 years,Upper secondary education,2019,0.374
Total,Other regions 25-64 years,Tertiary education,2019,0.312
Total,Other regions 25-64 years,Education unknown,2019,0.0
Males,25 to 64 years,Basic education,2019,0.235
Males,25 to 64 years,Upper secondary education,2019,0.393
Males,25 to 64 years,Tertiary education,2019,0.373
Males,25 to 64 years,Education unknown,2019,0.0
Males,20 to 24 years,Basic education,2019,0.417
Males,20 to 24 years,Upper secondary education,2019,0.526
Males,20 to 24 years,Tertiary education,2019,0.057
Males,20 to 24 years,Education unknown,2019,0.0
Males,25 to 29 years,Basic education,2019,0.254
Males,25 to 29 years,Upper secondary education,2019,0.38
Males,25 to 29 years,Tertiary education,2019,0.366
Males,25 to 29 years,Education unknown,2019,0.0
Males,30 to 49 years,Basic education,2019,0.214
Males,30 to 49 years,Upper secondary education,2019,0.367
Males,30 to 49 years,Tertiary education,2019,0.418
Males,30 to 49 years,Education unknown,2019,0.0
Males,50 to 64 years,Basic education,2019,0.258
Males,50 to 64 years,Upper secondary education,2019,0.439
Males,50 to 64 years,Tertiary education,2019,0.303
Males,50 to 64 years,Education unknown,2019,0.0
Males,65 to 74 years,Basic education,2019,0.249
Males,65 to 74 years,Upper secondary education,2019,0.512
Males,65 to 74 years,Tertiary education,2019,0.239
Males,65 to 74 years,Education unknown,2019,0.0
Males,Capital region 16-74 years,Basic education,2019,0.243
Males,Capital region 16-74 years,Upper secondary education,2019,0.382
Males,Capital region 16-74 years,Tertiary education,2019,0.375
Males,Capital region 16-74 years,Education unknown,2019,0.0
Males,Other regions 16-74 years,Basic education,2019,0.391
Males,Other regions 16-74 years,Upper secondary education,2019,0.426
Males,Other regions 16-74 years,Tertiary education,2019,0.183
Males,Other regions 16-74 years,Education unknown,2019,0.0
Males,Capital region 25-64 years,Basic education,2019,0.172
Males,Capital region 25-64 years,Upper secondary education,2019,0.37
Males,Capital region 25-64 years,Tertiary education,2019,0.458
Males,Capital region 25-64 years,Education unknown,2019,0.0
Males,Other regions 25-64 years,Basic education,2019,0.341
Males,Other regions 25-64 years,Upper secondary education,2019,0.432
Males,Other regions 25-64 years,Tertiary education,2019,0.227
Males,Other regions 25-64 years,Education unknown,2019,0.0
Females,25 to 64 years,Basic education,2019,0.193
Females,25 to 64 years,Upper secondary education,2019,0.272
Females,25 to 64 years,Tertiary education,2019,0.534
Females,25 to 64 years,Education unknown,2019,0.0
Females,20 to 24 years,Basic education,2019,0.242
Females,20 to 24 years,Upper secondary education,2019,0.711
Females,20 to 24 years,Tertiary education,2019,0.047
Females,20 to 24 years,Education unknown,2019,0.0
Females,25 to 29 years,Basic education,2019,0.13
Females,25 to 29 years,Upper secondary education,2019,0.394
Females,25 to 29 years,Tertiary education,2019,0.476
Females,25 to 29 years,Education unknown,2019,0.0
Females,30 to 49 years,Basic education,2019,0.138
Females,30 to 49 years,Upper secondary education,2019,0.228
Females,30 to 49 years,Tertiary education,2019,0.634
Females,30 to 49 years,Education unknown,2019,0.0
Females,50 to 64 years,Basic education,2019,0.3
Females,50 to 64 years,Upper secondary education,2019,0.287
Females,50 to 64 years,Tertiary education,2019,0.414
Females,50 to 64 years,Education unknown,2019,0.0
Females,65 to 74 years,Basic education,2019,0.507
Females,65 to 74 years,Upper secondary education,2019,0.269
Females,65 to 74 years,Tertiary education,2019,0.224
Females,65 to 74 years,Education unknown,2019,0.0
Females,Capital region 16-74 years,Basic education,2019,0.232
Females,Capital region 16-74 years,Upper secondary education,2019,0.295
Females,Capital region 16-74 years,Tertiary education,2019,0.473
Females,Capital region 16-74 years,Education unknown,2019,0.0
Females,Other regions 16-74 years,Basic education,2019,0.37
Females,Other regions 16-74 years,Upper secondary education,2019,0.314
Females,Other regions 16-74 years,Tertiary education,2019,0.316
Females,Other regions 16-74 years,Education unknown,2019,0.0
Females,Capital region 25-64 years,Basic education,2019,0.145
Females,Capital region 25-64 years,Upper secondary education,2019,0.252
Females,Capital region 25-64 years,Tertiary education,2019,0.603
Females,Capital region 25-64 years,Education unknown,2019,0.0
Females,Other regions 25-64 years,Basic education,2019,0.282
Females,Other regions 25-64 years,Upper secondary education,2019,0.31
Females,Other regions 25-64 years,Tertiary education,2019,0.408
Females,Other regions 25-64 years,Education unknown,2019,0.0
