"Income and taxes","Unit","Education","Sex","Age","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Disposable income","Number - total","- Vocational education at the upper secondary level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Vocational education at the upper secondary level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Vocational education at the upper secondary level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Vocational education at the upper secondary level","Men","75 years and over",1365,1424,1495,1577,1616,1695,1815,1896,2034,2130,2269,2371,2490,2649,2770,2946,3111,3243,3359,3475,3524,3575,3729,3812,3892,3973,4058,4215,4346
"Disposable income","Number - total","- Vocational education at the upper secondary level","Women","Total",13510,13696,13820,13898,13997,13857,13809,13929,13924,13810,13964,14241,14458,14774,14999,15081,15275,15491,15963,16367,16566,16622,16637,16765,16893,16922,16904,16849,16924
"Disposable income","Number - total","- Vocational education at the upper secondary level","Women","16 - 24 years",1393,1349,1254,1166,1142,984,927,913,838,876,871,921,906,886,903,886,911,909,940,956,980,981,970,923,930,864,786,660,585
"Disposable income","Number - total","- Vocational education at the upper secondary level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Vocational education at the upper secondary level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Vocational education at the upper secondary level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Vocational education at the upper secondary level","Women","75 years and over",533,556,585,606,647,695,734,767,826,856,880,920,974,1039,1090,1130,1187,1215,1280,1310,1346,1352,1391,1425,1460,1510,1554,1625,1730
"Disposable income","Number - total","- General education at the upper secondary level","Total","Total",13820,14483,15333,16155,16947,17480,17862,18151,18757,19233,19679,20617,21091,22028,22703,22656,22940,23403,24253,25691,26742,27405,28255,29283,30116,30700,31276,32127,33331
"Disposable income","Number - total","- General education at the upper secondary level","Total","16 - 24 years",6248,6330,6585,6968,7343,7564,7577,7376,7505,7653,7399,7728,7833,8117,8248,8058,8001,8087,8489,9165,9816,10314,10748,11148,11430,11392,11365,11466,11881
"Disposable income","Number - total","- General education at the upper secondary level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- General education at the upper secondary level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- General education at the upper secondary level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- General education at the upper secondary level","Total","75 years and over",39,44,47,48,52,61,67,77,88,105,121,133,155,164,195,234,262,282,311,346,357,375,406,435,464,476,496,523,560
"Disposable income","Number - total","- General education at the upper secondary level","Men","Total",5655,5885,6142,6493,6789,6905,7061,7180,7281,7497,7673,7989,8194,8554,8841,8952,9170,9395,9879,10607,11113,11528,11925,12422,12840,13211,13515,13974,14568
"Disposable income","Number - total","- General education at the upper secondary level","Men","16 - 24 years",2604,2612,2680,2836,3003,3075,3120,3051,2977,3065,2932,3023,3091,3160,3203,3191,3152,3124,3367,3732,4034,4312,4445,4595,4714,4755,4698,4771,4980
"Disposable income","Number - total","- General education at the upper secondary level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- General education at the upper secondary level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- General education at the upper secondary level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- General education at the upper secondary level","Men","75 years and over",24,28,27,28,30,33,32,34,36,46,53,58,66,69,78,96,106,113,128,139,135,144,153,165,174,175,179,187,192
"Disposable income","Number - total","- General education at the upper secondary level","Women","Total",8165,8598,9191,9662,10158,10575,10801,10971,11476,11736,12006,12628,12897,13474,13862,13704,13770,14008,14374,15084,15629,15877,16330,16861,17276,17489,17761,18153,18763
"Disposable income","Number - total","- General education at the upper secondary level","Women","16 - 24 years",3644,3718,3905,4132,4340,4489,4457,4325,4528,4588,4467,4705,4742,4957,5045,4867,4849,4963,5122,5433,5782,6002,6303,6553,6716,6637,6667,6695,6901
"Disposable income","Number - total","- General education at the upper secondary level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- General education at the upper secondary level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- General education at the upper secondary level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- General education at the upper secondary level","Women","75 years and over",15,16,20,20,22,28,35,43,52,59,68,75,89,95,117,138,156,169,183,207,222,231,253,270,290,301,317,336,368
"Disposable income","Number - total","Tertiary education","Total","Total",18504,19939,21154,22512,23476,24508,25332,26572,27326,28147,29704,31504,33176,35246,37030,38780,41468,44142,47234,49541,51523,52819,54763,56879,59225,61609,63887,66215,69407
"Disposable income","Number - total","Tertiary education","Total","16 - 24 years",441,431,527,589,516,490,523,562,473,520,566,570,606,650,664,670,767,768,839,802,869,957,1133,1171,1193,1197,1227,1249,1303
"Disposable income","Number - total","Tertiary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Tertiary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Tertiary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Tertiary education","Total","75 years and over",232,260,288,299,316,357,382,410,449,474,530,604,673,754,816,879,959,1020,1087,1151,1223,1270,1344,1438,1544,1615,1676,1797,1984
"Disposable income","Number - total","Tertiary education","Men","Total",10300,10890,11354,11860,12274,12675,12923,13317,13640,13855,14487,15250,15863,16664,17263,17794,18877,19819,20976,21789,22421,22747,23402,24106,25008,25885,26712,27581,28825
"Disposable income","Number - total","Tertiary education","Men","16 - 24 years",192,201,234,253,247,221,226,231,246,238,259,276,300,292,280,266,332,333,340,311,353,393,491,481,495,509,500,473,486
"Disposable income","Number - total","Tertiary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Tertiary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Tertiary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Tertiary education","Men","75 years and over",194,216,245,252,258,282,305,324,352,372,412,460,514,567,592,622,677,714,755,793,831,843,889,939,991,1019,1036,1089,1188
"Disposable income","Number - total","Tertiary education","Women","Total",8204,9049,9800,10652,11202,11833,12409,13255,13686,14292,15217,16254,17313,18582,19767,20986,22591,24323,26258,27752,29102,30072,31361,32773,34217,35724,37175,38634,40582
"Disposable income","Number - total","Tertiary education","Women","16 - 24 years",249,230,293,336,269,269,297,331,227,282,307,294,306,358,384,404,435,435,499,491,516,564,642,690,698,688,727,776,817
"Disposable income","Number - total","Tertiary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Tertiary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Tertiary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Tertiary education","Women","75 years and over",38,44,43,47,58,75,77,86,97,102,118,144,159,187,224,257,282,306,332,358,392,427,455,499,553,596,640,708,796
"Disposable income","Number - total","- Short-cycle tertiary education","Total","Total",2664,3041,3343,3627,3738,3934,4083,4410,4401,4415,4492,4603,4661,4745,4682,4577,4599,4564,4673,4694,4654,4612,4585,4622,4668,4705,4678,4694,4772
"Disposable income","Number - total","- Short-cycle tertiary education","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Short-cycle tertiary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Short-cycle tertiary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Short-cycle tertiary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Short-cycle tertiary education","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Short-cycle tertiary education","Men","Total",819,958,1074,1181,1266,1309,1356,1432,1512,1576,1641,1730,1762,1801,1782,1761,1805,1824,1904,1931,1916,1907,1899,1929,1969,1986,1983,2004,2072
"Disposable income","Number - total","- Short-cycle tertiary education","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Short-cycle tertiary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Short-cycle tertiary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Short-cycle tertiary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Short-cycle tertiary education","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Short-cycle tertiary education","Women","Total",1845,2083,2269,2446,2472,2625,2727,2978,2889,2839,2851,2873,2899,2944,2900,2816,2794,2740,2769,2763,2738,2705,2686,2693,2699,2719,2695,2690,2700
"Disposable income","Number - total","- Short-cycle tertiary education","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Short-cycle tertiary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Short-cycle tertiary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Short-cycle tertiary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Short-cycle tertiary education","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Bachelor�s or equivalent level","Total","Total",8314,9074,9793,10615,11255,11859,12309,12986,13651,14257,15202,16388,17416,18759,19997,21230,22855,24367,25865,26908,27692,28209,29047,30148,31028,31956,32815,33644,34631
"Disposable income","Number - total","- Bachelor�s or equivalent level","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Bachelor�s or equivalent level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Bachelor�s or equivalent level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Bachelor�s or equivalent level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Bachelor�s or equivalent level","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Bachelor�s or equivalent level","Men","Total",3831,4111,4384,4658,4893,5134,5255,5452,5723,5824,6089,6523,6836,7261,7625,7937,8473,8915,9371,9678,9873,10026,10320,10767,11192,11601,12011,12321,12764
"Disposable income","Number - total","- Bachelor�s or equivalent level","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Bachelor�s or equivalent level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Bachelor�s or equivalent level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Bachelor�s or equivalent level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Bachelor�s or equivalent level","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Bachelor�s or equivalent level","Women","Total",4483,4963,5409,5957,6362,6725,7054,7534,7928,8433,9113,9865,10580,11498,12372,13293,14382,15452,16494,17230,17819,18183,18727,19381,19836,20355,20804,21323,21867
"Disposable income","Number - total","- Bachelor�s or equivalent level","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Bachelor�s or equivalent level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Bachelor�s or equivalent level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Bachelor�s or equivalent level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Bachelor�s or equivalent level","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Master�s or equivalent level","Total","Total",4935,5152,5275,5451,5638,5821,6007,6211,6319,6509,6891,7256,7725,8210,8675,9138,9905,10823,11890,12882,13956,14772,15764,16680,17986,19294,20505,21746,23290
"Disposable income","Number - total","- Master�s or equivalent level","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Master�s or equivalent level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Master�s or equivalent level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Master�s or equivalent level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Master�s or equivalent level","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Master�s or equivalent level","Men","Total",3858,3981,4026,4109,4191,4272,4336,4451,4443,4503,4713,4876,5092,5347,5530,5694,6020,6383,6817,7195,7585,7795,8103,8338,8740,9182,9522,9952,10425
"Disposable income","Number - total","- Master�s or equivalent level","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Master�s or equivalent level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Master�s or equivalent level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Master�s or equivalent level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Master�s or equivalent level","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Master�s or equivalent level","Women","Total",1077,1171,1249,1342,1447,1549,1671,1760,1876,2006,2178,2380,2633,2863,3145,3444,3885,4440,5073,5687,6371,6977,7661,8342,9246,10112,10983,11794,12865
"Disposable income","Number - total","- Master�s or equivalent level","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","- Master�s or equivalent level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Master�s or equivalent level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Master�s or equivalent level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","- Master�s or equivalent level","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","Doctoral or equivalent level","Total","Total",605,659,700,753,786,811,825,852,854,869,934,990,1044,1113,1165,1216,1298,1352,1437,1499,1526,1515,1557,1586,1635,1645,1688,1722,1844
"Disposable income","Number - total","Doctoral or equivalent level","Total","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","Doctoral or equivalent level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Doctoral or equivalent level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Doctoral or equivalent level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Doctoral or equivalent level","Total","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","Doctoral or equivalent level","Men","Total",533,574,606,643,663,683,691,698,700,708,755,787,819,856,885,919,965,991,1032,1057,1064,1051,1059,1059,1067,1048,1070,1067,1125
"Disposable income","Number - total","Doctoral or equivalent level","Men","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","Doctoral or equivalent level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Doctoral or equivalent level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Doctoral or equivalent level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Doctoral or equivalent level","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","Doctoral or equivalent level","Women","Total",72,85,94,110,123,128,134,154,154,161,179,203,225,257,280,297,333,361,405,442,462,464,498,527,568,597,618,655,719
"Disposable income","Number - total","Doctoral or equivalent level","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Number - total","Doctoral or equivalent level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Doctoral or equivalent level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Doctoral or equivalent level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Number - total","Doctoral or equivalent level","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Disposable income","Standard deviation - total","Total","Total","Total",719,777,849,783,779,820,894,991,1160,1390,2241,3577,3986,7042,4596,8489,10649,18512,6939,8428,2950,3166,3810,5102,7189,4807,7650,9226,6764
"Disposable income","Standard deviation - total","Total","Total","16 - 24 years",375,401,397,388,484,423,448,453,976,701,629,636,780,1202,977,842,1233,1940,1224,1094,1086,1089,1215,1198,1346,1302,1350,1502,1512
"Disposable income","Standard deviation - total","Total","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Total","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Total","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Total","Total","75 years and over",997,1032,981,1189,865,918,1008,1080,850,1317,2564,2195,4601,6856,4213,6598,5880,18307,3581,3356,1727,4521,1748,8118,7783,4262,6087,12761,7596
"Disposable income","Standard deviation - total","Total","Men","Total",854,906,1006,906,920,968,1062,1143,1380,1575,2286,3698,4140,6847,5117,9707,10650,18992,7704,6253,3292,3662,3585,4761,7351,5150,8614,9249,7201
"Disposable income","Standard deviation - total","Total","Men","16 - 24 years",439,466,461,449,597,493,527,513,1281,867,707,729,916,1293,1097,927,1487,1276,1425,1231,1207,1227,1389,1348,1296,1399,1482,1578,1616
"Disposable income","Standard deviation - total","Total","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Total","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Total","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Total","Men","75 years and over",1441,1419,1305,1597,1191,1219,1320,1345,787,1822,1393,2033,2143,4895,5821,6998,7493,26198,4042,4140,2120,6152,2209,3630,7518,5242,8683,10933,9136
"Disposable income","Standard deviation - total","Total","Women","Total",418,489,544,533,499,535,577,718,793,1098,2147,3422,3801,7210,3999,7100,10627,18020,6062,10093,2518,2528,3971,5376,7001,4398,6535,9179,6265
"Disposable income","Standard deviation - total","Total","Women","16 - 24 years",261,282,289,291,308,317,325,362,469,451,515,504,596,1095,825,727,879,2438,958,926,940,920,1000,1016,1395,1190,1192,1413,1388
"Disposable income","Standard deviation - total","Total","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Total","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Total","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Total","Women","75 years and over",476,633,667,782,520,615,702,836,881,768,3142,2295,5744,7975,2464,6286,4327,8744,3172,2597,1339,2726,1269,10288,7972,3296,2733,14019,6103
"Disposable income","Standard deviation - total","Basic education","Total","Total",512,558,593,590,586,606,642,721,834,1025,1519,2894,3042,4683,2770,4772,5459,9258,5337,3171,2163,2232,2172,3986,4333,3884,4903,7896,5291
"Disposable income","Standard deviation - total","Basic education","Total","16 - 24 years",378,406,403,397,522,432,452,452,547,548,597,646,795,1011,995,876,1312,1188,1249,1105,1092,1125,1268,1237,1226,1298,1337,1452,1511
"Disposable income","Standard deviation - total","Basic education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Basic education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Basic education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Disposable income","Standard deviation - total","Basic education","Total","75 years and over",357,428,480,653,366,472,496,604,655,774,2810,1949,4872,6079,3130,5341,3195,6402,2781,2051,1149,1266,1112,2471,7438,2438,2390,11937,4010
"Disposable income","Standard deviation - total","Basic education","Men","Total",620,664,668,705,724,732,798,815,1024,1135,1349,1646,2763,2580,2549,4285,4808,5635,3559,3089,2187,2291,2461,2589,2765,3542,3608,6030,3156
