"ISCED level","Type of education","Degrees","Year","Narrow field of study","Total","Males","Females"
"Total","Total","Master's degree","2017","Law",379,159,220
"Total","Total","Master's degree","2017","Life science",144,53,91
"Total","Total","Master's degree","2017","Physical science",76,39,37
"Total","Total","Master's degree","2017","Mathematics and statistics",40,23,17
"Total","Total","Master's degree","2017","Computing",79,64,15
"Total","Total","Master's degree","2017","Science, not specified",0,0,0
"Total","Total","Master's degree","2017","Engineering and engineering trades",212,126,86
"Total","Total","Master's degree","2017","Manufacturing and processing",23,5,18
"Total","Total","Master's degree","2017","Architecture and building",37,21,16
"Total","Total","Master's degree","2017","Certified trades, not specified",0,0,0
"Total","Total","Master's degree","2017","Agriculture, forestry and fishery",7,3,4
"Total","Total","Master's degree","2017","Veterinary",0,0,0
"Total","Total","Master's degree","2017","Health",480,113,367
"Total","Total","Master's degree","2017","Social services",130,13,117
"Total","Total","Master's degree","2017","Personal services",28,8,20
"Total","Total","Master's degree","2017","Transport services",0,0,0
"Total","Total","Master's degree","2017","Environmental protection",1,0,1
"Total","Total","Master's degree","2017","Security services",0,0,0
"Total","Total","Master's degree","2017","Unknown",0,0,0
"Total","Total","Master's degree","2018","Total",4519,1340,3179
"Total","Total","Master's degree","2018","Basic/broad, general programmes",0,0,0
"Total","Total","Master's degree","2018","Literacy and numeracy",0,0,0
"Total","Total","Master's degree","2018","Personal skills",0,0,0
"Total","Total","Master's degree","2018","Teacher training and educational science",909,139,770
"Total","Total","Master's degree","2018","Arts",57,19,38
"Total","Total","Master's degree","2018","Humanities",375,119,256
"Total","Total","Master's degree","2018","Social and behavioural science",358,80,278
"Total","Total","Master's degree","2018","Journalism and information",58,16,42
"Total","Total","Master's degree","2018","Business and administration",1088,356,732
"Total","Total","Master's degree","2018","Law",372,158,214
"Total","Total","Master's degree","2018","Life science",133,40,93
"Total","Total","Master's degree","2018","Physical science",66,36,30
"Total","Total","Master's degree","2018","Mathematics and statistics",41,25,16
"Total","Total","Master's degree","2018","Computing",76,62,14
"Total","Total","Master's degree","2018","Science, not specified",0,0,0
"Total","Total","Master's degree","2018","Engineering and engineering trades",191,115,76
"Total","Total","Master's degree","2018","Manufacturing and processing",22,11,11
"Total","Total","Master's degree","2018","Architecture and building",52,25,27
"Total","Total","Master's degree","2018","Certified trades, not specified",0,0,0
"Total","Total","Master's degree","2018","Agriculture, forestry and fishery",15,7,8
"Total","Total","Master's degree","2018","Veterinary",0,0,0
"Total","Total","Master's degree","2018","Health",529,115,414
"Total","Total","Master's degree","2018","Social services",140,7,133
"Total","Total","Master's degree","2018","Personal services",32,7,25
"Total","Total","Master's degree","2018","Transport services",0,0,0
"Total","Total","Master's degree","2018","Environmental protection",5,3,2
"Total","Total","Master's degree","2018","Security services",0,0,0
"Total","Total","Master's degree","2018","Unknown",0,0,0
"Total","Total","Master's degree","2019","Total",4685,1402,3283
"Total","Total","Master's degree","2019","Basic/broad, general programmes",0,0,0
"Total","Total","Master's degree","2019","Literacy and numeracy",0,0,0
"Total","Total","Master's degree","2019","Personal skills",0,0,0
"Total","Total","Master's degree","2019","Teacher training and educational science",1047,188,859
"Total","Total","Master's degree","2019","Arts",61,27,34
"Total","Total","Master's degree","2019","Humanities",377,133,244
"Total","Total","Master's degree","2019","Social and behavioural science",393,96,297
"Total","Total","Master's degree","2019","Journalism and information",47,14,33
"Total","Total","Master's degree","2019","Business and administration",1056,321,735
"Total","Total","Master's degree","2019","Law",351,140,211
"Total","Total","Master's degree","2019","Life science",166,53,113
"Total","Total","Master's degree","2019","Physical science",62,28,34
"Total","Total","Master's degree","2019","Mathematics and statistics",36,26,10
"Total","Total","Master's degree","2019","Computing",63,51,12
"Total","Total","Master's degree","2019","Science, not specified",0,0,0
"Total","Total","Master's degree","2019","Engineering and engineering trades",244,168,76
"Total","Total","Master's degree","2019","Manufacturing and processing",12,5,7
"Total","Total","Master's degree","2019","Architecture and building",62,33,29
"Total","Total","Master's degree","2019","Certified trades, not specified",0,0,0
"Total","Total","Master's degree","2019","Agriculture, forestry and fishery",17,7,10
"Total","Total","Master's degree","2019","Veterinary",0,0,0
"Total","Total","Master's degree","2019","Health",517,95,422
"Total","Total","Master's degree","2019","Social services",135,6,129
"Total","Total","Master's degree","2019","Personal services",37,10,27
"Total","Total","Master's degree","2019","Transport services",0,0,0
"Total","Total","Master's degree","2019","Environmental protection",2,1,1
"Total","Total","Master's degree","2019","Security services",0,0,0
"Total","Total","Master's degree","2019","Unknown",0,0,0
"Total","Total","Doctoral degree","1997","Total",14,9,5
"Total","Total","Doctoral degree","1997","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","1997","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","1997","Personal skills",0,0,0
"Total","Total","Doctoral degree","1997","Teacher training and educational science",0,0,0
"Total","Total","Doctoral degree","1997","Arts",0,0,0
"Total","Total","Doctoral degree","1997","Humanities",7,5,2
"Total","Total","Doctoral degree","1997","Social and behavioural science",2,1,1
"Total","Total","Doctoral degree","1997","Journalism and information",0,0,0
"Total","Total","Doctoral degree","1997","Business and administration",0,0,0
"Total","Total","Doctoral degree","1997","Law",0,0,0
"Total","Total","Doctoral degree","1997","Life science",0,0,0
"Total","Total","Doctoral degree","1997","Physical science",0,0,0
"Total","Total","Doctoral degree","1997","Mathematics and statistics",0,0,0
"Total","Total","Doctoral degree","1997","Computing",0,0,0
"Total","Total","Doctoral degree","1997","Science, not specified",0,0,0
"Total","Total","Doctoral degree","1997","Engineering and engineering trades",0,0,0
"Total","Total","Doctoral degree","1997","Manufacturing and processing",0,0,0
"Total","Total","Doctoral degree","1997","Architecture and building",0,0,0
"Total","Total","Doctoral degree","1997","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","1997","Agriculture, forestry and fishery",0,0,0
"Total","Total","Doctoral degree","1997","Veterinary",0,0,0
"Total","Total","Doctoral degree","1997","Health",5,3,2
"Total","Total","Doctoral degree","1997","Social services",0,0,0
"Total","Total","Doctoral degree","1997","Personal services",0,0,0
"Total","Total","Doctoral degree","1997","Transport services",0,0,0
"Total","Total","Doctoral degree","1997","Environmental protection",0,0,0
"Total","Total","Doctoral degree","1997","Security services",0,0,0
"Total","Total","Doctoral degree","1997","Unknown",0,0,0
"Total","Total","Doctoral degree","1998","Total",20,12,8
"Total","Total","Doctoral degree","1998","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","1998","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","1998","Personal skills",0,0,0
"Total","Total","Doctoral degree","1998","Teacher training and educational science",0,0,0
"Total","Total","Doctoral degree","1998","Arts",0,0,0
"Total","Total","Doctoral degree","1998","Humanities",10,6,4
"Total","Total","Doctoral degree","1998","Social and behavioural science",3,2,1
"Total","Total","Doctoral degree","1998","Journalism and information",0,0,0
"Total","Total","Doctoral degree","1998","Business and administration",0,0,0
"Total","Total","Doctoral degree","1998","Law",0,0,0
"Total","Total","Doctoral degree","1998","Life science",0,0,0
"Total","Total","Doctoral degree","1998","Physical science",0,0,0
"Total","Total","Doctoral degree","1998","Mathematics and statistics",0,0,0
"Total","Total","Doctoral degree","1998","Computing",0,0,0
"Total","Total","Doctoral degree","1998","Science, not specified",0,0,0
"Total","Total","Doctoral degree","1998","Engineering and engineering trades",0,0,0
"Total","Total","Doctoral degree","1998","Manufacturing and processing",0,0,0
"Total","Total","Doctoral degree","1998","Architecture and building",0,0,0
"Total","Total","Doctoral degree","1998","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","1998","Agriculture, forestry and fishery",0,0,0
"Total","Total","Doctoral degree","1998","Veterinary",0,0,0
"Total","Total","Doctoral degree","1998","Health",7,4,3
"Total","Total","Doctoral degree","1998","Social services",0,0,0
"Total","Total","Doctoral degree","1998","Personal services",0,0,0
"Total","Total","Doctoral degree","1998","Transport services",0,0,0
"Total","Total","Doctoral degree","1998","Environmental protection",0,0,0
"Total","Total","Doctoral degree","1998","Security services",0,0,0
"Total","Total","Doctoral degree","1998","Unknown",0,0,0
"Total","Total","Doctoral degree","1999","Total",18,12,6
"Total","Total","Doctoral degree","1999","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","1999","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","1999","Personal skills",0,0,0
"Total","Total","Doctoral degree","1999","Teacher training and educational science",0,0,0
"Total","Total","Doctoral degree","1999","Arts",0,0,0
"Total","Total","Doctoral degree","1999","Humanities",6,3,3
"Total","Total","Doctoral degree","1999","Social and behavioural science",0,0,0
"Total","Total","Doctoral degree","1999","Journalism and information",0,0,0
"Total","Total","Doctoral degree","1999","Business and administration",0,0,0
"Total","Total","Doctoral degree","1999","Law",0,0,0
"Total","Total","Doctoral degree","1999","Life science",1,1,0
"Total","Total","Doctoral degree","1999","Physical science",3,2,1
"Total","Total","Doctoral degree","1999","Mathematics and statistics",0,0,0
"Total","Total","Doctoral degree","1999","Computing",0,0,0
"Total","Total","Doctoral degree","1999","Science, not specified",0,0,0
"Total","Total","Doctoral degree","1999","Engineering and engineering trades",0,0,0
"Total","Total","Doctoral degree","1999","Manufacturing and processing",0,0,0
"Total","Total","Doctoral degree","1999","Architecture and building",0,0,0
"Total","Total","Doctoral degree","1999","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","1999","Agriculture, forestry and fishery",0,0,0
"Total","Total","Doctoral degree","1999","Veterinary",0,0,0
"Total","Total","Doctoral degree","1999","Health",8,6,2
"Total","Total","Doctoral degree","1999","Social services",0,0,0
"Total","Total","Doctoral degree","1999","Personal services",0,0,0
"Total","Total","Doctoral degree","1999","Transport services",0,0,0
"Total","Total","Doctoral degree","1999","Environmental protection",0,0,0
"Total","Total","Doctoral degree","1999","Security services",0,0,0
"Total","Total","Doctoral degree","1999","Unknown",0,0,0
"Total","Total","Doctoral degree","2000","Total",50,31,19
"Total","Total","Doctoral degree","2000","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2000","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2000","Personal skills",0,0,0
"Total","Total","Doctoral degree","2000","Teacher training and educational science",0,0,0
"Total","Total","Doctoral degree","2000","Arts",0,0,0
"Total","Total","Doctoral degree","2000","Humanities",11,7,4
"Total","Total","Doctoral degree","2000","Social and behavioural science",3,2,1
"Total","Total","Doctoral degree","2000","Journalism and information",0,0,0
"Total","Total","Doctoral degree","2000","Business and administration",1,1,0
"Total","Total","Doctoral degree","2000","Law",0,0,0
"Total","Total","Doctoral degree","2000","Life science",3,2,1
"Total","Total","Doctoral degree","2000","Physical science",7,5,2
"Total","Total","Doctoral degree","2000","Mathematics and statistics",0,0,0
"Total","Total","Doctoral degree","2000","Computing",0,0,0
"Total","Total","Doctoral degree","2000","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2000","Engineering and engineering trades",1,1,0
"Total","Total","Doctoral degree","2000","Manufacturing and processing",1,0,1
"Total","Total","Doctoral degree","2000","Architecture and building",0,0,0
"Total","Total","Doctoral degree","2000","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2000","Agriculture, forestry and fishery",0,0,0
"Total","Total","Doctoral degree","2000","Veterinary",0,0,0
"Total","Total","Doctoral degree","2000","Health",23,13,10
"Total","Total","Doctoral degree","2000","Social services",0,0,0
"Total","Total","Doctoral degree","2000","Personal services",0,0,0
"Total","Total","Doctoral degree","2000","Transport services",0,0,0
"Total","Total","Doctoral degree","2000","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2000","Security services",0,0,0
"Total","Total","Doctoral degree","2000","Unknown",0,0,0
"Total","Total","Doctoral degree","2001","Total",38,17,21
"Total","Total","Doctoral degree","2001","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2001","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2001","Personal skills",0,0,0
"Total","Total","Doctoral degree","2001","Teacher training and educational science",5,1,4
"Total","Total","Doctoral degree","2001","Arts",0,0,0
"Total","Total","Doctoral degree","2001","Humanities",11,6,5
"Total","Total","Doctoral degree","2001","Social and behavioural science",3,1,2
"Total","Total","Doctoral degree","2001","Journalism and information",0,0,0
"Total","Total","Doctoral degree","2001","Business and administration",0,0,0
"Total","Total","Doctoral degree","2001","Law",0,0,0
"Total","Total","Doctoral degree","2001","Life science",2,2,0
"Total","Total","Doctoral degree","2001","Physical science",3,2,1
"Total","Total","Doctoral degree","2001","Mathematics and statistics",0,0,0
"Total","Total","Doctoral degree","2001","Computing",0,0,0
"Total","Total","Doctoral degree","2001","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2001","Engineering and engineering trades",2,1,1
"Total","Total","Doctoral degree","2001","Manufacturing and processing",1,0,1
"Total","Total","Doctoral degree","2001","Architecture and building",0,0,0
"Total","Total","Doctoral degree","2001","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2001","Agriculture, forestry and fishery",0,0,0
"Total","Total","Doctoral degree","2001","Veterinary",0,0,0
"Total","Total","Doctoral degree","2001","Health",11,4,7
"Total","Total","Doctoral degree","2001","Social services",0,0,0
"Total","Total","Doctoral degree","2001","Personal services",0,0,0
"Total","Total","Doctoral degree","2001","Transport services",0,0,0
"Total","Total","Doctoral degree","2001","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2001","Security services",0,0,0
"Total","Total","Doctoral degree","2001","Unknown",0,0,0
"Total","Total","Doctoral degree","2002","Total",45,21,24
"Total","Total","Doctoral degree","2002","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2002","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2002","Personal skills",0,0,0
"Total","Total","Doctoral degree","2002","Teacher training and educational science",6,3,3
"Total","Total","Doctoral degree","2002","Arts",0,0,0
"Total","Total","Doctoral degree","2002","Humanities",8,2,6
"Total","Total","Doctoral degree","2002","Social and behavioural science",5,3,2
"Total","Total","Doctoral degree","2002","Journalism and information",0,0,0
"Total","Total","Doctoral degree","2002","Business and administration",3,3,0
"Total","Total","Doctoral degree","2002","Law",0,0,0
"Total","Total","Doctoral degree","2002","Life science",4,2,2
"Total","Total","Doctoral degree","2002","Physical science",3,1,2
"Total","Total","Doctoral degree","2002","Mathematics and statistics",0,0,0
"Total","Total","Doctoral degree","2002","Computing",0,0,0
"Total","Total","Doctoral degree","2002","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2002","Engineering and engineering trades",3,2,1
"Total","Total","Doctoral degree","2002","Manufacturing and processing",0,0,0
"Total","Total","Doctoral degree","2002","Architecture and building",0,0,0
"Total","Total","Doctoral degree","2002","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2002","Agriculture, forestry and fishery",0,0,0
"Total","Total","Doctoral degree","2002","Veterinary",0,0,0
"Total","Total","Doctoral degree","2002","Health",13,5,8
"Total","Total","Doctoral degree","2002","Social services",0,0,0
"Total","Total","Doctoral degree","2002","Personal services",0,0,0
"Total","Total","Doctoral degree","2002","Transport services",0,0,0
"Total","Total","Doctoral degree","2002","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2002","Security services",0,0,0
"Total","Total","Doctoral degree","2002","Unknown",0,0,0
"Total","Total","Doctoral degree","2003","Total",51,24,27
"Total","Total","Doctoral degree","2003","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2003","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2003","Personal skills",0,0,0
"Total","Total","Doctoral degree","2003","Teacher training and educational science",9,4,5
"Total","Total","Doctoral degree","2003","Arts",0,0,0
"Total","Total","Doctoral degree","2003","Humanities",12,4,8
"Total","Total","Doctoral degree","2003","Social and behavioural science",4,1,3
"Total","Total","Doctoral degree","2003","Journalism and information",0,0,0
"Total","Total","Doctoral degree","2003","Business and administration",2,2,0
"Total","Total","Doctoral degree","2003","Law",0,0,0
"Total","Total","Doctoral degree","2003","Life science",1,1,0
"Total","Total","Doctoral degree","2003","Physical science",6,4,2
"Total","Total","Doctoral degree","2003","Mathematics and statistics",0,0,0
"Total","Total","Doctoral degree","2003","Computing",0,0,0
"Total","Total","Doctoral degree","2003","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2003","Engineering and engineering trades",3,2,1
"Total","Total","Doctoral degree","2003","Manufacturing and processing",2,0,2
"Total","Total","Doctoral degree","2003","Architecture and building",0,0,0
"Total","Total","Doctoral degree","2003","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2003","Agriculture, forestry and fishery",0,0,0
"Total","Total","Doctoral degree","2003","Veterinary",0,0,0
"Total","Total","Doctoral degree","2003","Health",12,6,6
"Total","Total","Doctoral degree","2003","Social services",0,0,0
"Total","Total","Doctoral degree","2003","Personal services",0,0,0
"Total","Total","Doctoral degree","2003","Transport services",0,0,0
"Total","Total","Doctoral degree","2003","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2003","Security services",0,0,0
"Total","Total","Doctoral degree","2003","Unknown",0,0,0
"Total","Total","Doctoral degree","2004","Total",134,55,79
"Total","Total","Doctoral degree","2004","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2004","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2004","Personal skills",0,0,0
"Total","Total","Doctoral degree","2004","Teacher training and educational science",19,5,14
"Total","Total","Doctoral degree","2004","Arts",0,0,0
"Total","Total","Doctoral degree","2004","Humanities",22,6,16
"Total","Total","Doctoral degree","2004","Social and behavioural science",17,9,8
"Total","Total","Doctoral degree","2004","Journalism and information",0,0,0
"Total","Total","Doctoral degree","2004","Business and administration",2,2,0
"Total","Total","Doctoral degree","2004","Law",0,0,0
"Total","Total","Doctoral degree","2004","Life science",14,7,7
"Total","Total","Doctoral degree","2004","Physical science",15,10,5
"Total","Total","Doctoral degree","2004","Mathematics and statistics",0,0,0
"Total","Total","Doctoral degree","2004","Computing",1,0,1
"Total","Total","Doctoral degree","2004","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2004","Engineering and engineering trades",4,2,2
"Total","Total","Doctoral degree","2004","Manufacturing and processing",3,0,3
"Total","Total","Doctoral degree","2004","Architecture and building",1,1,0
"Total","Total","Doctoral degree","2004","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2004","Agriculture, forestry and fishery",0,0,0
"Total","Total","Doctoral degree","2004","Veterinary",0,0,0
"Total","Total","Doctoral degree","2004","Health",36,13,23
"Total","Total","Doctoral degree","2004","Social services",0,0,0
"Total","Total","Doctoral degree","2004","Personal services",0,0,0
"Total","Total","Doctoral degree","2004","Transport services",0,0,0
"Total","Total","Doctoral degree","2004","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2004","Security services",0,0,0
"Total","Total","Doctoral degree","2004","Unknown",0,0,0
"Total","Total","Doctoral degree","2005","Total",156,65,91
"Total","Total","Doctoral degree","2005","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2005","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2005","Personal skills",0,0,0
"Total","Total","Doctoral degree","2005","Teacher training and educational science",19,5,14
"Total","Total","Doctoral degree","2005","Arts",0,0,0
"Total","Total","Doctoral degree","2005","Humanities",26,7,19
"Total","Total","Doctoral degree","2005","Social and behavioural science",23,12,11
"Total","Total","Doctoral degree","2005","Journalism and information",0,0,0
"Total","Total","Doctoral degree","2005","Business and administration",2,2,0
"Total","Total","Doctoral degree","2005","Law",2,1,1
"Total","Total","Doctoral degree","2005","Life science",17,7,10
"Total","Total","Doctoral degree","2005","Physical science",17,14,3
"Total","Total","Doctoral degree","2005","Mathematics and statistics",0,0,0
"Total","Total","Doctoral degree","2005","Computing",2,1,1
"Total","Total","Doctoral degree","2005","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2005","Engineering and engineering trades",4,4,0
"Total","Total","Doctoral degree","2005","Manufacturing and processing",2,0,2
"Total","Total","Doctoral degree","2005","Architecture and building",0,0,0
"Total","Total","Doctoral degree","2005","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2005","Agriculture, forestry and fishery",0,0,0
"Total","Total","Doctoral degree","2005","Veterinary",0,0,0
"Total","Total","Doctoral degree","2005","Health",42,12,30
"Total","Total","Doctoral degree","2005","Social services",0,0,0
"Total","Total","Doctoral degree","2005","Personal services",0,0,0
"Total","Total","Doctoral degree","2005","Transport services",0,0,0
"Total","Total","Doctoral degree","2005","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2005","Security services",0,0,0
"Total","Total","Doctoral degree","2005","Unknown",0,0,0
"Total","Total","Doctoral degree","2006","Total",201,86,115
"Total","Total","Doctoral degree","2006","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2006","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2006","Personal skills",0,0,0
"Total","Total","Doctoral degree","2006","Teacher training and educational science",17,3,14
"Total","Total","Doctoral degree","2006","Arts",0,0,0
"Total","Total","Doctoral degree","2006","Humanities",38,17,21
"Total","Total","Doctoral degree","2006","Social and behavioural science",28,14,14
"Total","Total","Doctoral degree","2006","Journalism and information",0,0,0
"Total","Total","Doctoral degree","2006","Business and administration",1,1,0
"Total","Total","Doctoral degree","2006","Law",4,2,2
"Total","Total","Doctoral degree","2006","Life science",21,8,13
"Total","Total","Doctoral degree","2006","Physical science",29,18,11
"Total","Total","Doctoral degree","2006","Mathematics and statistics",2,1,1
"Total","Total","Doctoral degree","2006","Computing",2,1,1
"Total","Total","Doctoral degree","2006","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2006","Engineering and engineering trades",6,6,0
"Total","Total","Doctoral degree","2006","Manufacturing and processing",3,0,3
"Total","Total","Doctoral degree","2006","Architecture and building",1,1,0
"Total","Total","Doctoral degree","2006","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2006","Agriculture, forestry and fishery",0,0,0
"Total","Total","Doctoral degree","2006","Veterinary",0,0,0
"Total","Total","Doctoral degree","2006","Health",47,14,33
"Total","Total","Doctoral degree","2006","Social services",2,0,2
"Total","Total","Doctoral degree","2006","Personal services",0,0,0
"Total","Total","Doctoral degree","2006","Transport services",0,0,0
"Total","Total","Doctoral degree","2006","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2006","Security services",0,0,0
"Total","Total","Doctoral degree","2006","Unknown",0,0,0
"Total","Total","Doctoral degree","2007","Total",264,114,150
"Total","Total","Doctoral degree","2007","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2007","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2007","Personal skills",0,0,0
"Total","Total","Doctoral degree","2007","Teacher training and educational science",29,9,20
"Total","Total","Doctoral degree","2007","Arts",0,0,0
"Total","Total","Doctoral degree","2007","Humanities",35,12,23
"Total","Total","Doctoral degree","2007","Social and behavioural science",33,15,18
"Total","Total","Doctoral degree","2007","Journalism and information",0,0,0
"Total","Total","Doctoral degree","2007","Business and administration",3,3,0
"Total","Total","Doctoral degree","2007","Law",3,1,2
"Total","Total","Doctoral degree","2007","Life science",31,14,17
"Total","Total","Doctoral degree","2007","Physical science",42,27,15
"Total","Total","Doctoral degree","2007","Mathematics and statistics",5,4,1
"Total","Total","Doctoral degree","2007","Computing",2,1,1
"Total","Total","Doctoral degree","2007","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2007","Engineering and engineering trades",12,9,3
"Total","Total","Doctoral degree","2007","Manufacturing and processing",6,1,5
"Total","Total","Doctoral degree","2007","Architecture and building",2,1,1
"Total","Total","Doctoral degree","2007","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2007","Agriculture, forestry and fishery",0,0,0
"Total","Total","Doctoral degree","2007","Veterinary",0,0,0
"Total","Total","Doctoral degree","2007","Health",58,17,41
"Total","Total","Doctoral degree","2007","Social services",2,0,2
"Total","Total","Doctoral degree","2007","Personal services",1,0,1
"Total","Total","Doctoral degree","2007","Transport services",0,0,0
"Total","Total","Doctoral degree","2007","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2007","Security services",0,0,0
"Total","Total","Doctoral degree","2007","Unknown",0,0,0
"Total","Total","Doctoral degree","2008","Total",282,117,165
"Total","Total","Doctoral degree","2008","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2008","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2008","Personal skills",0,0,0
"Total","Total","Doctoral degree","2008","Teacher training and educational science",28,4,24
"Total","Total","Doctoral degree","2008","Arts",0,0,0
"Total","Total","Doctoral degree","2008","Humanities",40,16,24
"Total","Total","Doctoral degree","2008","Social and behavioural science",41,21,20
"Total","Total","Doctoral degree","2008","Journalism and information",2,0,2
"Total","Total","Doctoral degree","2008","Business and administration",6,3,3
"Total","Total","Doctoral degree","2008","Law",3,3,0
"Total","Total","Doctoral degree","2008","Life science",33,14,19
"Total","Total","Doctoral degree","2008","Physical science",42,28,14
"Total","Total","Doctoral degree","2008","Mathematics and statistics",8,4,4
"Total","Total","Doctoral degree","2008","Computing",1,0,1
"Total","Total","Doctoral degree","2008","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2008","Engineering and engineering trades",8,4,4
"Total","Total","Doctoral degree","2008","Manufacturing and processing",5,1,4
"Total","Total","Doctoral degree","2008","Architecture and building",1,1,0
"Total","Total","Doctoral degree","2008","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2008","Agriculture, forestry and fishery",3,1,2
"Total","Total","Doctoral degree","2008","Veterinary",0,0,0
"Total","Total","Doctoral degree","2008","Health",57,16,41
"Total","Total","Doctoral degree","2008","Social services",3,0,3
"Total","Total","Doctoral degree","2008","Personal services",1,1,0
"Total","Total","Doctoral degree","2008","Transport services",0,0,0
"Total","Total","Doctoral degree","2008","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2008","Security services",0,0,0
"Total","Total","Doctoral degree","2008","Unknown",0,0,0
"Total","Total","Doctoral degree","2009","Total",312,134,178
"Total","Total","Doctoral degree","2009","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2009","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2009","Personal skills",0,0,0
"Total","Total","Doctoral degree","2009","Teacher training and educational science",47,17,30
"Total","Total","Doctoral degree","2009","Arts",0,0,0
"Total","Total","Doctoral degree","2009","Humanities",56,22,34
"Total","Total","Doctoral degree","2009","Social and behavioural science",36,16,20
"Total","Total","Doctoral degree","2009","Journalism and information",2,0,2
"Total","Total","Doctoral degree","2009","Business and administration",8,4,4
"Total","Total","Doctoral degree","2009","Law",4,2,2
"Total","Total","Doctoral degree","2009","Life science",28,11,17
"Total","Total","Doctoral degree","2009","Physical science",34,24,10
"Total","Total","Doctoral degree","2009","Mathematics and statistics",5,4,1
"Total","Total","Doctoral degree","2009","Computing",7,6,1
"Total","Total","Doctoral degree","2009","Science, not specified",0,0,0
"Total","Total","Doctoral degree","2009","Engineering and engineering trades",9,4,5
"Total","Total","Doctoral degree","2009","Manufacturing and processing",6,3,3
"Total","Total","Doctoral degree","2009","Architecture and building",3,2,1
"Total","Total","Doctoral degree","2009","Certified trades, not specified",0,0,0
"Total","Total","Doctoral degree","2009","Agriculture, forestry and fishery",3,1,2
"Total","Total","Doctoral degree","2009","Veterinary",0,0,0
"Total","Total","Doctoral degree","2009","Health",60,18,42
"Total","Total","Doctoral degree","2009","Social services",4,0,4
"Total","Total","Doctoral degree","2009","Personal services",0,0,0
"Total","Total","Doctoral degree","2009","Transport services",0,0,0
"Total","Total","Doctoral degree","2009","Environmental protection",0,0,0
"Total","Total","Doctoral degree","2009","Security services",0,0,0
"Total","Total","Doctoral degree","2009","Unknown",0,0,0
"Total","Total","Doctoral degree","2010","Total",478,200,278
"Total","Total","Doctoral degree","2010","Basic/broad, general programmes",0,0,0
"Total","Total","Doctoral degree","2010","Literacy and numeracy",0,0,0
"Total","Total","Doctoral degree","2010","Personal skills",0,0,0
