Year,Sex,Age,Education,Income and taxes,Unit,Value
2016,Total,Total,Basic education,Total annual income,Median - total,3595000.0
2016,Total,16 - 24 years,Basic education,Total annual income,Median - total,1564000.0
2016,Total,75 years and over,Basic education,Total annual income,Median - total,3216000.0
2016,Men,Total,Basic education,Total annual income,Median - total,4031000.0
2016,Men,16 - 24 years,Basic education,Total annual income,Median - total,1669000.0
2016,Men,75 years and over,Basic education,Total annual income,Median - total,3308000.0
2016,Women,Total,Basic education,Total annual income,Median - total,3373000.0
2016,Women,16 - 24 years,Basic education,Total annual income,Median - total,1470000.0
2016,Women,75 years and over,Basic education,Total annual income,Median - total,3182000.0
2016,Total,Total,Upper secondary education,Total annual income,Median - total,4741000.0
2016,Total,16 - 24 years,Upper secondary education,Total annual income,Median - total,2542000.0
2016,Total,75 years and over,Upper secondary education,Total annual income,Median - total,3703000.0
2016,Men,Total,Upper secondary education,Total annual income,Median - total,5542000.0
2016,Men,16 - 24 years,Upper secondary education,Total annual income,Median - total,2613000.0
2016,Men,75 years and over,Upper secondary education,Total annual income,Median - total,3642000.0
2016,Women,Total,Upper secondary education,Total annual income,Median - total,4097000.0
2016,Women,16 - 24 years,Upper secondary education,Total annual income,Median - total,2509000.0
2016,Women,75 years and over,Upper secondary education,Total annual income,Median - total,3900000.0
2016,Total,Total,Upper secondary education: vocational,Total annual income,Median - total,5356000.0
2016,Total,16 - 24 years,Upper secondary education: vocational,Total annual income,Median - total,3139000.0
2016,Total,75 years and over,Upper secondary education: vocational,Total annual income,Median - total,3660000.0
2016,Men,Total,Upper secondary education: vocational,Total annual income,Median - total,6060000.0
2016,Men,16 - 24 years,Upper secondary education: vocational,Total annual income,Median - total,3521000.0
2016,Men,75 years and over,Upper secondary education: vocational,Total annual income,Median - total,3623000.0
2016,Women,Total,Upper secondary education: vocational,Total annual income,Median - total,4520000.0
2016,Women,16 - 24 years,Upper secondary education: vocational,Total annual income,Median - total,2664000.0
2016,Women,75 years and over,Upper secondary education: vocational,Total annual income,Median - total,3821000.0
2016,Total,Total,Upper secondary education: general,Total annual income,Median - total,3754000.0
2016,Total,16 - 24 years,Upper secondary education: general,Total annual income,Median - total,2447000.0
2016,Total,75 years and over,Upper secondary education: general,Total annual income,Median - total,4461000.0
2016,Men,Total,Upper secondary education: general,Total annual income,Median - total,4068000.0
2016,Men,16 - 24 years,Upper secondary education: general,Total annual income,Median - total,2372000.0
2016,Men,75 years and over,Upper secondary education: general,Total annual income,Median - total,4513000.0
2016,Women,Total,Upper secondary education: general,Total annual income,Median - total,3585000.0
2016,Women,16 - 24 years,Upper secondary education: general,Total annual income,Median - total,2488000.0
2016,Women,75 years and over,Upper secondary education: general,Total annual income,Median - total,4440000.0
2016,Total,Total,Tertiary education,Total annual income,Median - total,6979000.0
2016,Total,16 - 24 years,Tertiary education,Total annual income,Median - total,2905000.0
2016,Total,75 years and over,Tertiary education,Total annual income,Median - total,5656000.0
2016,Men,Total,Tertiary education,Total annual income,Median - total,8391000.0
2016,Men,16 - 24 years,Tertiary education,Total annual income,Median - total,3032000.0
2016,Men,75 years and over,Tertiary education,Total annual income,Median - total,6402000.0
2016,Women,Total,Tertiary education,Total annual income,Median - total,6344000.0
2016,Women,16 - 24 years,Tertiary education,Total annual income,Median - total,2838000.0
2016,Women,75 years and over,Tertiary education,Total annual income,Median - total,4831000.0
2016,Total,Total,Short-cycle tertiary education,Total annual income,Median - total,6637000.0
2016,Men,Total,Short-cycle tertiary education,Total annual income,Median - total,8178000.0
2016,Women,Total,Short-cycle tertiary education,Total annual income,Median - total,6066000.0
2016,Total,Total,Bachelor's or equivalent level,Total annual income,Median - total,6488000.0
2016,Men,Total,Bachelor's or equivalent level,Total annual income,Median - total,7749000.0
2016,Women,Total,Bachelor's or equivalent level,Total annual income,Median - total,6055000.0
2016,Total,Total,Master's or equivalent level,Total annual income,Median - total,8353000.0
2016,Men,Total,Master's or equivalent level,Total annual income,Median - total,9701000.0
2016,Women,Total,Master's or equivalent level,Total annual income,Median - total,7473000.0
2016,Total,Total,Doctoral or equivalent level,Total annual income,Median - total,10702000.0
2016,Men,Total,Doctoral or equivalent level,Total annual income,Median - total,11464000.0
2016,Women,Total,Doctoral or equivalent level,Total annual income,Median - total,9594000.0
2016,Total,Total,Total,Total annual income,Number - total,236076000.0
2016,Total,16 - 24 years,Total,Total annual income,Number - total,38159000.0
2016,Total,75 years and over,Total,Total annual income,Number - total,19175000.0
2016,Men,Total,Total,Total annual income,Number - total,116574000.0
2016,Men,16 - 24 years,Total,Total annual income,Number - total,19487000.0
2016,Men,75 years and over,Total,Total annual income,Number - total,8318000.0
2016,Women,Total,Total,Total annual income,Number - total,119502000.0
2016,Women,16 - 24 years,Total,Total annual income,Number - total,18672000.0
2016,Women,75 years and over,Total,Total annual income,Number - total,10857000.0
2016,Total,Total,Basic education,Total annual income,Number - total,86626000.0
2016,Total,16 - 24 years,Basic education,Total annual income,Number - total,23106000.0
2016,Total,75 years and over,Basic education,Total annual income,Number - total,11350000.0
2016,Men,Total,Basic education,Total annual income,Number - total,41168000.0
2016,Men,16 - 24 years,Basic education,Total annual income,Number - total,12727000.0
2016,Men,75 years and over,Basic education,Total annual income,Number - total,3035000.0
2016,Women,Total,Basic education,Total annual income,Number - total,45458000.0
2016,Women,16 - 24 years,Basic education,Total annual income,Number - total,10379000.0
2016,Women,75 years and over,Basic education,Total annual income,Number - total,8315000.0
2016,Total,Total,Upper secondary education,Total annual income,Number - total,85539000.0
2016,Total,16 - 24 years,Upper secondary education,Total annual income,Number - total,13803000.0
2016,Total,75 years and over,Upper secondary education,Total annual income,Number - total,6148000.0
2016,Men,Total,Upper secondary education,Total annual income,Number - total,48680000.0
2016,Men,16 - 24 years,Upper secondary education,Total annual income,Number - total,6247000.0
2016,Men,75 years and over,Upper secondary education,Total annual income,Number - total,4246000.0
2016,Women,Total,Upper secondary education,Total annual income,Number - total,36859000.0
2016,Women,16 - 24 years,Upper secondary education,Total annual income,Number - total,7556000.0
2016,Women,75 years and over,Upper secondary education,Total annual income,Number - total,1902000.0
2016,Total,Total,Upper secondary education: vocational,Total annual income,Number - total,49921000.0
2016,Total,16 - 24 years,Upper secondary education: vocational,Total annual income,Number - total,2273000.0
2016,Total,75 years and over,Upper secondary education: vocational,Total annual income,Number - total,5612000.0
2016,Men,Total,Upper secondary education: vocational,Total annual income,Number - total,33017000.0
2016,Men,16 - 24 years,Upper secondary education: vocational,Total annual income,Number - total,1487000.0
2016,Men,75 years and over,Upper secondary education: vocational,Total annual income,Number - total,4058000.0
2016,Women,Total,Upper secondary education: vocational,Total annual income,Number - total,16904000.0
2016,Women,16 - 24 years,Upper secondary education: vocational,Total annual income,Number - total,786000.0
2016,Women,75 years and over,Upper secondary education: vocational,Total annual income,Number - total,1554000.0
2016,Total,Total,Upper secondary education: general,Total annual income,Number - total,31276000.0
2016,Total,16 - 24 years,Upper secondary education: general,Total annual income,Number - total,11365000.0
2016,Total,75 years and over,Upper secondary education: general,Total annual income,Number - total,496000.0
2016,Men,Total,Upper secondary education: general,Total annual income,Number - total,13515000.0
2016,Men,16 - 24 years,Upper secondary education: general,Total annual income,Number - total,4698000.0
2016,Men,75 years and over,Upper secondary education: general,Total annual income,Number - total,179000.0
2016,Women,Total,Upper secondary education: general,Total annual income,Number - total,17761000.0
2016,Women,16 - 24 years,Upper secondary education: general,Total annual income,Number - total,6667000.0
2016,Women,75 years and over,Upper secondary education: general,Total annual income,Number - total,317000.0
2016,Total,Total,Tertiary education,Total annual income,Number - total,63887000.0
2016,Total,16 - 24 years,Tertiary education,Total annual income,Number - total,1227000.0
2016,Total,75 years and over,Tertiary education,Total annual income,Number - total,1676000.0
2016,Men,Total,Tertiary education,Total annual income,Number - total,26712000.0
2016,Men,16 - 24 years,Tertiary education,Total annual income,Number - total,500000.0
2016,Men,75 years and over,Tertiary education,Total annual income,Number - total,1036000.0
2016,Women,Total,Tertiary education,Total annual income,Number - total,37175000.0
2016,Women,16 - 24 years,Tertiary education,Total annual income,Number - total,727000.0
2016,Women,75 years and over,Tertiary education,Total annual income,Number - total,640000.0
2016,Total,Total,Short-cycle tertiary education,Total annual income,Number - total,4678000.0
2016,Men,Total,Short-cycle tertiary education,Total annual income,Number - total,1983000.0
2016,Women,Total,Short-cycle tertiary education,Total annual income,Number - total,2695000.0
2016,Total,Total,Bachelor's or equivalent level,Total annual income,Number - total,32815000.0
2016,Men,Total,Bachelor's or equivalent level,Total annual income,Number - total,12011000.0
2016,Women,Total,Bachelor's or equivalent level,Total annual income,Number - total,20804000.0
2016,Total,Total,Master's or equivalent level,Total annual income,Number - total,20505000.0
2016,Men,Total,Master's or equivalent level,Total annual income,Number - total,9522000.0
2016,Women,Total,Master's or equivalent level,Total annual income,Number - total,10983000.0
2016,Total,Total,Doctoral or equivalent level,Total annual income,Number - total,1688000.0
2016,Men,Total,Doctoral or equivalent level,Total annual income,Number - total,1070000.0
2016,Women,Total,Doctoral or equivalent level,Total annual income,Number - total,618000.0
2016,Total,Total,Total,Total annual income,Standard deviation - total,8669000.0
2016,Total,16 - 24 years,Total,Total annual income,Standard deviation - total,1815000.0
2016,Total,75 years and over,Total,Total annual income,Standard deviation - total,6664000.0
2016,Men,Total,Total,Total annual income,Standard deviation - total,9889000.0
2016,Men,16 - 24 years,Total,Total annual income,Standard deviation - total,2034000.0
2016,Men,75 years and over,Total,Total annual income,Standard deviation - total,9281000.0
2016,Women,Total,Total,Total annual income,Standard deviation - total,7187000.0
2016,Women,16 - 24 years,Total,Total annual income,Standard deviation - total,1541000.0
2016,Women,75 years and over,Total,Total annual income,Standard deviation - total,3474000.0
2016,Total,Total,Basic education,Total annual income,Standard deviation - total,5566000.0
2016,Total,16 - 24 years,Basic education,Total annual income,Standard deviation - total,1766000.0
2016,Total,75 years and over,Basic education,Total annual income,Standard deviation - total,2914000.0
2016,Men,Total,Basic education,Total annual income,Standard deviation - total,4649000.0
2016,Men,16 - 24 years,Basic education,Total annual income,Standard deviation - total,1963000.0
2016,Men,75 years and over,Basic education,Total annual income,Standard deviation - total,2443000.0
2016,Women,Total,Basic education,Total annual income,Standard deviation - total,6243000.0
2016,Women,16 - 24 years,Basic education,Total annual income,Standard deviation - total,1460000.0
2016,Women,75 years and over,Basic education,Total annual income,Standard deviation - total,3067000.0
2016,Total,Total,Upper secondary education,Total annual income,Standard deviation - total,9830000.0
2016,Total,16 - 24 years,Upper secondary education,Total annual income,Standard deviation - total,1771000.0
2016,Total,75 years and over,Upper secondary education,Total annual income,Standard deviation - total,9032000.0
2016,Men,Total,Upper secondary education,Total annual income,Standard deviation - total,10620000.0
2016,Men,16 - 24 years,Upper secondary education,Total annual income,Standard deviation - total,2056000.0
2016,Men,75 years and over,Upper secondary education,Total annual income,Standard deviation - total,10505000.0
2016,Women,Total,Upper secondary education,Total annual income,Standard deviation - total,8544000.0
2016,Women,16 - 24 years,Upper secondary education,Total annual income,Standard deviation - total,1478000.0
2016,Women,75 years and over,Upper secondary education,Total annual income,Standard deviation - total,4162000.0
2016,Total,Total,Upper secondary education: vocational,Total annual income,Standard deviation - total,12083000.0
2016,Total,16 - 24 years,Upper secondary education: vocational,Total annual income,Standard deviation - total,2463000.0
2016,Total,75 years and over,Upper secondary education: vocational,Total annual income,Standard deviation - total,9352000.0
2016,Men,Total,Upper secondary education: vocational,Total annual income,Standard deviation - total,12177000.0
2016,Men,16 - 24 years,Upper secondary education: vocational,Total annual income,Standard deviation - total,2713000.0
2016,Men,75 years and over,Upper secondary education: vocational,Total annual income,Standard deviation - total,10700000.0
2016,Women,Total,Upper secondary education: vocational,Total annual income,Standard deviation - total,11770000.0
2016,Women,16 - 24 years,Upper secondary education: vocational,Total annual income,Standard deviation - total,1700000.0
2016,Women,75 years and over,Upper secondary education: vocational,Total annual income,Standard deviation - total,4107000.0
2016,Total,Total,Upper secondary education: general,Total annual income,Standard deviation - total,5258000.0
2016,Total,16 - 24 years,Upper secondary education: general,Total annual income,Standard deviation - total,1557000.0
2016,Total,75 years and over,Upper secondary education: general,Total annual income,Standard deviation - total,4450000.0
2016,Men,Total,Upper secondary education: general,Total annual income,Standard deviation - total,6284000.0
2016,Men,16 - 24 years,Upper secondary education: general,Total annual income,Standard deviation - total,1701000.0
2016,Men,75 years and over,Upper secondary education: general,Total annual income,Standard deviation - total,4531000.0
2016,Women,Total,Upper secondary education: general,Total annual income,Standard deviation - total,4262000.0
2016,Women,16 - 24 years,Upper secondary education: general,Total annual income,Standard deviation - total,1447000.0
2016,Women,75 years and over,Upper secondary education: general,Total annual income,Standard deviation - total,4410000.0
2016,Total,Total,Tertiary education,Total annual income,Standard deviation - total,9851000.0
2016,Total,16 - 24 years,Tertiary education,Total annual income,Standard deviation - total,1812000.0
2016,Total,75 years and over,Tertiary education,Total annual income,Standard deviation - total,11700000.0
2016,Men,Total,Tertiary education,Total annual income,Standard deviation - total,13096000.0
2016,Men,16 - 24 years,Tertiary education,Total annual income,Standard deviation - total,1999000.0
2016,Men,75 years and over,Tertiary education,Total annual income,Standard deviation - total,14311000.0
2016,Women,Total,Tertiary education,Total annual income,Standard deviation - total,6317000.0
2016,Women,16 - 24 years,Tertiary education,Total annual income,Standard deviation - total,1652000.0
2016,Women,75 years and over,Tertiary education,Total annual income,Standard deviation - total,4804000.0
2016,Total,Total,Short-cycle tertiary education,Total annual income,Standard deviation - total,7936000.0
2016,Men,Total,Short-cycle tertiary education,Total annual income,Standard deviation - total,10812000.0
2016,Women,Total,Short-cycle tertiary education,Total annual income,Standard deviation - total,4521000.0
2016,Total,Total,Bachelor's or equivalent level,Total annual income,Standard deviation - total,10759000.0
2016,Men,Total,Bachelor's or equivalent level,Total annual income,Standard deviation - total,15557000.0
2016,Women,Total,Bachelor's or equivalent level,Total annual income,Standard deviation - total,6351000.0
2016,Total,Total,Master's or equivalent level,Total annual income,Standard deviation - total,8729000.0
2016,Men,Total,Master's or equivalent level,Total annual income,Standard deviation - total,10633000.0
2016,Women,Total,Master's or equivalent level,Total annual income,Standard deviation - total,6292000.0
2016,Total,Total,Doctoral or equivalent level,Total annual income,Standard deviation - total,9115000.0
2016,Men,Total,Doctoral or equivalent level,Total annual income,Standard deviation - total,9366000.0
2016,Women,Total,Doctoral or equivalent level,Total annual income,Standard deviation - total,8305000.0
2016,Total,Total,Total,Income from work,Mean - total,4291000.0
2016,Total,16 - 24 years,Total,Income from work,Mean - total,2087000.0
2016,Total,75 years and over,Total,Income from work,Mean - total,113000.0
2016,Men,Total,Total,Income from work,Mean - total,5178000.0
2016,Men,16 - 24 years,Total,Income from work,Mean - total,2247000.0
2016,Men,75 years and over,Total,Income from work,Mean - total,199000.0
2016,Women,Total,Total,Income from work,Mean - total,3426000.0
2016,Women,16 - 24 years,Total,Income from work,Mean - total,1920000.0
2016,Women,75 years and over,Total,Income from work,Mean - total,47000.0
2016,Total,Total,Basic education,Income from work,Mean - total,2632000.0
2016,Total,16 - 24 years,Basic education,Income from work,Mean - total,1768000.0
2016,Total,75 years and over,Basic education,Income from work,Mean - total,52000.0
2016,Men,Total,Basic education,Income from work,Mean - total,3543000.0
2016,Men,16 - 24 years,Basic education,Income from work,Mean - total,1971000.0
2016,Men,75 years and over,Basic education,Income from work,Mean - total,99000.0
2016,Women,Total,Basic education,Income from work,Mean - total,1806000.0
2016,Women,16 - 24 years,Basic education,Income from work,Mean - total,1520000.0
2016,Women,75 years and over,Basic education,Income from work,Mean - total,35000.0
2016,Total,Total,Upper secondary education,Income from work,Mean - total,4189000.0
2016,Total,16 - 24 years,Upper secondary education,Income from work,Mean - total,2553000.0
2016,Total,75 years and over,Upper secondary education,Income from work,Mean - total,155000.0
2016,Men,Total,Upper secondary education,Income from work,Mean - total,4976000.0
2016,Men,16 - 24 years,Upper secondary education,Income from work,Mean - total,2739000.0
2016,Men,75 years and over,Upper secondary education,Income from work,Mean - total,196000.0
2016,Women,Total,Upper secondary education,Income from work,Mean - total,3149000.0
2016,Women,16 - 24 years,Upper secondary education,Income from work,Mean - total,2399000.0
2016,Women,75 years and over,Upper secondary education,Income from work,Mean - total,65000.0
2016,Total,Total,Upper secondary education: vocational,Income from work,Mean - total,4449000.0
2016,Total,16 - 24 years,Upper secondary education: vocational,Income from work,Mean - total,2951000.0
2016,Total,75 years and over,Upper secondary education: vocational,Income from work,Mean - total,152000.0
2016,Men,Total,Upper secondary education: vocational,Income from work,Mean - total,5153000.0
2016,Men,16 - 24 years,Upper secondary education: vocational,Income from work,Mean - total,3346000.0
2016,Men,75 years and over,Upper secondary education: vocational,Income from work,Mean - total,193000.0
2016,Women,Total,Upper secondary education: vocational,Income from work,Mean - total,3074000.0
2016,Women,16 - 24 years,Upper secondary education: vocational,Income from work,Mean - total,2203000.0
2016,Women,75 years and over,Upper secondary education: vocational,Income from work,Mean - total,44000.0
2016,Total,Total,Upper secondary education: general,Income from work,Mean - total,3696000.0
2016,Total,16 - 24 years,Upper secondary education: general,Income from work,Mean - total,2474000.0
2016,Total,75 years and over,Upper secondary education: general,Income from work,Mean - total,182000.0
2016,Men,Total,Upper secondary education: general,Income from work,Mean - total,4414000.0
2016,Men,16 - 24 years,Upper secondary education: general,Income from work,Mean - total,2545000.0
2016,Men,75 years and over,Upper secondary education: general,Income from work,Mean - total,231000.0
2016,Women,Total,Upper secondary education: general,Income from work,Mean - total,3150000.0
2016,Women,16 - 24 years,Upper secondary education: general,Income from work,Mean - total,2424000.0
2016,Women,75 years and over,Upper secondary education: general,Income from work,Mean - total,154000.0
2016,Total,Total,Tertiary education,Income from work,Mean - total,6679000.0
2016,Total,16 - 24 years,Tertiary education,Income from work,Mean - total,2837000.0
2016,Total,75 years and over,Tertiary education,Income from work,Mean - total,372000.0
2016,Men,Total,Tertiary education,Income from work,Mean - total,8066000.0
2016,Men,16 - 24 years,Tertiary education,Income from work,Mean - total,3114000.0
2016,Men,75 years and over,Tertiary education,Income from work,Mean - total,505000.0
2016,Women,Total,Tertiary education,Income from work,Mean - total,5682000.0
2016,Women,16 - 24 years,Tertiary education,Income from work,Mean - total,2646000.0
2016,Women,75 years and over,Tertiary education,Income from work,Mean - total,157000.0
2016,Total,Total,Short-cycle tertiary education,Income from work,Mean - total,5758000.0
2016,Men,Total,Short-cycle tertiary education,Income from work,Mean - total,7394000.0
2016,Women,Total,Short-cycle tertiary education,Income from work,Mean - total,4555000.0
2016,Total,Total,Bachelor's or equivalent level,Income from work,Mean - total,6095000.0
2016,Men,Total,Bachelor's or equivalent level,Income from work,Mean - total,7556000.0
2016,Women,Total,Bachelor's or equivalent level,Income from work,Mean - total,5252000.0
2016,Total,Total,Master's or equivalent level,Income from work,Mean - total,8051000.0
2016,Men,Total,Master's or equivalent level,Income from work,Mean - total,9240000.0
2016,Women,Total,Master's or equivalent level,Income from work,Mean - total,7021000.0
2016,Total,Total,Doctoral or equivalent level,Income from work,Mean - total,10111000.0
2016,Men,Total,Doctoral or equivalent level,Income from work,Mean - total,10898000.0
2016,Women,Total,Doctoral or equivalent level,Income from work,Mean - total,8749000.0
2016,Total,Total,Total,Income from work,Median - total,3581000.0
2016,Total,16 - 24 years,Total,Income from work,Median - total,1680000.0
2016,Total,75 years and over,Total,Income from work,Median - total,0.0
2016,Men,Total,Total,Income from work,Median - total,4509000.0
2016,Men,16 - 24 years,Total,Income from work,Median - total,1721000.0
2016,Men,75 years and over,Total,Income from work,Median - total,0.0
2016,Women,Total,Total,Income from work,Median - total,2905000.0
2016,Women,16 - 24 years,Total,Income from work,Median - total,1641000.0
2016,Women,75 years and over,Total,Income from work,Median - total,0.0
2016,Total,Total,Basic education,Income from work,Median - total,1499000.0
2016,Total,16 - 24 years,Basic education,Income from work,Median - total,1289000.0
2016,Total,75 years and over,Basic education,Income from work,Median - total,0.0
2016,Men,Total,Basic education,Income from work,Median - total,2601000.0
2016,Men,16 - 24 years,Basic education,Income from work,Median - total,1390000.0
2016,Men,75 years and over,Basic education,Income from work,Median - total,0.0
2016,Women,Total,Basic education,Income from work,Median - total,754000.0
2016,Women,16 - 24 years,Basic education,Income from work,Median - total,1201000.0
2016,Women,75 years and over,Basic education,Income from work,Median - total,0.0
2016,Total,Total,Upper secondary education,Income from work,Median - total,3610000.0
2016,Total,16 - 24 years,Upper secondary education,Income from work,Median - total,2260000.0
2016,Total,75 years and over,Upper secondary education,Income from work,Median - total,0.0
2016,Men,Total,Upper secondary education,Income from work,Median - total,4525000.0
2016,Men,16 - 24 years,Upper secondary education,Income from work,Median - total,2281000.0
2016,Men,75 years and over,Upper secondary education,Income from work,Median - total,0.0
2016,Women,Total,Upper secondary education,Income from work,Median - total,2937000.0
2016,Women,16 - 24 years,Upper secondary education,Income from work,Median - total,2239000.0
2016,Women,75 years and over,Upper secondary education,Income from work,Median - total,0.0
2016,Total,Total,Upper secondary education: vocational,Income from work,Median - total,4020000.0
2016,Total,16 - 24 years,Upper secondary education: vocational,Income from work,Median - total,2314000.0
2016,Total,75 years and over,Upper secondary education: vocational,Income from work,Median - total,0.0
2016,Men,Total,Upper secondary education: vocational,Income from work,Median - total,4849000.0
2016,Men,16 - 24 years,Upper secondary education: vocational,Income from work,Median - total,2903000.0
2016,Men,75 years and over,Upper secondary education: vocational,Income from work,Median - total,0.0
2016,Women,Total,Upper secondary education: vocational,Income from work,Median - total,2970000.0
2016,Women,16 - 24 years,Upper secondary education: vocational,Income from work,Median - total,1797000.0
2016,Women,75 years and over,Upper secondary education: vocational,Income from work,Median - total,0.0
2016,Total,Total,Upper secondary education: general,Income from work,Median - total,3027000.0
2016,Total,16 - 24 years,Upper secondary education: general,Income from work,Median - total,2254000.0
2016,Total,75 years and over,Upper secondary education: general,Income from work,Median - total,0.0
2016,Men,Total,Upper secondary education: general,Income from work,Median - total,3517000.0
2016,Men,16 - 24 years,Upper secondary education: general,Income from work,Median - total,2195000.0
2016,Men,75 years and over,Upper secondary education: general,Income from work,Median - total,0.0
2016,Women,Total,Upper secondary education: general,Income from work,Median - total,2781000.0
2016,Women,16 - 24 years,Upper secondary education: general,Income from work,Median - total,2281000.0
2016,Women,75 years and over,Upper secondary education: general,Income from work,Median - total,0.0
2016,Total,Total,Tertiary education,Income from work,Median - total,6175000.0
2016,Total,16 - 24 years,Tertiary education,Income from work,Median - total,2719000.0
2016,Total,75 years and over,Tertiary education,Income from work,Median - total,0.0
2016,Men,Total,Tertiary education,Income from work,Median - total,7469000.0
2016,Men,16 - 24 years,Tertiary education,Income from work,Median - total,2842000.0
2016,Men,75 years and over,Tertiary education,Income from work,Median - total,0.0
2016,Women,Total,Tertiary education,Income from work,Median - total,5631000.0
2016,Women,16 - 24 years,Tertiary education,Income from work,Median - total,2613000.0
2016,Women,75 years and over,Tertiary education,Income from work,Median - total,0.0
2016,Total,Total,Short-cycle tertiary education,Income from work,Median - total,5787000.0
2016,Men,Total,Short-cycle tertiary education,Income from work,Median - total,7442000.0
2016,Women,Total,Short-cycle tertiary education,Income from work,Median - total,4925000.0
2016,Total,Total,Bachelor's or equivalent level,Income from work,Median - total,5803000.0
2016,Men,Total,Bachelor's or equivalent level,Income from work,Median - total,7037000.0
2016,Women,Total,Bachelor's or equivalent level,Income from work,Median - total,5363000.0
2016,Total,Total,Master's or equivalent level,Income from work,Median - total,7425000.0
2016,Men,Total,Master's or equivalent level,Income from work,Median - total,8592000.0
2016,Women,Total,Master's or equivalent level,Income from work,Median - total,6752000.0
2016,Total,Total,Doctoral or equivalent level,Income from work,Median - total,9500000.0
2016,Men,Total,Doctoral or equivalent level,Income from work,Median - total,10187000.0
2016,Women,Total,Doctoral or equivalent level,Income from work,Median - total,8639000.0
2016,Total,Total,Total,Income from work,Number - total,236076000.0
2016,Total,16 - 24 years,Total,Income from work,Number - total,38159000.0
2016,Total,75 years and over,Total,Income from work,Number - total,19175000.0
2016,Men,Total,Total,Income from work,Number - total,116574000.0
2016,Men,16 - 24 years,Total,Income from work,Number - total,19487000.0
2016,Men,75 years and over,Total,Income from work,Number - total,8318000.0
2016,Women,Total,Total,Income from work,Number - total,119502000.0
2016,Women,16 - 24 years,Total,Income from work,Number - total,18672000.0
2016,Women,75 years and over,Total,Income from work,Number - total,10857000.0
2016,Total,Total,Basic education,Income from work,Number - total,86626000.0
2016,Total,16 - 24 years,Basic education,Income from work,Number - total,23106000.0
2016,Total,75 years and over,Basic education,Income from work,Number - total,11350000.0
2016,Men,Total,Basic education,Income from work,Number - total,41168000.0
2016,Men,16 - 24 years,Basic education,Income from work,Number - total,12727000.0
2016,Men,75 years and over,Basic education,Income from work,Number - total,3035000.0
2016,Women,Total,Basic education,Income from work,Number - total,45458000.0
2016,Women,16 - 24 years,Basic education,Income from work,Number - total,10379000.0
2016,Women,75 years and over,Basic education,Income from work,Number - total,8315000.0
2016,Total,Total,Upper secondary education,Income from work,Number - total,85539000.0
2016,Total,16 - 24 years,Upper secondary education,Income from work,Number - total,13803000.0
2016,Total,75 years and over,Upper secondary education,Income from work,Number - total,6148000.0
2016,Men,Total,Upper secondary education,Income from work,Number - total,48680000.0
2016,Men,16 - 24 years,Upper secondary education,Income from work,Number - total,6247000.0
2016,Men,75 years and over,Upper secondary education,Income from work,Number - total,4246000.0
2016,Women,Total,Upper secondary education,Income from work,Number - total,36859000.0
2016,Women,16 - 24 years,Upper secondary education,Income from work,Number - total,7556000.0
2016,Women,75 years and over,Upper secondary education,Income from work,Number - total,1902000.0
2016,Total,Total,Upper secondary education: vocational,Income from work,Number - total,49921000.0
2016,Total,16 - 24 years,Upper secondary education: vocational,Income from work,Number - total,2273000.0
2016,Total,75 years and over,Upper secondary education: vocational,Income from work,Number - total,5612000.0
2016,Men,Total,Upper secondary education: vocational,Income from work,Number - total,33017000.0
2016,Men,16 - 24 years,Upper secondary education: vocational,Income from work,Number - total,1487000.0
2016,Men,75 years and over,Upper secondary education: vocational,Income from work,Number - total,4058000.0
2016,Women,Total,Upper secondary education: vocational,Income from work,Number - total,16904000.0
2016,Women,16 - 24 years,Upper secondary education: vocational,Income from work,Number - total,786000.0
2016,Women,75 years and over,Upper secondary education: vocational,Income from work,Number - total,1554000.0
2016,Total,Total,Upper secondary education: general,Income from work,Number - total,31276000.0
2016,Total,16 - 24 years,Upper secondary education: general,Income from work,Number - total,11365000.0
2016,Total,75 years and over,Upper secondary education: general,Income from work,Number - total,496000.0
2016,Men,Total,Upper secondary education: general,Income from work,Number - total,13515000.0
2016,Men,16 - 24 years,Upper secondary education: general,Income from work,Number - total,4698000.0
2016,Men,75 years and over,Upper secondary education: general,Income from work,Number - total,179000.0
2016,Women,Total,Upper secondary education: general,Income from work,Number - total,17761000.0
2016,Women,16 - 24 years,Upper secondary education: general,Income from work,Number - total,6667000.0
2016,Women,75 years and over,Upper secondary education: general,Income from work,Number - total,317000.0
2016,Total,Total,Tertiary education,Income from work,Number - total,63887000.0
2016,Total,16 - 24 years,Tertiary education,Income from work,Number - total,1227000.0
2016,Total,75 years and over,Tertiary education,Income from work,Number - total,1676000.0
2016,Men,Total,Tertiary education,Income from work,Number - total,26712000.0
2016,Men,16 - 24 years,Tertiary education,Income from work,Number - total,500000.0
2016,Men,75 years and over,Tertiary education,Income from work,Number - total,1036000.0
2016,Women,Total,Tertiary education,Income from work,Number - total,37175000.0
2016,Women,16 - 24 years,Tertiary education,Income from work,Number - total,727000.0
2016,Women,75 years and over,Tertiary education,Income from work,Number - total,640000.0
2016,Total,Total,Short-cycle tertiary education,Income from work,Number - total,4678000.0
2016,Men,Total,Short-cycle tertiary education,Income from work,Number - total,1983000.0
2016,Women,Total,Short-cycle tertiary education,Income from work,Number - total,2695000.0
2016,Total,Total,Bachelor's or equivalent level,Income from work,Number - total,32815000.0
2016,Men,Total,Bachelor's or equivalent level,Income from work,Number - total,12011000.0
