Year,Sex,Age,Unit,value
2011,Men,25 - 64 years,Number - conditional,73081
2011,Men,25 - 74 years,Number - conditional,83030
2011,Men,55 - 74 years,Number - conditional,26347
2011,Men,67 years and older,Number - conditional,15003
2011,Men,75 years and older,Number - conditional,7697
2011,Women,Total,10%,102600
2011,Women,16 - 24 years,10%,30000
2011,Women,16 - 64 years,10%,93900
2011,Women,16 - 74 years,10%,100500
2011,Women,18 - 66 years,10%,117600
2011,Women,25 - 54 years,10%,163500
2011,Women,25 - 64 years,10%,170200
2011,Women,25 - 74 years,10%,176700
2011,Women,55 - 74 years,10%,207300
2011,Women,67 years and older,10%,207500
2011,Women,75 years and older,10%,166600
2011,Women,Total,20%,184700
2011,Women,16 - 24 years,20%,61800
2011,Women,16 - 64 years,20%,166400
2011,Women,16 - 74 years,20%,177500
2011,Women,18 - 66 years,20%,189400
2011,Women,25 - 54 years,20%,235600
2011,Women,25 - 64 years,20%,237100
2011,Women,25 - 74 years,20%,232500
2011,Women,55 - 74 years,20%,229100
2011,Women,67 years and older,20%,213300
2011,Women,75 years and older,20%,208500
2011,Women,Total,30%,228200
2011,Women,16 - 24 years,30%,87600
2011,Women,16 - 64 years,30%,226500
2011,Women,16 - 74 years,30%,229800
2011,Women,18 - 66 years,30%,241500
2011,Women,25 - 54 years,30%,284500
2011,Women,25 - 64 years,30%,283700
2011,Women,25 - 74 years,30%,272200
2011,Women,55 - 74 years,30%,256400
2011,Women,67 years and older,30%,229300
2011,Women,75 years and older,30%,221200
2011,Women,Total,40%,262000
2011,Women,16 - 24 years,40%,110200
2011,Women,16 - 64 years,40%,276200
2011,Women,16 - 74 years,40%,271700
2011,Women,18 - 66 years,40%,287300
2011,Women,25 - 54 years,40%,331900
2011,Women,25 - 64 years,40%,330500
2011,Women,25 - 74 years,40%,314700
2011,Women,55 - 74 years,40%,286200
2011,Women,67 years and older,40%,242900
2011,Women,75 years and older,40%,241500
2011,Women,Total,50%,303100
2011,Women,16 - 24 years,50%,134400
2011,Women,16 - 64 years,50%,327300
2011,Women,16 - 74 years,50%,318400
2011,Women,18 - 66 years,50%,337200
2011,Women,25 - 54 years,50%,381400
2011,Women,25 - 64 years,50%,380100
2011,Women,25 - 74 years,50%,362600
2011,Women,55 - 74 years,50%,323800
2011,Women,67 years and older,50%,254400
2011,Women,75 years and older,50%,248100
2011,Women,Total,60%,356500
2011,Women,16 - 24 years,60%,158700
2011,Women,16 - 64 years,60%,385400
2011,Women,16 - 74 years,60%,374300
2011,Women,18 - 66 years,60%,393900
2011,Women,25 - 54 years,60%,435200
2011,Women,25 - 64 years,60%,433800
2011,Women,25 - 74 years,60%,417100
2011,Women,55 - 74 years,60%,374500
2011,Women,67 years and older,60%,269600
2011,Women,75 years and older,60%,259100
2011,Women,Total,70%,423400
2011,Women,16 - 24 years,70%,190500
2011,Women,16 - 64 years,70%,450500
2011,Women,16 - 74 years,70%,440500
2011,Women,18 - 66 years,70%,457600
2011,Women,25 - 54 years,70%,494900
2011,Women,25 - 64 years,70%,493600
2011,Women,25 - 74 years,70%,478200
2011,Women,55 - 74 years,70%,438200
2011,Women,67 years and older,70%,292300
2011,Women,75 years and older,70%,275600
2011,Women,Total,80%,506300
2011,Women,16 - 24 years,80%,230700
2011,Women,16 - 64 years,80%,532500
2011,Women,16 - 74 years,80%,522100
2011,Women,18 - 66 years,80%,539000
2011,Women,25 - 54 years,80%,575100
2011,Women,25 - 64 years,80%,573100
2011,Women,25 - 74 years,80%,558100
2011,Women,55 - 74 years,80%,518100
2011,Women,67 years and older,80%,328200
2011,Women,75 years and older,80%,301800
2011,Women,Total,90%,643300
2011,Women,16 - 24 years,90%,289900
2011,Women,16 - 64 years,90%,668900
2011,Women,16 - 74 years,90%,658400
2011,Women,18 - 66 years,90%,675300
2011,Women,25 - 54 years,90%,712700
2011,Women,25 - 64 years,90%,710700
2011,Women,25 - 74 years,90%,695600
2011,Women,55 - 74 years,90%,655200
2011,Women,67 years and older,90%,416200
2011,Women,75 years and older,90%,360600
2011,Women,Total,95%,788500
2011,Women,16 - 24 years,95%,344600
2011,Women,16 - 64 years,95%,817100
2011,Women,16 - 74 years,95%,805400
2011,Women,18 - 66 years,95%,823400
2011,Women,25 - 54 years,95%,870500
2011,Women,25 - 64 years,95%,866300
2011,Women,25 - 74 years,95%,847800
2011,Women,55 - 74 years,95%,789900
2011,Women,67 years and older,95%,544100
2011,Women,75 years and older,95%,455000
2011,Women,Total,99%,1244500
2011,Women,16 - 24 years,99%,495500
2011,Women,16 - 64 years,99%,1275500
2011,Women,16 - 74 years,99%,1262200
2011,Women,18 - 66 years,99%,1286100
2011,Women,25 - 54 years,99%,1355500
2011,Women,25 - 64 years,99%,1343900
2011,Women,25 - 74 years,99%,1326100
2011,Women,55 - 74 years,99%,1250000
2011,Women,67 years and older,99%,960600
2011,Women,75 years and older,99%,863600
2011,Women,Total,Mean - conditional,361200
2011,Women,16 - 24 years,Mean - conditional,152600
2011,Women,16 - 64 years,Mean - conditional,374000
2011,Women,16 - 74 years,Mean - conditional,370200
2011,Women,18 - 66 years,Mean - conditional,386500
2011,Women,25 - 54 years,Mean - conditional,427400
2011,Women,25 - 64 years,Mean - conditional,427800
2011,Women,25 - 74 years,Mean - conditional,416700
2011,Women,55 - 74 years,Mean - conditional,393500
2011,Women,67 years and older,Mean - conditional,294500
2011,Women,75 years and older,Mean - conditional,272200
2011,Women,Total,Number - conditional,113114
2011,Women,16 - 24 years,Number - conditional,18086
2011,Women,16 - 64 years,Number - conditional,92414
2011,Women,16 - 74 years,Number - conditional,102753
2011,Women,18 - 66 years,Number - conditional,91317
2011,Women,25 - 54 years,Number - conditional,57901
2011,Women,25 - 64 years,Number - conditional,74328
2011,Women,25 - 74 years,Number - conditional,84667
2011,Women,55 - 74 years,Number - conditional,26766
2011,Women,67 years and older,Number - conditional,18135
2011,Women,75 years and older,Number - conditional,10361
2012,Total,Total,10%,114800
2012,Total,16 - 24 years,10%,28000
2012,Total,16 - 64 years,10%,102800
2012,Total,16 - 74 years,10%,111200
2012,Total,18 - 66 years,10%,132600
2012,Total,25 - 54 years,10%,185800
2012,Total,25 - 64 years,10%,193300
2012,Total,25 - 74 years,10%,200800
2012,Total,55 - 74 years,10%,215800
2012,Total,67 years and older,10%,214600
2012,Total,75 years and older,10%,214100
2012,Total,Total,20%,208100
2012,Total,16 - 24 years,20%,62700
2012,Total,16 - 64 years,20%,186300
2012,Total,16 - 74 years,20%,199900
2012,Total,18 - 66 years,20%,212600
2012,Total,25 - 54 years,20%,263000
2012,Total,25 - 64 years,20%,266000
2012,Total,25 - 74 years,20%,259600
2012,Total,55 - 74 years,20%,255500
2012,Total,67 years and older,20%,229600
2012,Total,75 years and older,20%,220500
2012,Total,Total,30%,251500
2012,Total,16 - 24 years,30%,91500
2012,Total,16 - 64 years,30%,253300
2012,Total,16 - 74 years,30%,256500
2012,Total,18 - 66 years,30%,271700
2012,Total,25 - 54 years,30%,325100
2012,Total,25 - 64 years,30%,326200
2012,Total,25 - 74 years,30%,311200
2012,Total,55 - 74 years,30%,293400
2012,Total,67 years and older,30%,249200
2012,Total,75 years and older,30%,239400
2012,Total,Total,40%,296800
2012,Total,16 - 24 years,40%,117500
2012,Total,16 - 64 years,40%,315400
2012,Total,16 - 74 years,40%,310600
2012,Total,18 - 66 years,40%,332100
2012,Total,25 - 54 years,40%,388000
2012,Total,25 - 64 years,40%,388800
2012,Total,25 - 74 years,40%,370400
2012,Total,55 - 74 years,40%,337100
2012,Total,67 years and older,40%,262700
2012,Total,75 years and older,40%,250800
2012,Total,Total,50%,355100
2012,Total,16 - 24 years,50%,145300
2012,Total,16 - 64 years,50%,384400
2012,Total,16 - 74 years,50%,375300
2012,Total,18 - 66 years,50%,398700
2012,Total,25 - 54 years,50%,450700
2012,Total,25 - 64 years,50%,452400
2012,Total,25 - 74 years,50%,435400
2012,Total,55 - 74 years,50%,397700
2012,Total,67 years and older,50%,279100
2012,Total,75 years and older,50%,264000
2012,Total,Total,60%,429300
2012,Total,16 - 24 years,60%,175500
2012,Total,16 - 64 years,60%,459200
2012,Total,16 - 74 years,60%,449600
2012,Total,18 - 66 years,60%,471400
2012,Total,25 - 54 years,60%,517400
2012,Total,25 - 64 years,60%,519800
2012,Total,25 - 74 years,60%,504100
2012,Total,55 - 74 years,60%,472000
2012,Total,67 years and older,60%,302200
2012,Total,75 years and older,60%,278600
2012,Total,Total,70%,515300
2012,Total,16 - 24 years,70%,214600
2012,Total,16 - 64 years,70%,543200
2012,Total,16 - 74 years,70%,534600
2012,Total,18 - 66 years,70%,555000
2012,Total,25 - 54 years,70%,599600
2012,Total,25 - 64 years,70%,602400
2012,Total,25 - 74 years,70%,587300
2012,Total,55 - 74 years,70%,559400
2012,Total,67 years and older,70%,336200
2012,Total,75 years and older,70%,300700
2012,Total,Total,80%,630400
2012,Total,16 - 24 years,80%,263600
2012,Total,16 - 64 years,80%,658100
2012,Total,16 - 74 years,80%,649900
2012,Total,18 - 66 years,80%,670000
2012,Total,25 - 54 years,80%,715400
2012,Total,25 - 64 years,80%,719000
2012,Total,25 - 74 years,80%,703300
2012,Total,55 - 74 years,80%,676300
2012,Total,67 years and older,80%,405600
2012,Total,75 years and older,80%,336500
2012,Total,Total,90%,836100
2012,Total,16 - 24 years,90%,343500
2012,Total,16 - 64 years,90%,867900
2012,Total,16 - 74 years,90%,858300
2012,Total,18 - 66 years,90%,881000
2012,Total,25 - 54 years,90%,932700
2012,Total,25 - 64 years,90%,938700
2012,Total,25 - 74 years,90%,920800
2012,Total,55 - 74 years,90%,893800
2012,Total,67 years and older,90%,585600
2012,Total,75 years and older,90%,435600
2012,Total,Total,95%,1084500
2012,Total,16 - 24 years,95%,417400
2012,Total,16 - 64 years,95%,1122900
2012,Total,16 - 74 years,95%,1111900
2012,Total,18 - 66 years,95%,1140700
2012,Total,25 - 54 years,95%,1205500
2012,Total,25 - 64 years,95%,1216800
2012,Total,25 - 74 years,95%,1191300
2012,Total,55 - 74 years,95%,1161600
2012,Total,67 years and older,95%,782600
2012,Total,75 years and older,95%,594100
2012,Total,Total,99%,1932800
2012,Total,16 - 24 years,99%,675500
2012,Total,16 - 64 years,99%,1985100
2012,Total,16 - 74 years,99%,1976300
2012,Total,18 - 66 years,99%,2012500
2012,Total,25 - 54 years,99%,2082100
2012,Total,25 - 64 years,99%,2116900
2012,Total,25 - 74 years,99%,2092200
2012,Total,55 - 74 years,99%,2118200
2012,Total,67 years and older,99%,1479300
2012,Total,75 years and older,99%,1125000
2012,Total,Total,Mean - conditional,452300
2012,Total,16 - 24 years,Mean - conditional,175200
2012,Total,16 - 64 years,Mean - conditional,467800
2012,Total,16 - 74 years,Mean - conditional,465200
2012,Total,18 - 66 years,Mean - conditional,485500
2012,Total,25 - 54 years,Mean - conditional,535000
2012,Total,25 - 64 years,Mean - conditional,540300
2012,Total,25 - 74 years,Mean - conditional,528000
2012,Total,55 - 74 years,Mean - conditional,513500
2012,Total,67 years and older,Mean - conditional,359500
2012,Total,75 years and older,Mean - conditional,308500
2012,Total,Total,Number - conditional,224025
2012,Total,16 - 24 years,Number - conditional,36604
2012,Total,16 - 64 years,Number - conditional,184326
2012,Total,16 - 74 years,Number - conditional,205608
2012,Total,18 - 66 years,Number - conditional,182344
2012,Total,25 - 54 years,Number - conditional,113984
2012,Total,25 - 64 years,Number - conditional,147722
2012,Total,25 - 74 years,Number - conditional,169004
2012,Total,55 - 74 years,Number - conditional,55020
2012,Total,67 years and older,Number - conditional,34306
2012,Total,75 years and older,Number - conditional,18417
2012,Men,Total,10%,119300
2012,Men,16 - 24 years,10%,24400
2012,Men,16 - 64 years,10%,104500
2012,Men,16 - 74 years,10%,114500
2012,Men,18 - 66 years,10%,139800
2012,Men,25 - 54 years,10%,206700
2012,Men,25 - 64 years,10%,212800
2012,Men,25 - 74 years,10%,215100
2012,Men,55 - 74 years,10%,231000
2012,Men,67 years and older,10%,217600
2012,Men,75 years and older,10%,214600
2012,Men,Total,20%,215100
2012,Men,16 - 24 years,20%,58400
2012,Men,16 - 64 years,20%,197800
2012,Men,16 - 74 years,20%,213500
2012,Men,18 - 66 years,20%,224900
2012,Men,25 - 54 years,20%,293500
2012,Men,25 - 64 years,20%,297900
2012,Men,25 - 74 years,20%,288300
2012,Men,55 - 74 years,20%,282800
2012,Men,67 years and older,20%,243500
2012,Men,75 years and older,20%,229800
2012,Men,Total,30%,271200
2012,Men,16 - 24 years,30%,87800
2012,Men,16 - 64 years,30%,276400
2012,Men,16 - 74 years,30%,281100
2012,Men,18 - 66 years,30%,301500
2012,Men,25 - 54 years,30%,377100
2012,Men,25 - 64 years,30%,379600
2012,Men,25 - 74 years,30%,360700
2012,Men,55 - 74 years,30%,333200
2012,Men,67 years and older,30%,261100
2012,Men,75 years and older,30%,247500
2012,Men,Total,40%,334500
2012,Men,16 - 24 years,40%,115900
2012,Men,16 - 64 years,40%,360900
2012,Men,16 - 74 years,40%,354900
2012,Men,18 - 66 years,40%,382600
2012,Men,25 - 54 years,40%,452400
2012,Men,25 - 64 years,40%,456200
2012,Men,25 - 74 years,40%,436900
2012,Men,55 - 74 years,40%,402000
2012,Men,67 years and older,40%,278900
2012,Men,75 years and older,40%,259900
2012,Men,Total,50%,415300
2012,Men,16 - 24 years,50%,145600
2012,Men,16 - 64 years,50%,446400
2012,Men,16 - 74 years,50%,438500
2012,Men,18 - 66 years,50%,465500
2012,Men,25 - 54 years,50%,527100
2012,Men,25 - 64 years,50%,531000
2012,Men,25 - 74 years,50%,513400
2012,Men,55 - 74 years,50%,483600
2012,Men,67 years and older,50%,301600
2012,Men,75 years and older,50%,273700
2012,Men,Total,60%,506800
2012,Men,16 - 24 years,60%,180500
2012,Men,16 - 64 years,60%,535600
2012,Men,16 - 74 years,60%,528200
2012,Men,18 - 66 years,60%,552700
2012,Men,25 - 54 years,60%,608300
2012,Men,25 - 64 years,60%,612900
2012,Men,25 - 74 years,60%,597300
2012,Men,55 - 74 years,60%,571700
2012,Men,67 years and older,60%,334300
2012,Men,75 years and older,60%,293400
2012,Men,Total,70%,611300
2012,Men,16 - 24 years,70%,225000
2012,Men,16 - 64 years,70%,637500
2012,Men,16 - 74 years,70%,630200
2012,Men,18 - 66 years,70%,652800
2012,Men,25 - 54 years,70%,706300
2012,Men,25 - 64 years,70%,711700
2012,Men,25 - 74 years,70%,695800
2012,Men,55 - 74 years,70%,672400
2012,Men,67 years and older,70%,392700
2012,Men,75 years and older,70%,321800
2012,Men,Total,80%,748500
2012,Men,16 - 24 years,80%,284400
2012,Men,16 - 64 years,80%,777300
2012,Men,16 - 74 years,80%,769100
2012,Men,18 - 66 years,80%,792600
2012,Men,25 - 54 years,80%,845600
2012,Men,25 - 64 years,80%,854300
2012,Men,25 - 74 years,80%,836200
2012,Men,55 - 74 years,80%,815500
2012,Men,67 years and older,80%,511200
2012,Men,75 years and older,80%,372100
2012,Men,Total,90%,1003300
2012,Men,16 - 24 years,90%,377500
2012,Men,16 - 64 years,90%,1039100
2012,Men,16 - 74 years,90%,1027900
2012,Men,18 - 66 years,90%,1058900
2012,Men,25 - 54 years,90%,1120100
2012,Men,25 - 64 years,90%,1132300
2012,Men,25 - 74 years,90%,1109200
2012,Men,55 - 74 years,90%,1089000
2012,Men,67 years and older,90%,724300
2012,Men,75 years and older,90%,518400
2012,Men,Total,95%,1324900
2012,Men,16 - 24 years,95%,468900
2012,Men,16 - 64 years,95%,1372700
2012,Men,16 - 74 years,95%,1358600
2012,Men,18 - 66 years,95%,1397200
2012,Men,25 - 54 years,95%,1472000
2012,Men,25 - 64 years,95%,1492300
2012,Men,25 - 74 years,95%,1462500
2012,Men,55 - 74 years,95%,1439400
2012,Men,67 years and older,95%,953500
2012,Men,75 years and older,95%,707100
2012,Men,Total,99%,2272300
2012,Men,16 - 24 years,99%,783300
2012,Men,16 - 64 years,99%,2331900
2012,Men,16 - 74 years,99%,2317600
2012,Men,18 - 66 years,99%,2358600
2012,Men,25 - 54 years,99%,2449400
2012,Men,25 - 64 years,99%,2478700
2012,Men,25 - 74 years,99%,2454400
2012,Men,55 - 74 years,99%,2467700
2012,Men,67 years and older,99%,1822400
2012,Men,75 years and older,99%,1381300
2012,Men,Total,Mean - conditional,528000
2012,Men,16 - 24 years,Mean - conditional,185900
2012,Men,16 - 64 years,Mean - conditional,544600
2012,Men,16 - 74 years,Mean - conditional,542500
2012,Men,18 - 66 years,Mean - conditional,566900
2012,Men,25 - 54 years,Mean - conditional,628100
2012,Men,25 - 64 years,Mean - conditional,636400
2012,Men,25 - 74 years,Mean - conditional,622300
2012,Men,55 - 74 years,Mean - conditional,610400
2012,Men,67 years and older,Mean - conditional,416100
2012,Men,75 years and older,Mean - conditional,340900
2012,Men,Total,Number - conditional,110238
2012,Men,16 - 24 years,Number - conditional,18702
2012,Men,16 - 64 years,Number - conditional,91797
2012,Men,16 - 74 years,Number - conditional,102298
2012,Men,18 - 66 years,Number - conditional,90769
2012,Men,25 - 54 years,Number - conditional,56264
2012,Men,25 - 64 years,Number - conditional,73095
2012,Men,25 - 74 years,Number - conditional,83596
2012,Men,55 - 74 years,Number - conditional,27332
2012,Men,67 years and older,Number - conditional,15689
2012,Men,75 years and older,Number - conditional,7940
2012,Women,Total,10%,111200
2012,Women,16 - 24 years,10%,33000
2012,Women,16 - 64 years,10%,101600
2012,Women,16 - 74 years,10%,108700
2012,Women,18 - 66 years,10%,126400
2012,Women,25 - 54 years,10%,169100
2012,Women,25 - 64 years,10%,177700
2012,Women,25 - 74 years,10%,185300
2012,Women,55 - 74 years,10%,214500
2012,Women,67 years and older,10%,214300
2012,Women,75 years and older,10%,188400
2012,Women,Total,20%,196500
2012,Women,16 - 24 years,20%,67700
2012,Women,16 - 64 years,20%,177300
2012,Women,16 - 74 years,20%,189500
2012,Women,18 - 66 years,20%,200000
2012,Women,25 - 54 years,20%,243700
2012,Women,25 - 64 years,20%,246500
2012,Women,25 - 74 years,20%,241600
2012,Women,55 - 74 years,20%,239200
2012,Women,67 years and older,20%,221900
2012,Women,75 years and older,20%,215400
2012,Women,Total,30%,238600
2012,Women,16 - 24 years,30%,95100
2012,Women,16 - 64 years,30%,237500
2012,Women,16 - 74 years,30%,240300
2012,Women,18 - 66 years,30%,252700
2012,Women,25 - 54 years,30%,295600
2012,Women,25 - 64 years,30%,296100
2012,Women,25 - 74 years,30%,284000
2012,Women,55 - 74 years,30%,269000
2012,Women,67 years and older,30%,238700
2012,Women,75 years and older,30%,230900
2012,Women,Total,40%,274400
2012,Women,16 - 24 years,40%,119300
2012,Women,16 - 64 years,40%,289300
2012,Women,16 - 74 years,40%,284800
2012,Women,18 - 66 years,40%,300900
2012,Women,25 - 54 years,40%,345400
2012,Women,25 - 64 years,40%,344400
2012,Women,25 - 74 years,40%,327900
2012,Women,55 - 74 years,40%,300800
2012,Women,67 years and older,40%,251700
2012,Women,75 years and older,40%,249300
2012,Women,Total,50%,317100
2012,Women,16 - 24 years,50%,145100
2012,Women,16 - 64 years,50%,342500
2012,Women,16 - 74 years,50%,333000
2012,Women,18 - 66 years,50%,352700
2012,Women,25 - 54 years,50%,396300
2012,Women,25 - 64 years,50%,396000
2012,Women,25 - 74 years,50%,378700
2012,Women,55 - 74 years,50%,340800
2012,Women,67 years and older,50%,265300
2012,Women,75 years and older,50%,256900
2012,Women,Total,60%,373100
2012,Women,16 - 24 years,60%,172200
2012,Women,16 - 64 years,60%,402200
2012,Women,16 - 74 years,60%,391100
2012,Women,18 - 66 years,60%,411400
2012,Women,25 - 54 years,60%,450900
2012,Women,25 - 64 years,60%,451000
2012,Women,25 - 74 years,60%,435400
2012,Women,55 - 74 years,60%,395500
2012,Women,67 years and older,60%,282400
2012,Women,75 years and older,60%,270100
2012,Women,Total,70%,442700
2012,Women,16 - 24 years,70%,205000
2012,Women,16 - 64 years,70%,469600
2012,Women,16 - 74 years,70%,459400
2012,Women,18 - 66 years,70%,477300
2012,Women,25 - 54 years,70%,510800
2012,Women,25 - 64 years,70%,511600
2012,Women,25 - 74 years,70%,497400
2012,Women,55 - 74 years,70%,462900
2012,Women,67 years and older,70%,307400
2012,Women,75 years and older,70%,288600
2012,Women,Total,80%,527100
2012,Women,16 - 24 years,80%,246600
2012,Women,16 - 64 years,80%,551300
2012,Women,16 - 74 years,80%,542300
2012,Women,18 - 66 years,80%,558500
2012,Women,25 - 54 years,80%,592200
2012,Women,25 - 64 years,80%,592300
2012,Women,25 - 74 years,80%,578100
2012,Women,55 - 74 years,80%,547700
2012,Women,67 years and older,80%,346200
2012,Women,75 years and older,80%,317400
2012,Women,Total,90%,666700
2012,Women,16 - 24 years,90%,307400
2012,Women,16 - 64 years,90%,692000
2012,Women,16 - 74 years,90%,682800
2012,Women,18 - 66 years,90%,699500
2012,Women,25 - 54 years,90%,737600
2012,Women,25 - 64 years,90%,736800
2012,Women,25 - 74 years,90%,721400
2012,Women,55 - 74 years,90%,687100
2012,Women,67 years and older,90%,451300
2012,Women,75 years and older,90%,381400
2012,Women,Total,95%,818600
2012,Women,16 - 24 years,95%,364000
2012,Women,16 - 64 years,95%,844600
2012,Women,16 - 74 years,95%,834900
2012,Women,18 - 66 years,95%,852800
2012,Women,25 - 54 years,95%,897500
2012,Women,25 - 64 years,95%,895000
2012,Women,25 - 74 years,95%,878200
2012,Women,55 - 74 years,95%,838700
2012,Women,67 years and older,95%,586000
2012,Women,75 years and older,95%,490900
2012,Women,Total,99%,1320000
2012,Women,16 - 24 years,99%,540700
2012,Women,16 - 64 years,99%,1344200
2012,Women,16 - 74 years,99%,1338600
2012,Women,18 - 66 years,99%,1359900
2012,Women,25 - 54 years,99%,1436800
2012,Women,25 - 64 years,99%,1433700
2012,Women,25 - 74 years,99%,1417600
2012,Women,55 - 74 years,99%,1369600
2012,Women,67 years and older,99%,1092500
2012,Women,75 years and older,99%,909800
2012,Women,Total,Mean - conditional,378900
2012,Women,16 - 24 years,Mean - conditional,164000
2012,Women,16 - 64 years,Mean - conditional,391600
2012,Women,16 - 74 years,Mean - conditional,388600
2012,Women,18 - 66 years,Mean - conditional,404900
2012,Women,25 - 54 years,Mean - conditional,444200
2012,Women,25 - 64 years,Mean - conditional,446200
2012,Women,25 - 74 years,Mean - conditional,435600
2012,Women,55 - 74 years,Mean - conditional,417800
2012,Women,67 years and older,Mean - conditional,311900
2012,Women,75 years and older,Mean - conditional,283800
2012,Women,Total,Number - conditional,113787
2012,Women,16 - 24 years,Number - conditional,17902
2012,Women,16 - 64 years,Number - conditional,92529
2012,Women,16 - 74 years,Number - conditional,103310
2012,Women,18 - 66 years,Number - conditional,91575
2012,Women,25 - 54 years,Number - conditional,57720
2012,Women,25 - 64 years,Number - conditional,74627
2012,Women,25 - 74 years,Number - conditional,85408
2012,Women,55 - 74 years,Number - conditional,27688
2012,Women,67 years and older,Number - conditional,18617
2012,Women,75 years and older,Number - conditional,10477
2013,Total,Total,10%,123800
2013,Total,16 - 24 years,10%,32900
2013,Total,16 - 64 years,10%,111100
2013,Total,16 - 74 years,10%,120100
2013,Total,18 - 66 years,10%,141100
2013,Total,25 - 54 years,10%,191600
2013,Total,25 - 64 years,10%,201000
2013,Total,25 - 74 years,10%,210000
2013,Total,55 - 74 years,10%,224500
2013,Total,67 years and older,10%,223200
2013,Total,75 years and older,10%,222600
2013,Total,Total,20%,220000
2013,Total,16 - 24 years,20%,69900
2013,Total,16 - 64 years,20%,197100
2013,Total,16 - 74 years,20%,212000
2013,Total,18 - 66 years,20%,223400
2013,Total,25 - 54 years,20%,276600
2013,Total,25 - 64 years,20%,280100
2013,Total,25 - 74 years,20%,273200
2013,Total,55 - 74 years,20%,269100
2013,Total,67 years and older,20%,241200
2013,Total,75 years and older,20%,232200
2013,Total,Total,30%,265300
2013,Total,16 - 24 years,30%,100200
2013,Total,16 - 64 years,30%,267600
2013,Total,16 - 74 years,30%,271100
2013,Total,18 - 66 years,30%,286800
2013,Total,25 - 54 years,30%,342900
2013,Total,25 - 64 years,30%,344000
2013,Total,25 - 74 years,30%,328400
2013,Total,55 - 74 years,30%,309700
2013,Total,67 years and older,30%,259800
2013,Total,75 years and older,30%,252100
2013,Total,Total,40%,313600
2013,Total,16 - 24 years,40%,127800
2013,Total,16 - 64 years,40%,333500
2013,Total,16 - 74 years,40%,328600
2013,Total,18 - 66 years,40%,350500
2013,Total,25 - 54 years,40%,408900
2013,Total,25 - 64 years,40%,409900
2013,Total,25 - 74 years,40%,390900
2013,Total,55 - 74 years,40%,357500
2013,Total,67 years and older,40%,276600
2013,Total,75 years and older,40%,263700
2013,Total,Total,50%,375600
2013,Total,16 - 24 years,50%,157100
2013,Total,16 - 64 years,50%,405700
2013,Total,16 - 74 years,50%,396800
2013,Total,18 - 66 years,50%,420700
2013,Total,25 - 54 years,50%,473400
2013,Total,25 - 64 years,50%,475600
2013,Total,25 - 74 years,50%,458300
2013,Total,55 - 74 years,50%,423100
2013,Total,67 years and older,50%,296100
2013,Total,75 years and older,50%,278100
2013,Total,Total,60%,453400
2013,Total,16 - 24 years,60%,190100
2013,Total,16 - 64 years,60%,482500
2013,Total,16 - 74 years,60%,474100
2013,Total,18 - 66 years,60%,495100
2013,Total,25 - 54 years,60%,542400
2013,Total,25 - 64 years,60%,545400
2013,Total,25 - 74 years,60%,529900
2013,Total,55 - 74 years,60%,501400
2013,Total,67 years and older,60%,320800
2013,Total,75 years and older,60%,295600
2013,Total,Total,70%,542500
2013,Total,16 - 24 years,70%,228700
2013,Total,16 - 64 years,70%,569200
2013,Total,16 - 74 years,70%,562000
2013,Total,18 - 66 years,70%,582100
2013,Total,25 - 54 years,70%,627100
2013,Total,25 - 64 years,70%,630800
2013,Total,25 - 74 years,70%,616600
2013,Total,55 - 74 years,70%,592400
2013,Total,67 years and older,70%,360700
2013,Total,75 years and older,70%,319400
2013,Total,Total,80%,661600
2013,Total,16 - 24 years,80%,281800
2013,Total,16 - 64 years,80%,688000
2013,Total,16 - 74 years,80%,681000
2013,Total,18 - 66 years,80%,700400
2013,Total,25 - 54 years,80%,745100
2013,Total,25 - 64 years,80%,750600
2013,Total,25 - 74 years,80%,736700
2013,Total,55 - 74 years,80%,718200
2013,Total,67 years and older,80%,445800
2013,Total,75 years and older,80%,359700
2013,Total,Total,90%,874200
2013,Total,16 - 24 years,90%,362700
2013,Total,16 - 64 years,90%,904900
2013,Total,16 - 74 years,90%,897200
2013,Total,18 - 66 years,90%,919600
2013,Total,25 - 54 years,90%,970500
2013,Total,25 - 64 years,90%,978600
2013,Total,25 - 74 years,90%,961000
2013,Total,55 - 74 years,90%,940500
2013,Total,67 years and older,90%,640700
2013,Total,75 years and older,90%,480000
2013,Total,Total,95%,1131000
2013,Total,16 - 24 years,95%,441300
2013,Total,16 - 64 years,95%,1172000
2013,Total,16 - 74 years,95%,1161700
2013,Total,18 - 66 years,95%,1189700
2013,Total,25 - 54 years,95%,1257400
2013,Total,25 - 64 years,95%,1270700
2013,Total,25 - 74 years,95%,1246200
2013,Total,55 - 74 years,95%,1223700
2013,Total,67 years and older,95%,849100
2013,Total,75 years and older,95%,643300
2013,Total,Total,99%,2035800
2013,Total,16 - 24 years,99%,683600
2013,Total,16 - 64 years,99%,2071800
2013,Total,16 - 74 years,99%,2071100
2013,Total,18 - 66 years,99%,2109900
2013,Total,25 - 54 years,99%,2187000
2013,Total,25 - 64 years,99%,2231900
2013,Total,25 - 74 years,99%,2218200
2013,Total,55 - 74 years,99%,2287900
2013,Total,67 years and older,99%,1622100
2013,Total,75 years and older,99%,1207200
2013,Total,Total,Mean - conditional,478100
2013,Total,16 - 24 years,Mean - conditional,186700
2013,Total,16 - 64 years,Mean - conditional,491300
2013,Total,16 - 74 years,Mean - conditional,490700
